k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00428274109268, 149.9349814017433, -100.06498786807545, 1.0091257101471396, 2.0036084085331076]|84512.0112822678202065|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[47.369762265353586, 149.05810692026088, -99.65024344280464, 1.1691471316581235, 1.4020985046420886]|79129.3287242053193040|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[47.369762265353586, 149.05810692026088, -99.65024344280464, 1.1691471316581235, 1.4020985046420886]|79129.3287242053193040|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[47.369762265353586, 149.05810692026088, -99.65024344280464, 1.1691471316581235, 1.4020985046420886]|79129.3287242053193040|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[46.37329978543018, 148.99930171986205, -99.70986847110993, 1.174087001202571, 1.3971056898622773]|75967.2905767428746913|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[46.37329978543018, 148.99930171986205, -99.70986847110993, 1.174087001202571, 1.3971056898622773]|75967.2905767428746913|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[45.37654267983058, 148.94214788862442, -99.76348190042077, 1.1922214938303222, 1.394770655336215]|72871.8117837315367069|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[43.38751406670524, 148.8207085797568, -99.92619111498631, 1.206853427450473, 1.3465079529206507]|66880.6328308109514182|      4.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[43.38751406670524, 148.8207085797568, -99.92619111498631, 1.206853427450473, 1.3465079529206507]|66880.6328308109514182|      2.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[43.38751406670524, 148.8207085797568, -99.92619111498631, 1.206853427450473, 1.3465079529206507]|66880.6328308109514182|      1.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[42.39134783554441, 148.75942902991648, -99.98860683087186, 1.2060648518760315, 1.3453619925195615]|63982.4827066292054951|      2.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[42.39134783554441, 148.75942902991648, -99.98860683087186, 1.2060648518760315, 1.3453619925195615]|63982.4827066292054951|      1.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[41.39487795164328, 148.70163517886783, -100.04927576203526, 1.210165767207668, 1.3421832279842345]|61150.4343535564039485|      2.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[41.39487795164328, 148.70163517886783, -100.04927576203526, 1.210165767207668, 1.3421832279842345]|61150.4343535564039485|      1.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[40.39937717790864, 148.63676688269013, -100.11808489242439, 1.2050780891435457, 1.339063492138588]|58384.3847972398143611|      2.00000000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[40.39937717790864, 148.63676688269013, -100.11808489242439, 1.2050780891435457, 1.339063492138588]|58384.3847972398143611|      1.00000000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[39.40978316769866, 148.64866042640116, -100.23968239154937, 1.2677927779784555, 1.2961315158805728]|55704.1280641967023257|      2.00000000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
