k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00346888730044, 149.94115318038234, -100.05884549984349, 100.00001976826279, 199.9999997799823]|84511.8033663918613456|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[47.01110867371212, 149.81276212089915, -100.17684072535232, 100.00563639136088, 199.99211971290262]|78035.9328136807016563|      4.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[43.02504155368352, 149.5703406335049, -100.40315433413242, 99.99371134048565, 200.02589367800942]|65876.8995580870832782|      8.00000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[35.05943703477679, 149.03385887267063, -100.91266888138065, 100.03405353197802, 200.01592360314254]|44726.1208205130096758|     16.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[19.14676466653362, 147.72535627125725, -101.84741565953892, 99.93220647094128, 200.45244929531384]|15099.3000462476193206|     32.00000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[-11.508531397369058, 142.3936910659213, -109.04080883019856, 98.40136511669338, 199.13419711416088]|5152.3999639683215719|     64.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[-11.508531397369058, 142.3936910659213, -109.04080883019856, 98.40136511669338, 199.13419711416088]|5152.3999639683215719|     32.00000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[-11.508531397369058, 142.3936910659213, -109.04080883019856, 98.40136511669338, 199.13419711416088]|5152.3999639683215719|     16.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[4.443255386808968, 141.56948625186587, -109.96615054735744, 98.46105124908863, 199.09725000742344]|1707.1181002643807005|     32.00000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[4.443255386808968, 141.56948625186587, -109.96615054735744, 98.46105124908863, 199.09725000742344]|1707.1181002643807005|     16.00000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[4.443255386808968, 141.56948625186587, -109.96615054735744, 98.46105124908863, 199.09725000742344]|1707.1181002643807005|      8.00000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[-3.2032054567914017, 139.90861228633088, -111.6274920597192, 98.34673438018211, 199.10045479779714]|1057.0854236752384168|     16.00000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[-3.2032054567914017, 139.90861228633088, -111.6274920597192, 98.34673438018211, 199.10045479779714]|1057.0854236752384168|      8.00000000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[-3.2032054567914017, 139.90861228633088, -111.6274920597192, 98.34673438018211, 199.10045479779714]|1057.0854236752384168|      4.00000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[0.5419556094012794, 138.89235805014994, -112.59481481287735, 98.4084750017495, 199.13880453821076]|677.0828605643000628|      8.00000000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      16|[0.5419556094012794, 138.89235805014994, -112.59481481287735, 98.4084750017495, 199.13880453821076]|677.0828605643000628|      4.00000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[0.5419556094012794, 138.89235805014994, -112.59481481287735, 98.4084750017495, 199.13880453821076]|677.0828605643000628|      2.00000000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[-0.5411013783724243, 137.70715533989517, -113.78658617423807, 98.45270103587241, 199.14148352785296]|552.3826569767052206|      4.00000000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[1.1157661382843567, 135.14773714531944, -116.37214726391507, 98.32733224518392, 199.19914682113293]|371.6446430087128192|      8.00000000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      20|[1.1157661382843567, 135.14773714531944, -116.37214726391507, 98.32733224518392, 199.19914682113293]|371.6446430087128192|      4.00000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[1.1157661382843567, 135.14773714531944, -116.37214726391507, 98.32733224518392, 199.19914682113293]|371.6446430087128192|      2.00000000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[-0.5303547424907242, 134.2976464480691, -117.104495564339, 98.2304699538462, 199.34718572043874]|293.9721255097574044|      4.00000000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[1.694201809872551, 131.82657304156737, -119.2544351444324, 98.2910359172708, 198.78217604703494]|217.9163745532758298|      8.00000000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      24|[1.694201809872551, 131.82657304156737, -119.2544351444324, 98.2910359172708, 198.78217604703494]|217.9163745532758298|      4.00000000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[1.694201809872551, 131.82657304156737, -119.2544351444324, 98.2910359172708, 198.78217604703494]|217.9163745532758298|      2.00000000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
