k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.3, 0.1, 100.0, 0.0, 0.3, 0.9, 100.0, 0.01, 0.3, 0.9, 100.0, 0.02, 0.4, 0.8, 100.0, 0.05, 0.4, 0.8, 100.0, 0.07, 0.45, 0.8, 100.0, 0.09, 0.5, 0.7, 100.0, 0.1, 0.5, 0.7, 100.0, 0.15, 0.5, 0.6, 100.0, 0.2, 0.5, 0.6, 100.0, 0.25, 0.6, 0.5, 100.0, 0.3, 0.6, 0.5, 100.0, 0.35, 0.6, 0.5, 100.0, 0.4, 0.6, 0.4, 100.0, 0.4, 0.7, 0.4, 100.0, 0.42, 0.7, 0.3, 100.0, 0.45, 0.75, 0.3, 100.0, 0.45, 0.75, 0.2, 100.0, 0.5, 0.8, 0.1, 100.0, 0.5, 0.8, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]|1341.6625208673881389|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.3, 0.1, 100.0, 0.0, 0.3, 0.9, 100.0, 0.01, 0.3, 0.9, 100.0, 0.02, 0.4, 0.8, 100.0, 0.05, 0.4, 0.8, 100.0, 0.07, 0.45, 0.8, 100.0, 0.09, 0.5, 0.7, 100.0, 0.1, 0.5, 0.7, 100.0, 0.15, 0.5, 0.6, 100.0, 0.2, 0.5, 0.6, 100.0, 0.25, 0.6, 0.5, 100.0, 0.3, 0.6, 0.5, 100.0, 0.35, 0.6, 0.5, 100.0, 0.4, 0.6, 0.4, 100.0, 0.4, 0.7, 0.4, 100.0, 0.42, 0.7, 0.3, 100.0, 0.45, 0.75, 0.3, 100.0, 0.45, 0.75, 0.2, 100.0, 0.5, 0.8, 0.1, 100.0, 0.5, 0.8, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0, 300.0]|1341.6625208673881389|      0.50000000|[118, 18, 0, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 79 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 105 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[99.9808970846189, 0.1561845656587576, 0.3171232706639056, 0.071599777434572, 99.97670671250677, -0.0224391853375828, 0.328272964741757, 0.9080992551167011, 100.11268275578789, 0.0054844879757869, 0.3173469131557963, 0.9381161488558148, 99.9819641640716, 0.0565889685947165, 0.2773803306070556, 0.8006316312926528, 100.05532287141287, 0.1368217748335417, 0.4491179539511304, 0.8599796070942317, 99.8990643036866, 0.1279322934157869, 0.4247969271659066, 0.81924867328775, 100.01246202760869, 0.1261104063410493, 0.4927824337903584, 0.683247749485754, 100.00246414869753, 0.165845772664004, 0.4639451562562374, 0.6705479512204677, 100.10609214503731, 0.1842479337792036, 0.4745641887599694, 0.5886185187661301, 99.98131589222697, 0.1817305251974359, 0.4696526936413543, 0.5949078328232984, 100.06798551496938, 0.2039285840380514, 0.6597144843189955, 0.4324121673509927, 100.00897148961931, 0.3159584538358626, 0.535349702944645, 0.5077781496825077, 100.01677993111416, 0.32941129606736, 0.6002818261887295, 0.4782937106418277, 99.94480806373222, 0.3977493432165105, 0.6128908406051626, 0.3998372813447929, 99.94235161649145, 0.3637114456838288, 0.7489401701100021, 0.4102703211759654, 99.96246166068165, 0.4838361296081914, 0.7980551699410489, 0.2250538541232748, 99.97861445512929, 0.307618896654438, 0.7270435975163155, 0.3368971816923937, 99.94520473897205, 0.4870474568938059, 0.7823835770182048, 0.177664366890326, 100.00080777934765, 0.5513064500694426, 0.8553344953158198, 0.0725970811297636, 99.93734399247309, 0.5227895873707352, 0.7760845628745856, 0.0316455606855084, 299.94173643373654, 300.0361139838238, 300.04299693621516, 299.96938667343454, 300.062570302978, 300.0546622067417, 299.9405608341263, 299.9905703469329, 299.9547442970998, 300.00474427119957, 299.97784154558644, 300.0168762494416, 299.9801624712692, 299.9548766449795, 300.01682305331434, 299.9319496594877, 300.0895781023558, 299.9294539915637, 299.94657551292903]|1136.0115966796875000|      1.00000000|[170, 26, 0, 13]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | iterate success | actual_k=2
       3|[99.9808970846189, 0.1561845656587576, 0.3171232706639056, 0.071599777434572, 99.97670671250677, -0.0224391853375828, 0.328272964741757, 0.9080992551167011, 100.11268275578789, 0.0054844879757869, 0.3173469131557963, 0.9381161488558148, 99.9819641640716, 0.0565889685947165, 0.2773803306070556, 0.8006316312926528, 100.05532287141287, 0.1368217748335417, 0.4491179539511304, 0.8599796070942317, 99.8990643036866, 0.1279322934157869, 0.4247969271659066, 0.81924867328775, 100.01246202760869, 0.1261104063410493, 0.4927824337903584, 0.683247749485754, 100.00246414869753, 0.165845772664004, 0.4639451562562374, 0.6705479512204677, 100.10609214503731, 0.1842479337792036, 0.4745641887599694, 0.5886185187661301, 99.98131589222697, 0.1817305251974359, 0.4696526936413543, 0.5949078328232984, 100.06798551496938, 0.2039285840380514, 0.6597144843189955, 0.4324121673509927, 100.00897148961931, 0.3159584538358626, 0.535349702944645, 0.5077781496825077, 100.01677993111416, 0.32941129606736, 0.6002818261887295, 0.4782937106418277, 99.94480806373222, 0.3977493432165105, 0.6128908406051626, 0.3998372813447929, 99.94235161649145, 0.3637114456838288, 0.7489401701100021, 0.4102703211759654, 99.96246166068165, 0.4838361296081914, 0.7980551699410489, 0.2250538541232748, 99.97861445512929, 0.307618896654438, 0.7270435975163155, 0.3368971816923937, 99.94520473897205, 0.4870474568938059, 0.7823835770182048, 0.177664366890326, 100.00080777934765, 0.5513064500694426, 0.8553344953158198, 0.0725970811297636, 99.93734399247309, 0.5227895873707352, 0.7760845628745856, 0.0316455606855084, 299.94173643373654, 300.0361139838238, 300.04299693621516, 299.96938667343454, 300.062570302978, 300.0546622067417, 299.9405608341263, 299.9905703469329, 299.9547442970998, 300.00474427119957, 299.97784154558644, 300.0168762494416, 299.9801624712692, 299.9548766449795, 300.01682305331434, 299.9319496594877, 300.0895781023558, 299.9294539915637, 299.94657551292903]|1136.0115966796875000|      0.50000000|[286, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 54 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 80 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 92 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 105 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[99.94210013899078, 0.1751019096739469, 0.387553049705622, 0.1514907636573885, 99.98805626324325, -0.0315201577171702, 0.251676705611231, 0.939976249074832, 100.11338709417173, -0.0727923093020934, 0.3076322024472299, 0.9426157944393716, 100.04479061561095, 0.0090119198696543, 0.2693574988792523, 0.8421517460952088, 100.11906564701474, -0.0083189938113351, 0.4596083919675572, 0.8453540498503522, 99.87541962505594, 0.0972554570479639, 0.4524612594249581, 0.8675475112208859, 99.96946530579653, 0.0929200665099119, 0.5220798274321892, 0.7316610777401268, 100.01381254610985, 0.1001140994282646, 0.377447044752645, 0.7044161232279563, 100.00249444769243, 0.2094765513935891, 0.3980412154910687, 0.5625047259468824, 100.02196484671155, 0.2472807016643741, 0.4488463010167889, 0.605712373332405, 100.02399438002766, 0.2350496291633029, 0.7121520425169928, 0.4476556666858064, 99.88655547426187, 0.2594722202466534, 0.593401820630979, 0.5509801302296871, 100.00304641661747, 0.4064265236952402, 0.5706683214232937, 0.4886209327259082, 99.94395199697635, 0.3376328311465782, 0.5517521045824781, 0.4293129057991971, 99.97555301258417, 0.3154178330782239, 0.7356401787253911, 0.4551149250556081, 99.95836560107176, 0.4375354025570288, 0.8357259601299866, 0.1835077807672583, 99.96998806707965, 0.3646507292291209, 0.8113939755058733, 0.3433683322984161, 99.97248653953719, 0.3938413189728511, 0.8475111934808379, 0.2127417117693124, 99.95911675315527, 0.4412801009142928, 0.8629261165878229, 0.0011867996944923, 99.91030752663228, 0.5783383399142662, 0.7469079694241457, 0.0658713242428746, 300.0159301829369, 300.0360234187878, 299.98971722777327, 299.9291375725986, 300.0982021693301, 300.09409727856337, 299.93786652490917, 300.0581413191242, 300.01576904548455, 300.04341665193886, 299.98799066042545, 300.01177630875964, 299.98907531193936, 299.92722606681815, 299.9763672833878, 300.0069895587357, 300.05056518785284, 299.86985286135945, 299.9563206754413]|749.1245117187500000|      1.00000000|[336, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | iterate success | actual_k=2
       5|[99.94210013899078, 0.1751019096739469, 0.387553049705622, 0.1514907636573885, 99.98805626324325, -0.0315201577171702, 0.251676705611231, 0.939976249074832, 100.11338709417173, -0.0727923093020934, 0.3076322024472299, 0.9426157944393716, 100.04479061561095, 0.0090119198696543, 0.2693574988792523, 0.8421517460952088, 100.11906564701474, -0.0083189938113351, 0.4596083919675572, 0.8453540498503522, 99.87541962505594, 0.0972554570479639, 0.4524612594249581, 0.8675475112208859, 99.96946530579653, 0.0929200665099119, 0.5220798274321892, 0.7316610777401268, 100.01381254610985, 0.1001140994282646, 0.377447044752645, 0.7044161232279563, 100.00249444769243, 0.2094765513935891, 0.3980412154910687, 0.5625047259468824, 100.02196484671155, 0.2472807016643741, 0.4488463010167889, 0.605712373332405, 100.02399438002766, 0.2350496291633029, 0.7121520425169928, 0.4476556666858064, 99.88655547426187, 0.2594722202466534, 0.593401820630979, 0.5509801302296871, 100.00304641661747, 0.4064265236952402, 0.5706683214232937, 0.4886209327259082, 99.94395199697635, 0.3376328311465782, 0.5517521045824781, 0.4293129057991971, 99.97555301258417, 0.3154178330782239, 0.7356401787253911, 0.4551149250556081, 99.95836560107176, 0.4375354025570288, 0.8357259601299866, 0.1835077807672583, 99.96998806707965, 0.3646507292291209, 0.8113939755058733, 0.3433683322984161, 99.97248653953719, 0.3938413189728511, 0.8475111934808379, 0.2127417117693124, 99.95911675315527, 0.4412801009142928, 0.8629261165878229, 0.0011867996944923, 99.91030752663228, 0.5783383399142662, 0.7469079694241457, 0.0658713242428746, 300.0159301829369, 300.0360234187878, 299.98971722777327, 299.9291375725986, 300.0982021693301, 300.09409727856337, 299.93786652490917, 300.0581413191242, 300.01576904548455, 300.04341665193886, 299.98799066042545, 300.01177630875964, 299.98907531193936, 299.92722606681815, 299.9763672833878, 300.0069895587357, 300.05056518785284, 299.86985286135945, 299.9563206754413]|749.1245117187500000|      0.50000000|[459, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 112 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[99.94210013899078, 0.1751019096739469, 0.387553049705622, 0.1514907636573885, 99.98805626324325, -0.0315201577171702, 0.251676705611231, 0.939976249074832, 100.11338709417173, -0.0727923093020934, 0.3076322024472299, 0.9426157944393716, 100.04479061561095, 0.0090119198696543, 0.2693574988792523, 0.8421517460952088, 100.11906564701474, -0.0083189938113351, 0.4596083919675572, 0.8453540498503522, 99.87541962505594, 0.0972554570479639, 0.4524612594249581, 0.8675475112208859, 99.96946530579653, 0.0929200665099119, 0.5220798274321892, 0.7316610777401268, 100.01381254610985, 0.1001140994282646, 0.377447044752645, 0.7044161232279563, 100.00249444769243, 0.2094765513935891, 0.3980412154910687, 0.5625047259468824, 100.02196484671155, 0.2472807016643741, 0.4488463010167889, 0.605712373332405, 100.02399438002766, 0.2350496291633029, 0.7121520425169928, 0.4476556666858064, 99.88655547426187, 0.2594722202466534, 0.593401820630979, 0.5509801302296871, 100.00304641661747, 0.4064265236952402, 0.5706683214232937, 0.4886209327259082, 99.94395199697635, 0.3376328311465782, 0.5517521045824781, 0.4293129057991971, 99.97555301258417, 0.3154178330782239, 0.7356401787253911, 0.4551149250556081, 99.95836560107176, 0.4375354025570288, 0.8357259601299866, 0.1835077807672583, 99.96998806707965, 0.3646507292291209, 0.8113939755058733, 0.3433683322984161, 99.97248653953719, 0.3938413189728511, 0.8475111934808379, 0.2127417117693124, 99.95911675315527, 0.4412801009142928, 0.8629261165878229, 0.0011867996944923, 99.91030752663228, 0.5783383399142662, 0.7469079694241457, 0.0658713242428746, 300.0159301829369, 300.0360234187878, 299.98971722777327, 299.9291375725986, 300.0982021693301, 300.09409727856337, 299.93786652490917, 300.0581413191242, 300.01576904548455, 300.04341665193886, 299.98799066042545, 300.01177630875964, 299.98907531193936, 299.92722606681815, 299.9763672833878, 300.0069895587357, 300.05056518785284, 299.86985286135945, 299.9563206754413]|749.1245117187500000|      0.25000000|[576, 90, 0, 45]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 54 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 67 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 79 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 92 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 105 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[99.95372743780412, 0.2074142851024127, 0.3926825570575637, 0.2027939439328315, 99.9764472418482, -0.0019002304570901, 0.2110735374038767, 0.9190164511169737, 100.10440673391102, -0.0427059307193148, 0.3237219998004704, 0.9040331665509915, 100.08184673063742, 0.0139606979007299, 0.274642993157775, 0.8280866217201791, 100.08099817936808, 0.0004921224417475, 0.474584978845534, 0.8333190806426795, 99.89389387818727, 0.1349180583501643, 0.4606972802324675, 0.8969315697175104, 99.99123923712094, 0.0704501143687177, 0.4790106953425936, 0.7451726539683935, 100.0132645968661, 0.1339748087666364, 0.3965374013372551, 0.7478895776105733, 99.99608204337623, 0.1966858799948831, 0.3697559463313059, 0.5681682278049186, 100.02434570935593, 0.2606266102364855, 0.4349711031307453, 0.6044455516204107, 100.04041069986394, 0.2338080810853853, 0.76059378983207, 0.4259113517541673, 99.87315973609431, 0.2886008750685639, 0.6135895039575524, 0.5859602511727612, 99.99299440137402, 0.3963224469215226, 0.563595820213901, 0.4939995599720121, 99.92789028532702, 0.3932186928763817, 0.5493199457538966, 0.4342184458367703, 99.95247772547404, 0.2889474061119304, 0.6729206065626121, 0.4523837459280081, 99.9321330327827, 0.436013454692769, 0.8265512720747769, 0.1711972825697733, 99.93597258132249, 0.3797381686082544, 0.8418152304066123, 0.3254338438388101, 99.96162175565819, 0.4092656624386577, 0.8295072639175523, 0.1887204103246312, 99.95457407802164, 0.4397002905178988, 0.8239868196832861, -0.0141638880832149, 99.91467406394757, 0.6116845093977699, 0.7532222324681775, 0.0705934108754863, 300.00862000915606, 300.0791631332985, 299.9668627276143, 299.97163743119796, 300.0933647925412, 300.0750925500332, 299.93851898203724, 300.02340648265886, 300.04875667665135, 300.0501320883004, 300.0350905638945, 300.0095319321152, 299.92047889228905, 299.9376681785857, 299.9824463623161, 300.04586379204466, 300.02415552660534, 299.8803635671151, 299.963885327437]|683.2154541015625000|      0.50000000|[627, 98, 0, 49]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | iterate success | actual_k=2
       8|[99.95372743780412, 0.2074142851024127, 0.3926825570575637, 0.2027939439328315, 99.9764472418482, -0.0019002304570901, 0.2110735374038767, 0.9190164511169737, 100.10440673391102, -0.0427059307193148, 0.3237219998004704, 0.9040331665509915, 100.08184673063742, 0.0139606979007299, 0.274642993157775, 0.8280866217201791, 100.08099817936808, 0.0004921224417475, 0.474584978845534, 0.8333190806426795, 99.89389387818727, 0.1349180583501643, 0.4606972802324675, 0.8969315697175104, 99.99123923712094, 0.0704501143687177, 0.4790106953425936, 0.7451726539683935, 100.0132645968661, 0.1339748087666364, 0.3965374013372551, 0.7478895776105733, 99.99608204337623, 0.1966858799948831, 0.3697559463313059, 0.5681682278049186, 100.02434570935593, 0.2606266102364855, 0.4349711031307453, 0.6044455516204107, 100.04041069986394, 0.2338080810853853, 0.76059378983207, 0.4259113517541673, 99.87315973609431, 0.2886008750685639, 0.6135895039575524, 0.5859602511727612, 99.99299440137402, 0.3963224469215226, 0.563595820213901, 0.4939995599720121, 99.92789028532702, 0.3932186928763817, 0.5493199457538966, 0.4342184458367703, 99.95247772547404, 0.2889474061119304, 0.6729206065626121, 0.4523837459280081, 99.9321330327827, 0.436013454692769, 0.8265512720747769, 0.1711972825697733, 99.93597258132249, 0.3797381686082544, 0.8418152304066123, 0.3254338438388101, 99.96162175565819, 0.4092656624386577, 0.8295072639175523, 0.1887204103246312, 99.95457407802164, 0.4397002905178988, 0.8239868196832861, -0.0141638880832149, 99.91467406394757, 0.6116845093977699, 0.7532222324681775, 0.0705934108754863, 300.00862000915606, 300.0791631332985, 299.9668627276143, 299.97163743119796, 300.0933647925412, 300.0750925500332, 299.93851898203724, 300.02340648265886, 300.04875667665135, 300.0501320883004, 300.0350905638945, 300.0095319321152, 299.92047889228905, 299.9376681785857, 299.9824463623161, 300.04586379204466, 300.02415552660534, 299.8803635671151, 299.963885327437]|683.2154541015625000|      0.25000000|[741, 116, 0, 58]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 103 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[99.94700054127951, 0.214506123521301, 0.4033125234666187, 0.1993888962832474, 99.95571315486879, 0.017150812808574, 0.2214771142449636, 0.8872577792725149, 100.10331863263983, -0.0114957738589069, 0.3383661454034811, 0.9103633224260733, 100.0838125261947, 0.0085011344212031, 0.3121804815246975, 0.8122785640332666, 100.10779003120618, 0.0355354873756557, 0.4767857033642534, 0.8280711599013137, 99.85557094487743, 0.109479269888337, 0.4735303324366038, 0.8831449770849619, 99.98389211070022, 0.0893296609532381, 0.5287378929455437, 0.7208898527727718, 100.00423670911825, 0.136360308489666, 0.3652618841542647, 0.7180480127742683, 99.98550823592822, 0.2021508734938673, 0.4122007500346675, 0.6270321646438817, 99.93316322410922, 0.2739540188594441, 0.4035843697435723, 0.6054830593964166, 100.07524777582647, 0.241164435404352, 0.7548639712318788, 0.4478641645270167, 99.88199766612537, 0.3004412725230411, 0.6347512565504281, 0.5510604705627035, 99.95430018445414, 0.3813697309412689, 0.5698149137334945, 0.5155231040697464, 99.89688894645131, 0.4189523955237238, 0.5430178012384543, 0.3796787047703891, 99.9248615449229, 0.3124103530905337, 0.6610112424919555, 0.4990630486085782, 99.92949943196827, 0.4315539986196805, 0.7786401798592787, 0.1290080959844039, 99.90560660926992, 0.3774212987084845, 0.81785195813746, 0.3173000904700722, 99.9611155240113, 0.4077467566167242, 0.8211027769098557, 0.2023064828339738, 99.97224742340609, 0.463993328227849, 0.8322568494547656, 0.0150814903702025, 99.88792214733691, 0.6147741946639896, 0.7415676225686363, 0.0407693182549569, 300.0135404176188, 300.0590286941315, 299.9804337529816, 299.9912141342999, 300.06555588342036, 300.088229635871, 299.978739412488, 300.04720461359676, 300.0070371485702, 300.0620673770664, 300.0494682740915, 300.00116438379166, 299.89391376148444, 299.9621231320449, 299.9870553149352, 300.01858944949396, 300.0453886732829, 299.86626411346106, 299.9602394838849]|526.2036132812500000|      0.50000000|[767, 120, 0, 60]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[99.94700054127951, 0.214506123521301, 0.4033125234666187, 0.1993888962832474, 99.95571315486879, 0.017150812808574, 0.2214771142449636, 0.8872577792725149, 100.10331863263983, -0.0114957738589069, 0.3383661454034811, 0.9103633224260733, 100.0838125261947, 0.0085011344212031, 0.3121804815246975, 0.8122785640332666, 100.10779003120618, 0.0355354873756557, 0.4767857033642534, 0.8280711599013137, 99.85557094487743, 0.109479269888337, 0.4735303324366038, 0.8831449770849619, 99.98389211070022, 0.0893296609532381, 0.5287378929455437, 0.7208898527727718, 100.00423670911825, 0.136360308489666, 0.3652618841542647, 0.7180480127742683, 99.98550823592822, 0.2021508734938673, 0.4122007500346675, 0.6270321646438817, 99.93316322410922, 0.2739540188594441, 0.4035843697435723, 0.6054830593964166, 100.07524777582647, 0.241164435404352, 0.7548639712318788, 0.4478641645270167, 99.88199766612537, 0.3004412725230411, 0.6347512565504281, 0.5510604705627035, 99.95430018445414, 0.3813697309412689, 0.5698149137334945, 0.5155231040697464, 99.89688894645131, 0.4189523955237238, 0.5430178012384543, 0.3796787047703891, 99.9248615449229, 0.3124103530905337, 0.6610112424919555, 0.4990630486085782, 99.92949943196827, 0.4315539986196805, 0.7786401798592787, 0.1290080959844039, 99.90560660926992, 0.3774212987084845, 0.81785195813746, 0.3173000904700722, 99.9611155240113, 0.4077467566167242, 0.8211027769098557, 0.2023064828339738, 99.97224742340609, 0.463993328227849, 0.8322568494547656, 0.0150814903702025, 99.88792214733691, 0.6147741946639896, 0.7415676225686363, 0.0407693182549569, 300.0135404176188, 300.0590286941315, 299.9804337529816, 299.9912141342999, 300.06555588342036, 300.088229635871, 299.978739412488, 300.04720461359676, 300.0070371485702, 300.0620673770664, 300.0494682740915, 300.00116438379166, 299.89391376148444, 299.9621231320449, 299.9870553149352, 300.01858944949396, 300.0453886732829, 299.86626411346106, 299.9602394838849]|526.2036132812500000|      0.25000000|[879, 138, 0, 69]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 89 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 101 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
