k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[33, 0, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[66, 0, 2, 6]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[99, 0, 3, 9]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[132, 0, 4, 12]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[165, 0, 5, 15]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[198, 0, 6, 18]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[231, 0, 7, 21]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[264, 0, 8, 24]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       9|[-0.0038126100479037, -0.0001702995119112, -0.0001378025022887, 1.98761713329e-05, 0.0001877399796248, 0.0007987401301023, 2.3346355192e-06, -4.1819361494e-06, 9.2532208318e-06, 1.53614057323e-05, -1.9422042115e-06, 7.0607045653e-06, -1.90486568855e-05, -1.49830998742e-05, 0.9999862315634257]|2121.9730482453787772|      0.00781250|[297, 0, 9, 27]                                                            |  | used linear model with 33 points | iterate success | actual_k=0
      10|[-0.0038126100479037, -0.0001702995119112, -0.0001378025022887, 1.98761713329e-05, 0.0001877399796248, 0.0007987401301023, 2.3346355192e-06, -4.1819361494e-06, 9.2532208318e-06, 1.53614057323e-05, -1.9422042115e-06, 7.0607045653e-06, -1.90486568855e-05, -1.49830998742e-05, 0.9999862315634257]|2121.9730482453787772|      0.00390625|[330, 0, 10, 30]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
      11|[-0.0038126100479037, -0.0001702995119112, -0.0001378025022887, 1.98761713329e-05, 0.0001877399796248, 0.0007987401301023, 2.3346355192e-06, -4.1819361494e-06, 9.2532208318e-06, 1.53614057323e-05, -1.9422042115e-06, 7.0607045653e-06, -1.90486568855e-05, -1.49830998742e-05, 0.9999862315634257]|2121.9730482453787772|      0.00195312|[363, 0, 11, 33]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
      12|[-0.0018762582879172, -0.0002077631061272, -0.0001117640094204, 3.14198189979e-05, 0.0002366606603554, 0.0010404410997338, 1.17834835194e-05, -3.7112193888e-06, 7.9521021889e-06, 2.75153669018e-05, -2.9620608613e-06, 1.01738035734e-05, -4.60612574579e-05, -5.00796167243e-05, 0.9999854166203045]|2117.5399594501145657|      0.00390625|[396, 0, 12, 36]                                                           |  | used linear model with 33 points | iterate success | actual_k=0
