k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2102465999903892, 1.1536385631378416, 0.006857180953248, 1.6173703973630458, 0.9746035583860748, 1.6165958121213764, 0.618528761531079, 1.1569797760455418]| 82.5171767262658307|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       2|[-0.2102465999903892, 1.1536385631378416, 0.006857180953248, 1.6173703973630458, 0.9746035583860748, 1.6165958121213764, 0.618528761531079, 1.1569797760455418]| 82.5171767262658307|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[-0.2102465999903892, 1.1536385631378416, 0.006857180953248, 1.6173703973630458, 0.9746035583860748, 1.6165958121213764, 0.618528761531079, 1.1569797760455418]| 82.5171767262658307|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[-0.2102465999903892, 1.1536385631378416, 0.006857180953248, 1.6173703973630458, 0.9746035583860748, 1.6165958121213764, 0.618528761531079, 1.1569797760455418]| 82.5171767262658307|      0.25000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[-0.2861141607215725, 1.0946702432918047, -0.0319166986439247, 1.5343178086779996, 0.9436465655385486, 1.571106482803973, 0.6640422202813189, 0.9575640925058225]| 60.5795417182940241|      0.50000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       6|[-0.2861141607215725, 1.0946702432918047, -0.0319166986439247, 1.5343178086779996, 0.9436465655385486, 1.571106482803973, 0.6640422202813189, 0.9575640925058225]| 60.5795417182940241|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       7|[-0.2689934817289197, 1.0327492525274262, 0.0160571829571723, 1.6413241633990852, 1.017248067830252, 1.6983936714427728, 0.8148691391399139, 0.973465381871003]| 54.2093661976222663|      0.50000000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       8|[-0.2689934817289197, 1.0327492525274262, 0.0160571829571723, 1.6413241633990852, 1.017248067830252, 1.6983936714427728, 0.8148691391399139, 0.973465381871003]| 54.2093661976222663|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[-0.2689934817289197, 1.0327492525274262, 0.0160571829571723, 1.6413241633990852, 1.017248067830252, 1.6983936714427728, 0.8148691391399139, 0.973465381871003]| 54.2093661976222663|      0.12500000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
      10|[-0.2689934817289197, 1.0327492525274262, 0.0160571829571723, 1.6413241633990852, 1.017248067830252, 1.6983936714427728, 0.8148691391399139, 0.973465381871003]| 54.2093661976222663|      0.06250000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[-0.2640802578050677, 1.0375036344411743, -0.0150255578227704, 1.6644675979591386, 1.0338646591710843, 1.7203984137955979, 0.8338864772215362, 0.938311835760396]| 53.5156758301659963|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      12|[-0.2640802578050677, 1.0375036344411743, -0.0150255578227704, 1.6644675979591386, 1.0338646591710843, 1.7203984137955979, 0.8338864772215362, 0.938311835760396]| 53.5156758301659963|      0.06250000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[-0.2640802578050677, 1.0375036344411743, -0.0150255578227704, 1.6644675979591386, 1.0338646591710843, 1.7203984137955979, 0.8338864772215362, 0.938311835760396]| 53.5156758301659963|      0.03125000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      14|[-0.2757886460464551, 1.0243920994579836, -0.0292003892841951, 1.6472990574050272, 1.035442786568999, 1.710710097610417, 0.84082643455641, 0.9435427246960922]| 52.3999255210911699|      0.06250000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      15|[-0.2757886460464551, 1.0243920994579836, -0.0292003892841951, 1.6472990574050272, 1.035442786568999, 1.710710097610417, 0.84082643455641, 0.9435427246960922]| 52.3999255210911699|      0.03125000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      16|[-0.2757886460464551, 1.0243920994579836, -0.0292003892841951, 1.6472990574050272, 1.035442786568999, 1.710710097610417, 0.84082643455641, 0.9435427246960922]| 52.3999255210911699|      0.01562500|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[-0.2838539110979508, 1.017084912916036, -0.0359234946998003, 1.6394339565563982, 1.0311689628417064, 1.710223012102573, 0.8410331513188117, 0.9432400064474218]| 51.8902589037446020|      0.03125000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      18|[-0.2979986881934107, 0.9983572856614664, -0.0478646059723503, 1.6293027371153692, 1.0307405351992565, 1.7202893958819745, 0.8492293605734362, 0.9397992894053872]| 50.8382330858077793|      0.06250000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      19|[-0.2979986881934107, 0.9983572856614664, -0.0478646059723503, 1.6293027371153692, 1.0307405351992565, 1.7202893958819745, 0.8492293605734362, 0.9397992894053872]| 50.8382330858077793|      0.03125000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      20|[-0.2979986881934107, 0.9983572856614664, -0.0478646059723503, 1.6293027371153692, 1.0307405351992565, 1.7202893958819745, 0.8492293605734362, 0.9397992894053872]| 50.8382330858077793|      0.01562500|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
