k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.601200461765853, 2.937677438069101, -0.0030717410260006, 39.845501802114846, -0.6565119635367164, -1.0822152163651324, 25.51464706308634, -0.2337353626667912, 0.9085227026532222]|992.3954467773437500|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[10.601200461765853, 2.937677438069101, -0.0030717410260006, 39.845501802114846, -0.6565119635367164, -1.0822152163651324, 25.51464706308634, -0.2337353626667912, 0.9085227026532222]|992.3954467773437500|      1.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[10.601200461765853, 2.937677438069101, -0.0030717410260006, 39.845501802114846, -0.6565119635367164, -1.0822152163651324, 25.51464706308634, -0.2337353626667912, 0.9085227026532222]|992.3954467773437500|      0.50000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[10.532810439336249, 2.9681271312052586, 0.13212807432703, 39.90238495129607, -0.4388472099984479, -1.1578589926730511, 25.857042864727344, -0.4512656959664648, 0.9808184948812223]|904.5853881835937500|      1.00000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | iterate success | actual_k=2
       5|[10.532810439336249, 2.9681271312052586, 0.13212807432703, 39.90238495129607, -0.4388472099984479, -1.1578589926730511, 25.857042864727344, -0.4512656959664648, 0.9808184948812223]|904.5853881835937500|      0.50000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[10.509003588575382, 3.175821262694555, 0.402147825100737, 40.081661620224025, -0.308261948426937, -1.0975170783899961, 26.09210289325451, -0.565816279996949, 0.8704695877729144]|876.1779174804687500|      1.00000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[10.509003588575382, 3.175821262694555, 0.402147825100737, 40.081661620224025, -0.308261948426937, -1.0975170783899961, 26.09210289325451, -0.565816279996949, 0.8704695877729144]|876.1779174804687500|      0.50000000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[10.509003588575382, 3.175821262694555, 0.402147825100737, 40.081661620224025, -0.308261948426937, -1.0975170783899961, 26.09210289325451, -0.565816279996949, 0.8704695877729144]|876.1779174804687500|      0.25000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[10.555822771860889, 3.1680184077438467, 0.4746264601667355, 40.16536002655624, -0.3666690141569537, -1.2053321484890729, 26.191584424170525, -0.6969871948368034, 0.9469590982075805]|862.8710327148437500|      0.50000000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[10.555822771860889, 3.1680184077438467, 0.4746264601667355, 40.16536002655624, -0.3666690141569537, -1.2053321484890729, 26.191584424170525, -0.6969871948368034, 0.9469590982075805]|862.8710327148437500|      0.25000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[10.701963018999432, 3.2253429116363126, 0.483623715817564, 40.13203625255376, -0.4929050173324768, -1.2961187047441678, 26.173206349148955, -0.6047628696190591, 1.0073304308000992]|858.3763427734375000|      0.50000000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[10.701963018999432, 3.2253429116363126, 0.483623715817564, 40.13203625255376, -0.4929050173324768, -1.2961187047441678, 26.173206349148955, -0.6047628696190591, 1.0073304308000992]|858.3763427734375000|      0.25000000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[10.701963018999432, 3.2253429116363126, 0.483623715817564, 40.13203625255376, -0.4929050173324768, -1.2961187047441678, 26.173206349148955, -0.6047628696190591, 1.0073304308000992]|858.3763427734375000|      0.12500000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[10.64612662240397, 3.192325893091493, 0.5066411737749185, 40.12179626660911, -0.479990638484128, -1.280346736680331, 26.246209688801287, -0.6131736489454694, 1.0778055870735246]|854.9117431640625000|      0.25000000|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      15|[10.61081016761184, 3.0054873674966402, 0.6149335174516267, 40.2135469751115, -0.5156599389627841, -1.3009559961659467, 26.270208760594947, -0.5653664349824022, 1.118304518389333]|851.0207519531250000|      0.50000000|[400, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[10.61081016761184, 3.0054873674966402, 0.6149335174516267, 40.2135469751115, -0.5156599389627841, -1.3009559961659467, 26.270208760594947, -0.5653664349824022, 1.118304518389333]|851.0207519531250000|      0.25000000|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[10.61081016761184, 3.0054873674966402, 0.6149335174516267, 40.2135469751115, -0.5156599389627841, -1.3009559961659467, 26.270208760594947, -0.5653664349824022, 1.118304518389333]|851.0207519531250000|      0.12500000|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      18|[10.640739887351023, 3.017253933123922, 0.6210409423277496, 40.25133129208627, -0.4719422238245811, -1.3658176313423147, 26.277790789439464, -0.6431361662143098, 1.148336434243401]|849.8881835937500000|      0.25000000|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      19|[10.640739887351023, 3.017253933123922, 0.6210409423277496, 40.25133129208627, -0.4719422238245811, -1.3658176313423147, 26.277790789439464, -0.6431361662143098, 1.148336434243401]|849.8881835937500000|      0.12500000|[504, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[10.656988477641507, 3.0258950304449446, 0.5874942815173576, 40.26674289689456, -0.4929795507725284, -1.4008134666457843, 26.22122896952963, -0.5939257714021855, 1.2297934087366036]|847.9114379882812500|      0.25000000|[530, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[10.656988477641507, 3.0258950304449446, 0.5874942815173576, 40.26674289689456, -0.4929795507725284, -1.4008134666457843, 26.22122896952963, -0.5939257714021855, 1.2297934087366036]|847.9114379882812500|      0.12500000|[557, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[10.656988477641507, 3.0258950304449446, 0.5874942815173576, 40.26674289689456, -0.4929795507725284, -1.4008134666457843, 26.22122896952963, -0.5939257714021855, 1.2297934087366036]|847.9114379882812500|      0.06250000|[583, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[10.650099710347972, 3.014854064397056, 0.5765009189815599, 40.29645123381656, -0.5137980326843367, -1.3813191217415997, 26.25900540661022, -0.5773429407582121, 1.2445570298494655]|846.3868408203125000|      0.12500000|[610, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      24|[10.650660269350633, 3.0421176340845535, 0.5378704513777527, 40.312142572772316, -0.4935265331666349, -1.4031830893519242, 26.353892419697377, -0.5325072998341658, 1.2797721640101185]|844.5722045898437500|      0.25000000|[636, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[10.650660269350633, 3.0421176340845535, 0.5378704513777527, 40.312142572772316, -0.4935265331666349, -1.4031830893519242, 26.353892419697377, -0.5325072998341658, 1.2797721640101185]|844.5722045898437500|      0.12500000|[662, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      26|[10.650660269350633, 3.0421176340845535, 0.5378704513777527, 40.312142572772316, -0.4935265331666349, -1.4031830893519242, 26.353892419697377, -0.5325072998341658, 1.2797721640101185]|844.5722045898437500|      0.06250000|[689, 104, 0, 52]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      27|[10.634053360663025, 3.031096654572513, 0.531520068747644, 40.33332742008154, -0.527011677573615, -1.3980915936616058, 26.318651605859024, -0.5080354159387875, 1.2854208093055393]|843.9236450195312500|      0.12500000|[716, 108, 0, 54]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      28|[10.634053360663025, 3.031096654572513, 0.531520068747644, 40.33332742008154, -0.527011677573615, -1.3980915936616058, 26.318651605859024, -0.5080354159387875, 1.2854208093055393]|843.9236450195312500|      0.06250000|[742, 112, 0, 56]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
