k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 0.1]                                                                      |  2.9803003000300001|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0039660658672047, 0.1889741651039578]                                        |  0.0038247546044837|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.0039660658672047, 0.1889741651039578]                                        |  0.0038247546044837|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.0039660658672047, 0.1889741651039578]                                        |  0.0038247546044837|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.0039660658672047, 0.1889741651039578]                                        |  0.0038247546044837|      0.25000000|[16, 4, 3, 7]                                                              |  | used linear model with 5 points | actual_k=1
       5|[0.0039660658672047, 0.1889741651039578]                                        |  0.0038247546044837|      0.12500000|[19, 5, 4, 9]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.0186094636728858, 0.0660296838696035]                                       |  0.0000543667012160|      0.25000000|[23, 6, 5, 11]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[-0.0186094636728858, 0.0660296838696035]                                       |  0.0000543667012160|      0.12500000|[27, 7, 5, 12]                                                             |  | used linear model with 5 points | actual_k=1
       8|[-0.0186094636728858, 0.0660296838696035]                                       |  0.0000543667012160|      0.06250000|[30, 8, 5, 13]                                                             |  | used linear model with 5 points | actual_k=1
       9|[-0.0186094636728858, 0.0660296838696035]                                       |  0.0000543667012160|      0.03125000|[33, 9, 5, 14]                                                             |  | used linear model with 5 points | actual_k=1
      10|[-0.0186094636728858, 0.0660296838696035]                                       |  0.0000543667012160|      0.01562500|[36, 10, 5, 15]                                                            |  | used linear model with 5 points | actual_k=1
      11|[-0.0186094636728858, 0.0660296838696035]                                       |  0.0000543667012160|      0.00781250|[39, 11, 5, 16]                                                            |  | used linear model with 5 points | actual_k=1
      12|[-0.0186094636728858, 0.0660296838696035]                                       |  0.0000543667012160|      0.00390625|[42, 12, 5, 17]                                                            |  | used linear model with 5 points | actual_k=1
      13|[-0.0185412838688019, 0.0621240289210942]                                       |  0.0000423857860357|      0.00781250|[45, 13, 6, 19]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
      14|[-0.0185412838688019, 0.0621240289210942]                                       |  0.0000423857860357|      0.00390625|[49, 14, 6, 20]                                                            |  | used linear model with 5 points | actual_k=1
