k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.158769605687148, -0.6086450667959438, 0.745417509447215, 0.3826195510850144, 0.35547742058163, -0.1489849419835748, -0.0686684692569988]|100182.6406250000000000|      2.00000000|[37, 12, 0, 3]                                                             |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 25 points | iterate success | actual_k=4
       2|[10.520004794251575, 0.8744786719722191, 1.3393579991674711, -0.0511363706295039, 1.0503166124805061, 0.2241416465790658, 0.6433137323481698]|55987.4101562500000000|      4.00000000|[61, 20, 0, 5]                                                             |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
       3|[10.520004794251575, 0.8744786719722191, 1.3393579991674711, -0.0511363706295039, 1.0503166124805061, 0.2241416465790658, 0.6433137323481698]|55987.4101562500000000|      2.00000000|[97, 32, 0, 8]                                                             |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 25 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[10.520004794251575, 0.8744786719722191, 1.3393579991674711, -0.0511363706295039, 1.0503166124805061, 0.2241416465790658, 0.6433137323481698]|55987.4101562500000000|      1.00000000|[133, 44, 1, 12]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[10.37564778779259, 0.8007960794659963, 1.5031802025286947, 0.9075351006193311, 1.1971433906941524, 0.2183481313529366, 0.5642469344621018]|45286.3906250000000000|      2.00000000|[158, 52, 1, 14]                                                           |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
       6|[11.086171873897845, 0.2634020516520613, 2.067360040758177, 2.467484458836843, 1.8574766715384436, 0.3321464772635848, 0.6392948294609042]|33112.1367187500000000|      4.00000000|[182, 60, 1, 16]                                                           |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
       7|[11.086171873897845, 0.2634020516520613, 2.067360040758177, 2.467484458836843, 1.8574766715384436, 0.3321464772635848, 0.6392948294609042]|33112.1367187500000000|      2.00000000|[218, 72, 2, 20]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[11.086171873897845, 0.2634020516520613, 2.067360040758177, 2.467484458836843, 1.8574766715384436, 0.3321464772635848, 0.6392948294609042]|33112.1367187500000000|      1.00000000|[256, 84, 3, 24]                                                           |  | trying quadratic partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 26 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[11.086171873897845, 0.2634020516520613, 2.067360040758177, 2.467484458836843, 1.8574766715384436, 0.3321464772635848, 0.6392948294609042]|33112.1367187500000000|      0.50000000|[292, 96, 3, 27]                                                           |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 25 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[11.06600581143675, 0.2407418199374473, 2.074977882422765, 2.5833541979627412, 1.8748363324926247, 0.3279788413778249, 0.1542409264259895]|8433.8105468750000000|      1.00000000|[316, 104, 3, 29]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
