k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.871681534358224, 89.97713994002983, 1499.9566700746223, 10.558111507408489]  |24834.3066887135391880|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[2.091255326860711, 89.56107834541878, 1500.274680852529, 12.475805237979412]   |15305.4043259581158054|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[2.091255326860711, 89.56107834541878, 1500.274680852529, 12.475805237979412]   |15305.4043259581158054|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[1.9811013315795094, 88.83814674320583, 1500.1717651760614, 14.334472599123588] |10429.9641653429607686|      4.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[1.9811013315795094, 88.83814674320583, 1500.1717651760614, 14.334472599123588] |10429.9641653429607686|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[1.9811013315795094, 88.83814674320583, 1500.1717651760614, 14.334472599123588] |10429.9641653429607686|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[2.9182448726152463, 88.78067426568354, 1500.1288620982396, 14.675966704103246] |8039.8199920945453414|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[2.9182448726152463, 88.78067426568354, 1500.1288620982396, 14.675966704103246] |8039.8199920945453414|      1.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[2.9182448726152463, 88.78067426568354, 1500.1288620982396, 14.675966704103246] |8039.8199920945453414|      0.50000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[2.4565021224125863, 88.75491876814759, 1500.1166979124978, 14.865656765959947] |6891.9084697998605407|      1.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[2.783403184995705, 88.80835983398441, 1500.1410180938146, 15.808889651595816]  |4874.2677432208165555|      2.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[2.783403184995705, 88.80835983398441, 1500.1410180938146, 15.808889651595816]  |4874.2677432208165555|      1.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[2.783403184995705, 88.80835983398441, 1500.1410180938146, 15.808889651595816]  |4874.2677432208165555|      0.50000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[2.783403184995705, 88.80835983398441, 1500.1410180938146, 15.808889651595816]  |4874.2677432208165555|      0.25000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
