k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1139927638875866, 2.0292153432875444, -8.21114639488504]                     | 43.2531738281250000|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[1.49599778894251, 0.1281154832524685, -8.148684141345411]                      |  3.2583198547363281|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[1.49599778894251, 0.1281154832524685, -8.148684141345411]                      |  3.2583198547363281|      2.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.0310323142788504, -1.2190688489222512, -7.951274584366947]                   |  1.0715796947479248|      4.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[0.0310323142788504, -1.2190688489222512, -7.951274584366947]                   |  1.0715796947479248|      2.00000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.0310323142788504, -1.2190688489222512, -7.951274584366947]                   |  1.0715796947479248|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.0310323142788504, -1.2190688489222512, -7.951274584366947]                   |  1.0715796947479248|      0.50000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.0310323142788504, -1.2190688489222512, -7.951274584366947]                   |  1.0715796947479248|      0.25000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.0594476044575643, -1.0390257972715347, -7.780169146591414]                   |  1.0043425559997559|      0.50000000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.0594476044575643, -1.0390257972715347, -7.780169146591414]                   |  1.0043425559997559|      0.25000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      11|[0.0594476044575643, -1.0390257972715347, -7.780169146591414]                   |  1.0043425559997559|      0.12500000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.0594476044575643, -1.0390257972715347, -7.780169146591414]                   |  1.0043425559997559|      0.06250000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.0118447021894904, -0.9985513497654325, -7.778743385485203]                   |  0.9993054866790771|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.0118447021894904, -0.9985513497654325, -7.778743385485203]                   |  0.9993054866790771|      0.06250000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[0.0118447021894904, -0.9985513497654325, -7.778743385485203]                   |  0.9993054866790771|      0.03125000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
