k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |2648.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.449096922080602, 2.6165432093871583, 2.5610087365728282, 1.6783548181220938] |514.1694235961699633|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[2.449096922080602, 2.6165432093871583, 2.5610087365728282, 1.6783548181220938] |514.1694235961699633|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[2.449096922080602, 2.6165432093871583, 2.5610087365728282, 1.6783548181220938] |514.1694235961699633|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[2.449096922080602, 2.6165432093871583, 2.5610087365728282, 1.6783548181220938] |514.1694235961699633|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[2.3213693486531524, 2.461521277491488, 2.4130471635918735, 1.662191880930134]  | 54.1721633195316343|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[2.3213693486531524, 2.461521277491488, 2.4130471635918735, 1.662191880930134]  | 54.1721633195316343|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.3213693486531524, 2.461521277491488, 2.4130471635918735, 1.662191880930134]  | 54.1721633195316343|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[2.3213693486531524, 2.461521277491488, 2.4130471635918735, 1.662191880930134]  | 54.1721633195316343|      0.06250000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.3786980459256477, 2.4535297045033873, 2.4350171727683767, 1.6707431338791938]| 25.5558826617061605|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[2.3786980459256477, 2.4535297045033873, 2.4350171727683767, 1.6707431338791938]| 25.5558826617061605|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[2.3786980459256477, 2.4535297045033873, 2.4350171727683767, 1.6707431338791938]| 25.5558826617061605|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[2.3929813460137868, 2.477030928634824, 2.4241176426694424, 1.660671264810419]  | 23.0579578152395790|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[2.3929813460137868, 2.477030928634824, 2.4241176426694424, 1.660671264810419]  | 23.0579578152395790|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[2.3929813460137868, 2.477030928634824, 2.4241176426694424, 1.660671264810419]  | 23.0579578152395790|      0.01562500|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[2.3929813460137868, 2.477030928634824, 2.4241176426694424, 1.660671264810419]  | 23.0579578152395790|      0.00781250|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[2.3929813460137868, 2.477030928634824, 2.4241176426694424, 1.660671264810419]  | 23.0579578152395790|      0.00390625|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      17|[2.394517526798485, 2.476772452134684, 2.424671024742183, 1.657132070574485]    | 22.9562360431118009|      0.00781250|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      18|[2.394517526798485, 2.476772452134684, 2.424671024742183, 1.657132070574485]    | 22.9562360431118009|      0.00390625|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      19|[2.396185791910693, 2.474837739633235, 2.42565660304273, 1.6543461769067156]    | 22.8862818901641454|      0.00781250|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      20|[2.396185791910693, 2.474837739633235, 2.42565660304273, 1.6543461769067156]    | 22.8862818901641454|      0.00390625|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
