k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 10.0, 1.0, 1.0]                                                         |3066308.1922855651937425|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.60983256428491, 10.331590295134262, 1.5467914318219385, 1.4681572917263779]|2718560.8088983069173992|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[99.75191366161752, 11.481579273718019, 2.496943239564505, 2.4873295283112427]  |2642238.7107861335389316|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[102.89945934949165, 12.378335436000203, 4.210810692977494, 0.9538880131938259] |2603956.8159979255869985|      8.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[102.89945934949165, 12.378335436000203, 4.210810692977494, 0.9538880131938259] |2603956.8159979255869985|      4.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[102.89945934949165, 12.378335436000203, 4.210810692977494, 0.9538880131938259] |2603956.8159979255869985|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[102.89945934949165, 12.378335436000203, 4.210810692977494, 0.9538880131938259] |2603956.8159979255869985|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[103.39217002986119, 12.887556550245002, 4.199135141207873, 1.6594329966980323] |2598629.0653639230877161|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[104.95500773609339, 13.436461231456263, 4.3776976330714845, 0.5529261546845403]|2585340.9351283875294030|      4.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[104.95500773609339, 13.436461231456263, 4.3776976330714845, 0.5529261546845403]|2585340.9351283875294030|      2.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[104.95500773609339, 13.436461231456263, 4.3776976330714845, 0.5529261546845403]|2585340.9351283875294030|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[105.52260846746474, 12.70568614843861, 4.710430992066538, 0.3710314059996713]  |2577875.3045327831059694|      2.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[105.52260846746474, 12.70568614843861, 4.710430992066538, 0.3710314059996713]  |2577875.3045327831059694|      1.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[105.70973318556604, 13.004378475779983, 5.645627225883212, 0.4053131462998659] |2577134.9980559977702796|      2.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[105.70973318556604, 13.004378475779983, 5.645627225883212, 0.4053131462998659] |2577134.9980559977702796|      1.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[105.70973318556604, 13.004378475779983, 5.645627225883212, 0.4053131462998659] |2577134.9980559977702796|      0.50000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[106.20049342229223, 13.080036404562037, 5.595660705722059, 0.4358682559192084] |2572243.4247605171985924|      1.00000000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      17|[106.20049342229223, 13.080036404562037, 5.595660705722059, 0.4358682559192084] |2572243.4247605171985924|      0.50000000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[106.6315762295229, 13.165928304261744, 5.523235815297622, 0.6629031213542432]  |2567875.6886506383307278|      1.00000000|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      19|[106.6315762295229, 13.165928304261744, 5.523235815297622, 0.6629031213542432]  |2567875.6886506383307278|      0.50000000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      20|[107.09907835710864, 13.341257718675584, 5.517702447637801, 0.637004492308349]  |2563260.9115369119681418|      1.00000000|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
