k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.5680331787205315, 0.1769943451757767]                                        |  1.5777565240859985|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.5680331787205315, 0.1769943451757767]                                        |  1.5777565240859985|      1.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.5680331787205315, 0.1769943451757767]                                        |  1.5777565240859985|      0.50000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.7427857257888395, -0.2914728866485408]                                       |  0.5737904906272888|      1.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[2.423515442825694, -1.0240075631949308]                                        |  0.3680226504802704|      2.00000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[2.423515442825694, -1.0240075631949308]                                        |  0.3680226504802704|      1.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[2.423515442825694, -1.0240075631949308]                                        |  0.3680226504802704|      0.50000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       8|[1.940998356898936, -0.8929455099958844]                                        |  0.0177175942808390|      1.00000000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.940998356898936, -0.8929455099958844]                                        |  0.0177175942808390|      0.50000000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.940998356898936, -0.8929455099958844]                                        |  0.0177175942808390|      0.25000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
