k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[57, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[112, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[119.96584469789316, -0.0077789238807899, 0.8645509639423462, 109.95249376929632, 0.154534491348403, 0.8979297919561875, 100.03507892226497, 0.2963387608799171, 0.7346678403449634, 87.9254738085245, 0.3794389070134603, 0.6215670387967316, 85.99804147034266, 0.2954171656776538, 0.6646476436766975, 84.04210497677954, 0.507496059777897, 0.5248890682117078, 79.95739528596867, 0.6190662368498244, 0.3421040033605262, 75.97105265050054, 0.882173133036636, 0.0975456878847408, 886.4092866925528, 910.0087313549701, 922.4652829993136, 926.4109206436603, 935.5195050923194, 952.8238723415874, 975.701207708546]|2132.0874023437500000|      0.50000000|[141, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[119.96584469789316, -0.0077789238807899, 0.8645509639423462, 109.95249376929632, 0.154534491348403, 0.8979297919561875, 100.03507892226497, 0.2963387608799171, 0.7346678403449634, 87.9254738085245, 0.3794389070134603, 0.6215670387967316, 85.99804147034266, 0.2954171656776538, 0.6646476436766975, 84.04210497677954, 0.507496059777897, 0.5248890682117078, 79.95739528596867, 0.6190662368498244, 0.3421040033605262, 75.97105265050054, 0.882173133036636, 0.0975456878847408, 886.4092866925528, 910.0087313549701, 922.4652829993136, 926.4109206436603, 935.5195050923194, 952.8238723415874, 975.701207708546]|2132.0874023437500000|      0.25000000|[195, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[119.96584469789316, -0.0077789238807899, 0.8645509639423462, 109.95249376929632, 0.154534491348403, 0.8979297919561875, 100.03507892226497, 0.2963387608799171, 0.7346678403449634, 87.9254738085245, 0.3794389070134603, 0.6215670387967316, 85.99804147034266, 0.2954171656776538, 0.6646476436766975, 84.04210497677954, 0.507496059777897, 0.5248890682117078, 79.95739528596867, 0.6190662368498244, 0.3421040033605262, 75.97105265050054, 0.882173133036636, 0.0975456878847408, 886.4092866925528, 910.0087313549701, 922.4652829993136, 926.4109206436603, 935.5195050923194, 952.8238723415874, 975.701207708546]|2132.0874023437500000|      0.12500000|[251, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[119.9809590826311, 0.0294252936798455, 0.88494084835422, 109.97430631583259, 0.0961609851754832, 0.875739595622079, 100.02163033913197, 0.264407040790683, 0.7222407769561239, 87.93973058476344, 0.3854059107310365, 0.6085927577990375, 86.01328310082181, 0.3335577583816631, 0.6635827222388377, 84.0774945182231, 0.4917453167474719, 0.5540971511738886, 79.9408783274107, 0.6478649479792582, 0.3204799161979495, 75.96551570563442, 0.8906384450468804, 0.0967897966697352, 886.3959074878228, 909.9880947831372, 922.4441905667231, 926.397440515079, 935.533922403541, 952.8164653915572, 975.6853886286489]|1584.9989013671875000|      0.25000000|[279, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[119.9809590826311, 0.0294252936798455, 0.88494084835422, 109.97430631583259, 0.0961609851754832, 0.875739595622079, 100.02163033913197, 0.264407040790683, 0.7222407769561239, 87.93973058476344, 0.3854059107310365, 0.6085927577990375, 86.01328310082181, 0.3335577583816631, 0.6635827222388377, 84.0774945182231, 0.4917453167474719, 0.5540971511738886, 79.9408783274107, 0.6478649479792582, 0.3204799161979495, 75.96551570563442, 0.8906384450468804, 0.0967897966697352, 886.3959074878228, 909.9880947831372, 922.4441905667231, 926.397440515079, 935.533922403541, 952.8164653915572, 975.6853886286489]|1584.9989013671875000|      0.12500000|[334, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[119.97840497467207, -0.0545235036521034, 0.8506971899660762, 109.98238686283834, 0.0619453150484751, 0.8821742594778103, 100.01127620433373, 0.2207830194492095, 0.7329253252005051, 87.94257236391195, 0.3751610231726011, 0.611498706619569, 86.0220577373917, 0.3663685828293928, 0.6595064173929195, 84.08415812178605, 0.5175965172378948, 0.5660124330317081, 79.91319021612337, 0.646476193326973, 0.3198171629942127, 75.97308790726497, 0.8757422924694503, 0.0931122218591764, 886.3828514252598, 909.974706710232, 922.4347203913692, 926.3862051852673, 935.5282141580049, 952.8300983908363, 975.6875084116865]|771.9110717773437500|      0.25000000|[362, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[119.97840497467207, -0.0545235036521034, 0.8506971899660762, 109.98238686283834, 0.0619453150484751, 0.8821742594778103, 100.01127620433373, 0.2207830194492095, 0.7329253252005051, 87.94257236391195, 0.3751610231726011, 0.611498706619569, 86.0220577373917, 0.3663685828293928, 0.6595064173929195, 84.08415812178605, 0.5175965172378948, 0.5660124330317081, 79.91319021612337, 0.646476193326973, 0.3198171629942127, 75.97308790726497, 0.8757422924694503, 0.0931122218591764, 886.3828514252598, 909.974706710232, 922.4347203913692, 926.3862051852673, 935.5282141580049, 952.8300983908363, 975.6875084116865]|771.9110717773437500|      0.12500000|[416, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[119.96899195652128, -0.0210121181052739, 0.8199936962991485, 109.98218654813894, 0.0072709896270428, 0.8791613181356019, 100.00418261230729, 0.1627805514185032, 0.76611489821727, 87.98423362741559, 0.3969310834961913, 0.5922806411414658, 86.05033982125306, 0.3869606466411331, 0.6784911281960528, 84.08770590424766, 0.5026028835815033, 0.572624137155008, 79.90688014183985, 0.6676014873753935, 0.3283741009625553, 75.96911603328701, 0.8651816929315193, 0.0880427528389916, 886.3972176948208, 909.9827832921284, 922.433492740474, 926.403398742015, 935.5189363534531, 952.8336281485979, 975.699004242742]|258.1291198730468750|      0.25000000|[444, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
