k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1633560256927379, 0.0557080571122293, 0.7401534357344306, 0.4541853780926175, 1.123969904201739, 0.2322702001053065]|488.0152025677999177|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[-0.1633560256927379, 0.0557080571122293, 0.7401534357344306, 0.4541853780926175, 1.123969904201739, 0.2322702001053065]|488.0152025677999177|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[-0.1633560256927379, 0.0557080571122293, 0.7401534357344306, 0.4541853780926175, 1.123969904201739, 0.2322702001053065]|488.0152025677999177|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.1114056594322044, -0.2664508523439418, 0.6404717310939955, 0.395970578928632, 0.922518893454352, 0.1026101112867246]|461.2523504770280169|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[0.6348607904437351, -0.8369177527243118, 0.8745223689300277, 0.9429757647531323, 1.0992625846826265, 0.2264226090757968]|358.9602508216548813|      2.00000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[0.6348607904437351, -0.8369177527243118, 0.8745223689300277, 0.9429757647531323, 1.0992625846826265, 0.2264226090757968]|358.9602508216548813|      1.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.4139708271868411, -1.039442352753889, 1.2915748951921753, 1.606407542950396, 1.6327293050895535, 0.1190441440565827]|181.6089083748009898|      2.00000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[0.4139708271868411, -1.039442352753889, 1.2915748951921753, 1.606407542950396, 1.6327293050895535, 0.1190441440565827]|181.6089083748009898|      1.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[0.4139708271868411, -1.039442352753889, 1.2915748951921753, 1.606407542950396, 1.6327293050895535, 0.1190441440565827]|181.6089083748009898|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[0.5869415815790362, -0.8572169986019998, 1.0180402521764156, 1.8678349497262472, 1.701659260581206, 0.3164224856288707]|139.8158112007289162|      1.00000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      11|[0.5869415815790362, -0.8572169986019998, 1.0180402521764156, 1.8678349497262472, 1.701659260581206, 0.3164224856288707]|139.8158112007289162|      0.50000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
