k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0238709409352945, -0.0036007980423128, 0.3694996558391309, 0.2587664099098367, 0.6120651689947006, 0.1930060757431822, 0.5882166915622522, -0.1054430679369411, -0.1641186421183462]|103299.3593750000000000|      2.00000000|[9, 0, 0, 3]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=0
       2|[-0.0238709409352945, -0.0036007980423128, 0.3694996558391309, 0.2587664099098367, 0.6120651689947006, 0.1930060757431822, 0.5882166915622522, -0.1054430679369411, -0.1641186421183462]|103299.3593750000000000|      1.00000000|[21, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[-0.0238709409352945, -0.0036007980423128, 0.3694996558391309, 0.2587664099098367, 0.6120651689947006, 0.1930060757431822, 0.5882166915622522, -0.1054430679369411, -0.1641186421183462]|103299.3593750000000000|      0.50000000|[33, 0, 0, 13]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-0.0777088416478615, -0.0839631105904186, 0.3289496500860364, 0.0843463386117866, 0.532776094787836, 0.0739450568569536, 0.5881468633660802, -0.4941866281661904, 0.0282166664656316]|36244.3515625000000000|      1.00000000|[41, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=0
       5|[-0.0777088416478615, -0.0839631105904186, 0.3289496500860364, 0.0843463386117866, 0.532776094787836, 0.0739450568569536, 0.5881468633660802, -0.4941866281661904, 0.0282166664656316]|36244.3515625000000000|      0.50000000|[53, 0, 0, 21]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-0.0777088416478615, -0.0839631105904186, 0.3289496500860364, 0.0843463386117866, 0.532776094787836, 0.0739450568569536, 0.5881468633660802, -0.4941866281661904, 0.0282166664656316]|36244.3515625000000000|      0.25000000|[65, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.0677518112476134, -0.1244554821566523, 0.4054863059364804, 0.0863970400901536, 0.7440459391618859, 0.0090290622280623, 0.5255294295928306, -0.5121876703733028, 0.0707036796796114]|9185.6875000000000000|      0.50000000|[77, 0, 0, 31]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | iterate success | actual_k=0
       8|[-0.0677518112476134, -0.1244554821566523, 0.4054863059364804, 0.0863970400901536, 0.7440459391618859, 0.0090290622280623, 0.5255294295928306, -0.5121876703733028, 0.0707036796796114]|9185.6875000000000000|      0.25000000|[89, 0, 0, 36]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.0677518112476134, -0.1244554821566523, 0.4054863059364804, 0.0863970400901536, 0.7440459391618859, 0.0090290622280623, 0.5255294295928306, -0.5121876703733028, 0.0707036796796114]|9185.6875000000000000|      0.12500000|[101, 0, 0, 41]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-0.0756594044919625, -0.1415440020537004, 0.4014495499800331, -0.0008999030311904, 0.7377248040747226, -0.0125971937174527, 0.5090750981520108, -0.4959964120040322, 0.1519000294379049]|5995.3681640625000000|      0.25000000|[107, 0, 0, 43]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[-0.0166624226598301, -0.0237761522896279, 0.5554750019437849, 0.0269537759568368, 0.8720133874715822, -0.0382681273879071, 0.5510370136982922, -0.4944468264591389, 0.1658570482068764]|3786.3430175781250000|      0.50000000|[113, 0, 0, 45]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[-0.0166624226598301, -0.0237761522896279, 0.5554750019437849, 0.0269537759568368, 0.8720133874715822, -0.0382681273879071, 0.5510370136982922, -0.4944468264591389, 0.1658570482068764]|3786.3430175781250000|      0.25000000|[125, 0, 0, 50]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[-0.0166624226598301, -0.0237761522896279, 0.5554750019437849, 0.0269537759568368, 0.8720133874715822, -0.0382681273879071, 0.5510370136982922, -0.4944468264591389, 0.1658570482068764]|3786.3430175781250000|      0.12500000|[137, 0, 0, 55]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.0456908935012769, -0.0668644909312713, 0.6019052387385602, -0.0243203699267175, 0.8860935725501993, -0.0328303811123649, 0.568979540181475, -0.5026893706143162, 0.2327746066258303]|1843.2490234375000000|      0.25000000|[143, 0, 0, 57]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.0456908935012769, -0.0668644909312713, 0.6019052387385602, -0.0243203699267175, 0.8860935725501993, -0.0328303811123649, 0.568979540181475, -0.5026893706143162, 0.2327746066258303]|1843.2490234375000000|      0.12500000|[155, 0, 0, 62]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[0.0207184450780033, -0.0751748560799737, 0.6057199561718056, 0.0625711559653335, 0.886470194523758, 0.043566607371875, 0.6058103050724194, -0.5154273059484263, 0.2292784119376521]|550.8820190429687500|      0.25000000|[167, 0, 0, 67]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | iterate success | actual_k=0
