k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.562819807515462, 2.9755537513958132, 0.7242890050871839, 40.125521259227185, -0.9315214719551534, -1.4649297471048675, 25.587997355227696, -0.6888232620134278, 0.9944309138833374]|924.8809517286305208|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[10.562819807515462, 2.9755537513958132, 0.7242890050871839, 40.125521259227185, -0.9315214719551534, -1.4649297471048675, 25.587997355227696, -0.6888232620134278, 0.9944309138833374]|924.8809517286305208|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[10.562819807515462, 2.9755537513958132, 0.7242890050871839, 40.125521259227185, -0.9315214719551534, -1.4649297471048675, 25.587997355227696, -0.6888232620134278, 0.9944309138833374]|924.8809517286305208|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[10.83661782681936, 3.0099252223188144, 0.6332871742178557, 40.31088125073153, -0.646171420405312, -1.497634750612548, 25.79673521337379, -0.7149587930364861, 0.927612066537854]|879.3047858395905223|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[10.83661782681936, 3.0099252223188144, 0.6332871742178557, 40.31088125073153, -0.646171420405312, -1.497634750612548, 25.79673521337379, -0.7149587930364861, 0.927612066537854]|879.3047858395905223|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[10.83661782681936, 3.0099252223188144, 0.6332871742178557, 40.31088125073153, -0.646171420405312, -1.497634750612548, 25.79673521337379, -0.7149587930364861, 0.927612066537854]|879.3047858395905223|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[10.787220322055528, 2.9858900226095333, 0.5863051053358183, 40.50487468957661, -0.6686261423397246, -1.4503106739220075, 25.92118283220657, -0.7035640278581392, 0.8918266881231135]|864.7528796790829801|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[10.787220322055528, 2.9858900226095333, 0.5863051053358183, 40.50487468957661, -0.6686261423397246, -1.4503106739220075, 25.92118283220657, -0.7035640278581392, 0.8918266881231135]|864.7528796790829801|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[10.675463661393216, 2.9077469434472087, 0.4502598657106516, 40.46769165118733, -0.6685655932345269, -1.4983174742985266, 26.02126735431327, -0.7037601263440617, 0.9999544636462592]|856.7131985196975847|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[10.675463661393216, 2.9077469434472087, 0.4502598657106516, 40.46769165118733, -0.6685655932345269, -1.4983174742985266, 26.02126735431327, -0.7037601263440617, 0.9999544636462592]|856.7131985196975847|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[10.675463661393216, 2.9077469434472087, 0.4502598657106516, 40.46769165118733, -0.6685655932345269, -1.4983174742985266, 26.02126735431327, -0.7037601263440617, 0.9999544636462592]|856.7131985196975847|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[10.669941734379393, 2.9673685160791634, 0.4553395258842861, 40.50479178770809, -0.6911580170350697, -1.446604460896477, 26.09176548220863, -0.7490055370899612, 1.0208294899453587]|851.4951389839829972|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[10.669941734379393, 2.9673685160791634, 0.4553395258842861, 40.50479178770809, -0.6911580170350697, -1.446604460896477, 26.09176548220863, -0.7490055370899612, 1.0208294899453587]|851.4951389839829972|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[10.659128803546201, 2.9553067706266574, 0.4538112083729722, 40.49917621051525, -0.7306210891459205, -1.4352426250733565, 26.1429069697804, -0.7016235811433045, 1.114540735202953]|848.6141983228418439|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[10.659128803546201, 2.9553067706266574, 0.4538112083729722, 40.49917621051525, -0.7306210891459205, -1.4352426250733565, 26.1429069697804, -0.7016235811433045, 1.114540735202953]|848.6141983228418439|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[10.659128803546201, 2.9553067706266574, 0.4538112083729722, 40.49917621051525, -0.7306210891459205, -1.4352426250733565, 26.1429069697804, -0.7016235811433045, 1.114540735202953]|848.6141983228418439|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[10.646851860261087, 2.966345885374616, 0.4609362565974698, 40.51626069161165, -0.7392826787086584, -1.4103978205780139, 26.17116897600744, -0.6626709229548052, 1.1313538486126824]|846.7324891890305025|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[10.646851860261087, 2.966345885374616, 0.4609362565974698, 40.51626069161165, -0.7392826787086584, -1.4103978205780139, 26.17116897600744, -0.6626709229548052, 1.1313538486126824]|846.7324891890305025|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[10.648986571577796, 2.9901835034634137, 0.4852703223641913, 40.536548737373174, -0.7305283889584764, -1.3991576840033066, 26.204594769997893, -0.6623800856127486, 1.1631243201922175]|844.6634997844430472|      0.12500000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      20|[10.66532556912965, 2.995702332572302, 0.4555454769905861, 40.63320036803967, -0.7297948028457446, -1.3858158771140467, 26.25190051401589, -0.6792641068225928, 1.212124626235395]|842.6404028610094201|      0.25000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[10.66532556912965, 2.995702332572302, 0.4555454769905861, 40.63320036803967, -0.7297948028457446, -1.3858158771140467, 26.25190051401589, -0.6792641068225928, 1.212124626235395]|842.6404028610094201|      0.12500000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[10.688574697855394, 3.022594581240945, 0.5031378601243026, 40.671903417809695, -0.7616715936269909, -1.4020183844150587, 26.204038401938874, -0.6251118039365856, 1.2761279016789886]|841.8837773168885406|      0.25000000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[10.688574697855394, 3.022594581240945, 0.5031378601243026, 40.671903417809695, -0.7616715936269909, -1.4020183844150587, 26.204038401938874, -0.6251118039365856, 1.2761279016789886]|841.8837773168885406|      0.12500000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[10.688574697855394, 3.022594581240945, 0.5031378601243026, 40.671903417809695, -0.7616715936269909, -1.4020183844150587, 26.204038401938874, -0.6251118039365856, 1.2761279016789886]|841.8837773168885406|      0.06250000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[10.669579983322484, 3.0500271877526157, 0.4971913903878102, 40.67680674487332, -0.7664997924567418, -1.3750998627548752, 26.248244272495544, -0.6230951854021085, 1.2708976295184515]|840.0033886929694518|      0.12500000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      26|[10.589546177548025, 3.0563642310638217, 0.5104999604656094, 40.71830075083233, -0.7109996755355089, -1.3267497376234423, 26.291129814769196, -0.6191458333669235, 1.2681053990145577]|839.1276273415304559|      0.25000000|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[10.589546177548025, 3.0563642310638217, 0.5104999604656094, 40.71830075083233, -0.7109996755355089, -1.3267497376234423, 26.291129814769196, -0.6191458333669235, 1.2681053990145577]|839.1276273415304559|      0.12500000|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[10.589546177548025, 3.0563642310638217, 0.5104999604656094, 40.71830075083233, -0.7109996755355089, -1.3267497376234423, 26.291129814769196, -0.6191458333669235, 1.2681053990145577]|839.1276273415304559|      0.06250000|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      29|[10.624286700394247, 3.0631967751031084, 0.5152907940927322, 40.71561496375588, -0.7495768321759916, -1.3105358087824317, 26.291197738212542, -0.5909188966030674, 1.2767450633407293]|837.9565126642908126|      0.12500000|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      30|[10.624286700394247, 3.0631967751031084, 0.5152907940927322, 40.71561496375588, -0.7495768321759916, -1.3105358087824317, 26.291197738212542, -0.5909188966030674, 1.2767450633407293]|837.9565126642908126|      0.06250000|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      31|[10.624175716948201, 3.0446318938532646, 0.4973369936906512, 40.751792928480164, -0.7559272262495658, -1.290056703259142, 26.31845481620187, -0.5963533304328678, 1.3031684648419375]|837.3398295689506767|      0.12500000|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
