k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[111, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[220, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       3|[99.96634913670886, 0.0764436634774903, 0.2664422280165337, 0.9016445848229655, 100.03405877699323, 0.0606851232220272, 0.2408054317135973, 0.829325539876123, 100.01283011343823, -0.023386406344022, 0.2800128833116484, 0.7566060454131263, 99.97060588861416, 0.1692547306545584, 0.3532140987359675, 0.6726247141400967, 100.03072674790921, 0.197651257753819, 0.4535512587555627, 0.2833086221670592, 99.9593861395199, 0.6527023972238213, 0.6115913294653629, -0.0083879571056971, 300.0026544681139, 299.956184162138, 299.97661611392004, 299.9685197377493, 299.9862879182068]|555.9387817382812500|      0.50000000|[329, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       4|[99.96634913670886, 0.0764436634774903, 0.2664422280165337, 0.9016445848229655, 100.03405877699323, 0.0606851232220272, 0.2408054317135973, 0.829325539876123, 100.01283011343823, -0.023386406344022, 0.2800128833116484, 0.7566060454131263, 99.97060588861416, 0.1692547306545584, 0.3532140987359675, 0.6726247141400967, 100.03072674790921, 0.197651257753819, 0.4535512587555627, 0.2833086221670592, 99.9593861395199, 0.6527023972238213, 0.6115913294653629, -0.0083879571056971, 300.0026544681139, 299.956184162138, 299.97661611392004, 299.9685197377493, 299.9862879182068]|555.9387817382812500|      0.25000000|[439, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       5|[99.96634913670886, 0.0764436634774903, 0.2664422280165337, 0.9016445848229655, 100.03405877699323, 0.0606851232220272, 0.2408054317135973, 0.829325539876123, 100.01283011343823, -0.023386406344022, 0.2800128833116484, 0.7566060454131263, 99.97060588861416, 0.1692547306545584, 0.3532140987359675, 0.6726247141400967, 100.03072674790921, 0.197651257753819, 0.4535512587555627, 0.2833086221670592, 99.9593861395199, 0.6527023972238213, 0.6115913294653629, -0.0083879571056971, 300.0026544681139, 299.956184162138, 299.97661611392004, 299.9685197377493, 299.9862879182068]|555.9387817382812500|      0.12500000|[548, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[99.96984249515461, 0.1288722700544703, 0.292885409991689, 0.9211430871160946, 100.04419110246837, 0.0420537471576382, 0.2379695905367847, 0.8100748760330816, 100.00226009144993, 0.0395827105709034, 0.3033068977719189, 0.7836548021871034, 99.96855932326088, 0.125874151445219, 0.3055120713437193, 0.6598515627754614, 100.01756876679073, 0.2192635641605496, 0.4701542673162179, 0.2846769184047326, 99.95950632882831, 0.6509716881410533, 0.6017693578584071, -0.0123556358617907, 299.9986142037421, 299.94924982382236, 299.98121010335046, 299.95916859426546, 299.9776586970124]|258.6550598144531250|      0.25000000|[657, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[99.9472535286052, 0.2185878933605077, 0.2440894598344561, 0.9477410182845638, 100.07699505838565, 0.1391323792143828, 0.2678786494012691, 0.8546413129150067, 100.02669719557869, 0.0558220439905201, 0.3148973770421921, 0.7944594489557572, 99.97529398622139, 0.059756141621844, 0.2612516872573918, 0.6373099631064808, 99.9507252915647, 0.1639909750717196, 0.5002859855858888, 0.2483342318176383, 99.92825747469038, 0.6800985421493931, 0.5812440295640701, 0.0171113875733833, 300.0384758244545, 300.0555370627174, 299.9900401956435, 299.9000739112599, 299.96529367189345]|152.6045227050781250|      0.50000000|[767, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       8|[99.9472535286052, 0.2185878933605077, 0.2440894598344561, 0.9477410182845638, 100.07699505838565, 0.1391323792143828, 0.2678786494012691, 0.8546413129150067, 100.02669719557869, 0.0558220439905201, 0.3148973770421921, 0.7944594489557572, 99.97529398622139, 0.059756141621844, 0.2612516872573918, 0.6373099631064808, 99.9507252915647, 0.1639909750717196, 0.5002859855858888, 0.2483342318176383, 99.92825747469038, 0.6800985421493931, 0.5812440295640701, 0.0171113875733833, 300.0384758244545, 300.0555370627174, 299.9900401956435, 299.9000739112599, 299.96529367189345]|152.6045227050781250|      0.25000000|[876, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       9|[99.9472535286052, 0.2185878933605077, 0.2440894598344561, 0.9477410182845638, 100.07699505838565, 0.1391323792143828, 0.2678786494012691, 0.8546413129150067, 100.02669719557869, 0.0558220439905201, 0.3148973770421921, 0.7944594489557572, 99.97529398622139, 0.059756141621844, 0.2612516872573918, 0.6373099631064808, 99.9507252915647, 0.1639909750717196, 0.5002859855858888, 0.2483342318176383, 99.92825747469038, 0.6800985421493931, 0.5812440295640701, 0.0171113875733833, 300.0384758244545, 300.0555370627174, 299.9900401956435, 299.9000739112599, 299.96529367189345]|152.6045227050781250|      0.12500000|[985, 144, 0, 18]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      10|[99.91056594887887, 0.2853597047372033, 0.2604416643494946, 0.953168299469675, 100.04703684434155, 0.1541448328442613, 0.2612898382389513, 0.8553749742558754, 100.00898835997225, 0.0454836920813882, 0.3092053630190103, 0.7757844692013883, 100.0136295633259, 0.0987371759903767, 0.2716125830433541, 0.6368520943569773, 99.95223744633856, 0.1431332785364803, 0.4532792811170695, 0.2614961783431535, 99.9382143156874, 0.6888127815835172, 0.5745381631268383, 0.0435780685771173, 300.0207865382708, 300.06447561957333, 299.97832403049654, 299.9136726229396, 299.9669712431939]|105.7234268188476562|      0.25000000|[1095, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
