k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[52, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[104, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[120.04341883003234, 0.0225649334849734, 0.8254542894114786, 109.95104587108743, 0.1529854185757631, 0.777332994688413, 100.02198939586764, 0.2567146732467239, 0.7622449437614257, 88.04905371211498, 0.347198512351905, 0.7244526481867988, 86.0399836673677, 0.3953006502083513, 0.6184608244484179, 83.9262430755387, 0.5343587818174941, 0.4734531219638175, 79.97849024125871, 0.6857049959854253, 0.3219790101360341, 76.00875210856225, 0.9454677939659317, 0.1797766754089561, 886.3789688992491, 910.0677921920328, 922.5451815168104, 926.4993198910266, 935.5485466412997, 952.79282716765, 975.6862585399264]|934.7067871093750000|      0.50000000|[130, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[120.04341883003234, 0.0225649334849734, 0.8254542894114786, 109.95104587108743, 0.1529854185757631, 0.777332994688413, 100.02198939586764, 0.2567146732467239, 0.7622449437614257, 88.04905371211498, 0.347198512351905, 0.7244526481867988, 86.0399836673677, 0.3953006502083513, 0.6184608244484179, 83.9262430755387, 0.5343587818174941, 0.4734531219638175, 79.97849024125871, 0.6857049959854253, 0.3219790101360341, 76.00875210856225, 0.9454677939659317, 0.1797766754089561, 886.3789688992491, 910.0677921920328, 922.5451815168104, 926.4993198910266, 935.5485466412997, 952.79282716765, 975.6862585399264]|934.7067871093750000|      0.25000000|[183, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[120.04341883003234, 0.0225649334849734, 0.8254542894114786, 109.95104587108743, 0.1529854185757631, 0.777332994688413, 100.02198939586764, 0.2567146732467239, 0.7622449437614257, 88.04905371211498, 0.347198512351905, 0.7244526481867988, 86.0399836673677, 0.3953006502083513, 0.6184608244484179, 83.9262430755387, 0.5343587818174941, 0.4734531219638175, 79.97849024125871, 0.6857049959854253, 0.3219790101360341, 76.00875210856225, 0.9454677939659317, 0.1797766754089561, 886.3789688992491, 910.0677921920328, 922.5451815168104, 926.4993198910266, 935.5485466412997, 952.79282716765, 975.6862585399264]|934.7067871093750000|      0.12500000|[235, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[120.03657733634054, -0.0308422489996853, 0.8259625370661091, 109.92730571892199, 0.1333009841933862, 0.7459799068329557, 100.03928216457413, 0.2044283508295887, 0.7556545740474119, 88.06475763875453, 0.3820735827901765, 0.7163156890666255, 86.0572875863896, 0.4211878698565927, 0.631996943244066, 83.91756594897181, 0.5101551677747737, 0.4681136131892911, 79.99855819997497, 0.691972997911471, 0.3261645019648673, 76.03121551111066, 0.9649855755843405, 0.1643857035391154, 886.3754993844946, 910.031829993472, 922.5326749090887, 926.5139377086527, 935.5255135456766, 952.8132579011809, 975.6980214206002]|454.5380859375000000|      0.25000000|[287, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | iterate success | actual_k=2
       7|[120.03657733634054, -0.0308422489996853, 0.8259625370661091, 109.92730571892199, 0.1333009841933862, 0.7459799068329557, 100.03928216457413, 0.2044283508295887, 0.7556545740474119, 88.06475763875453, 0.3820735827901765, 0.7163156890666255, 86.0572875863896, 0.4211878698565927, 0.631996943244066, 83.91756594897181, 0.5101551677747737, 0.4681136131892911, 79.99855819997497, 0.691972997911471, 0.3261645019648673, 76.03121551111066, 0.9649855755843405, 0.1643857035391154, 886.3754993844946, 910.031829993472, 922.5326749090887, 926.5139377086527, 935.5255135456766, 952.8132579011809, 975.6980214206002]|454.5380859375000000|      0.12500000|[339, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[120.03657733634054, -0.0308422489996853, 0.8259625370661091, 109.92730571892199, 0.1333009841933862, 0.7459799068329557, 100.03928216457413, 0.2044283508295887, 0.7556545740474119, 88.06475763875453, 0.3820735827901765, 0.7163156890666255, 86.0572875863896, 0.4211878698565927, 0.631996943244066, 83.91756594897181, 0.5101551677747737, 0.4681136131892911, 79.99855819997497, 0.691972997911471, 0.3261645019648673, 76.03121551111066, 0.9649855755843405, 0.1643857035391154, 886.3754993844946, 910.031829993472, 922.5326749090887, 926.5139377086527, 935.5255135456766, 952.8132579011809, 975.6980214206002]|454.5380859375000000|      0.06250000|[391, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[120.03157739113331, -0.0069086163685695, 0.8213534036711981, 109.93101588076195, 0.110978614582858, 0.7357323750551438, 100.02131459672094, 0.2165565789583606, 0.7561572861115098, 88.08098198736393, 0.3928259719044792, 0.7188045866083594, 86.06859630145482, 0.4180956806892061, 0.6152032889290546, 83.90189608496173, 0.5078480570813139, 0.4723773313836205, 80.00561799001225, 0.6820942545286146, 0.3276835777952051, 76.03006343337789, 0.9721341358308422, 0.170493576983892, 886.3622953541463, 910.0435677905269, 922.5316926627614, 926.5017375044515, 935.5299840181729, 952.8081654941802, 975.6785519816893]|251.7195739746093750|      0.12500000|[418, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[120.03157739113331, -0.0069086163685695, 0.8213534036711981, 109.93101588076195, 0.110978614582858, 0.7357323750551438, 100.02131459672094, 0.2165565789583606, 0.7561572861115098, 88.08098198736393, 0.3928259719044792, 0.7188045866083594, 86.06859630145482, 0.4180956806892061, 0.6152032889290546, 83.90189608496173, 0.5078480570813139, 0.4723773313836205, 80.00561799001225, 0.6820942545286146, 0.3276835777952051, 76.03006343337789, 0.9721341358308422, 0.170493576983892, 886.3622953541463, 910.0435677905269, 922.5316926627614, 926.5017375044515, 935.5299840181729, 952.8081654941802, 975.6785519816893]|251.7195739746093750|      0.06250000|[470, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[120.02374357095555, -0.0294655155659938, 0.8091607720698145, 109.92360857370038, 0.0897873600283148, 0.7409902304933222, 100.02792874523588, 0.2176014510263954, 0.743685144913832, 88.04235200304896, 0.3921236085104788, 0.7170660590769908, 86.08568823937038, 0.4259638755124183, 0.61123783067856, 83.89897937370732, 0.5094475143241481, 0.4682440887131502, 80.01964648297388, 0.6818534348451875, 0.3282539915726939, 76.0291055497139, 0.9736650709667588, 0.178757999617588, 886.3553304940855, 910.0409767942549, 922.5410565191731, 926.4983728339496, 935.5236434535987, 952.8010099355869, 975.6716708967825]|169.1031188964843750|      0.12500000|[497, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[120.02374357095555, -0.0294655155659938, 0.8091607720698145, 109.92360857370038, 0.0897873600283148, 0.7409902304933222, 100.02792874523588, 0.2176014510263954, 0.743685144913832, 88.04235200304896, 0.3921236085104788, 0.7170660590769908, 86.08568823937038, 0.4259638755124183, 0.61123783067856, 83.89897937370732, 0.5094475143241481, 0.4682440887131502, 80.01964648297388, 0.6818534348451875, 0.3282539915726939, 76.0291055497139, 0.9736650709667588, 0.178757999617588, 886.3553304940855, 910.0409767942549, 922.5410565191731, 926.4983728339496, 935.5236434535987, 952.8010099355869, 975.6716708967825]|169.1031188964843750|      0.06250000|[547, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
