k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.448702338702395, 9.474162861959993, 9.580375804104749, 9.57753402672279, 0.0986075452589451, 0.0723155093611758, 0.0848264936201459, 0.2070162159151734]|1564.8677011141312505|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[8.598610360721565, 8.299296634143548, 8.687649054871102, 8.868896772390377, 0.6736728380896557, 0.2888258212731275, 0.4724436801291441, 0.4717449057546198]|1459.9060174007347541|      4.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[6.614914684964154, 5.967047850012151, 7.011916917424662, 7.364607696481277, 0.8855753769404427, 1.283867928755145, 1.06610207517088, 0.8805987707131189]|730.2843028423087617|      8.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[2.8560024246647386, 2.0598303470188486, 3.231285194893334, 3.341395948676322, 1.8899382324465854, 1.1566464439121402, 2.615980810065367, 1.7159231807379236]|126.7838108058856079|     16.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[2.8560024246647386, 2.0598303470188486, 3.231285194893334, 3.341395948676322, 1.8899382324465854, 1.1566464439121402, 2.615980810065367, 1.7159231807379236]|126.7838108058856079|      8.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[2.8560024246647386, 2.0598303470188486, 3.231285194893334, 3.341395948676322, 1.8899382324465854, 1.1566464439121402, 2.615980810065367, 1.7159231807379236]|126.7838108058856079|      4.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[1.8807509970628988, 2.3096209661562317, 2.5176265166553335, 2.0438291555644605, -0.3141802833038239, -1.047798083033133, 0.9718873159953243, 1.1053959603420336]|112.7439671795753640|      8.00000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[1.8807509970628988, 2.3096209661562317, 2.5176265166553335, 2.0438291555644605, -0.3141802833038239, -1.047798083033133, 0.9718873159953243, 1.1053959603420336]|112.7439671795753640|      4.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[1.3901322200934367, 0.9275773262579847, 0.5673742727716224, 1.975066532013762, 0.3745116286778742, -0.3875399928324571, -0.6737063253319018, -1.4289325014501069]| 49.2933821598236293|      8.00000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[1.3901322200934367, 0.9275773262579847, 0.5673742727716224, 1.975066532013762, 0.3745116286778742, -0.3875399928324571, -0.6737063253319018, -1.4289325014501069]| 49.2933821598236293|      4.00000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[1.8277906776816872, 0.1672520511826161, -2.2700362606690696, 1.6805399244629122, 0.6202164324906181, -0.9946187340873122, 0.8224431347313221, 0.6747160997187573]| 17.2984706570788873|      8.00000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
