k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      0.50000000|[121, 8, 1, 3]                                                             |  | used linear model with 129 points | iterate failure | actual_k=4
       2|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      0.25000000|[242, 16, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=4
       3|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      0.12500000|[363, 24, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=4
       4|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      0.06250000|[484, 32, 4, 12]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       5|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      0.03125000|[605, 40, 5, 15]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       6|[4.064344690058956, 0.0476709442557688, 4.065188663559952, 0.1647854947364367, 0.0211840019749535, 0.1636324166975694, 1.1624597620078578, 0.0209022112612334, 1.1591011181032602, 0.2686241248818039, 0.0206165500607212, 0.2683121883938397, 0.3107466454573657, 0.0186829421509733, 0.311622015413875, 0.0744858212151284, 0.0193022255851527, 0.0730515598809287, 0.2305880174445178, 0.0180104705653401, 0.2309703107705038, 1.3675512604640325, 0.0182937476354172, 1.3686560988535306, 0.2502160767969299, 0.0200871732093849, 0.2531247280925836, 1.1613942299461653, 0.0177400928502231, 1.1571070558512848, 0.0434741230931825, 0.0185124257706601, 0.0442413696574937, 0.1226817106478234, 0.0199169182610794, 0.1254778708597151, 0.2983625009755991, 0.0216216633548505, 0.2956023327849243, 0.0912381052100855, 0.0209444132239748, 0.0936715007397619, 0.1070737454424275, 0.0191553883788465, 0.1062361411366739, 0.5368490704004775, 0.021312667459672, 0.5376994472023908, 0.0040771288319496, 0.0202971457046375, 0.0042935997941387, 0.0888459540164119, 0.0193264211009084, 0.0869091978575276, 0.0986360573835525, 0.0203572514937936, 0.1003294876393191, 0.0245070842705262, 0.0211930468314575, 0.0246983312648055, 0.0987354110111326, 0.0188513240945904, 0.0953254779405251, 0.2749254184021304, 0.0222736988381651, 0.2713354729389511, 0.3930706351246613, 0.0205676379712772, 0.39507859023918, 0.1287079588994874, 0.0207556853901932, 0.1309374559934588, 0.0424395409806281, 0.0167474507506632, 0.0392804515846697, 0.2954867134324908, 0.0194075770874971, 0.2991023931029043, 0.091362181130775, 0.018873331562015, 0.0887875469671145, 0.277157412711987, 0.0215949906237747, 0.2774189777288806, 0.0563584081377917, 0.0241066265002152, 0.0565085690352734, 0.1476398872682243, 0.0208438920425257, 0.1434413575036895, 0.1716060639438438, 0.0211362046252921, 0.1700052583866444, 0.1407173651093056, 0.0176354727514661, 0.140401861833376, 0.3801568592838469, 0.019537759934616, 0.3813297060239223]|62724.2024992719307193|      0.06250000|[726, 48, 6, 18]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       7|[4.0638176495679765, 0.1061573567526602, 4.065302713835334, 0.1628568687882526, 0.0238572459254272, 0.1674558891235011, 1.1628396525770806, 0.0244578705150934, 1.1584466635422666, 0.2655888970358073, 0.0214812808679269, 0.2670697938692244, 0.3088223506435619, 0.0182508572232894, 0.3121080804989742, 0.0775958617279487, 0.0193793358146313, 0.0746101136940169, 0.2311121506758289, 0.0212586150960801, 0.2317125761788642, 1.3683243605085358, 0.0184986139379907, 1.3712643047558732, 0.2498168382126806, 0.0199494495565127, 0.2546636333056443, 1.1642165279291627, 0.0193230791099058, 1.155361411143983, 0.0436066081077271, 0.0189905783191922, 0.0443640087713738, 0.1265706012255653, 0.0189420593395839, 0.1257176006041107, 0.2956796724724307, 0.0191872397722664, 0.297126616666988, 0.0880535928573289, 0.0228980003621232, 0.093784484495034, 0.1048012336499578, 0.0170081527364222, 0.1074747233121705, 0.5346578217734254, 0.0218977177889574, 0.5380225499548659, 0.0065360417247994, 0.0154829962299978, 0.0030412927806384, 0.0910246469393212, 0.0153031259519889, 0.0871352792189005, 0.0971364416209493, 0.0232164978328269, 0.102471965011656, 0.0268054822067879, 0.0243461024973206, 0.0248915330013794, 0.1023221061310895, 0.0177773606009639, 0.0920189272561318, 0.276294079274406, 0.0183441227801579, 0.2729740114580899, 0.3889306421320844, 0.023442597221508, 0.3986025271990781, 0.1316035089359968, 0.0231443225422039, 0.1291849843227518, 0.0441654174101211, 0.0185516715965358, 0.0436528932277871, 0.2952191484463317, 0.021339842624955, 0.3003112829296697, 0.0932025913151476, 0.0146763929287271, 0.0912389232393529, 0.2780808910440494, 0.019591386387666, 0.2742357343847824, 0.0563136223553275, 0.0242440880172739, 0.0567513191474435, 0.1473076613043801, 0.0203163573386041, 0.146958162813526, 0.1720901514167711, 0.017209963299542, 0.1705072571867356, 0.1389180527772186, 0.0162302752123769, 0.14293957155882, 0.3793194961183951, 0.0184880156951495, 0.3863097909477491]|27784.6917329668140155|      0.12500000|[847, 56, 7, 21]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       8|[4.049483091245167, 0.2200807252575279, 4.071350648315932, 0.1586744049609365, 0.0253421116187844, 0.1604950883901348, 1.1569660913131796, 0.0284182963723142, 1.158959096893119, 0.2656840369720544, 0.0290624939178266, 0.2773479200465546, 0.3127119629013345, 0.0240926832324202, 0.3124281358109898, 0.075514453691092, 0.0169990501366088, 0.0748395863986072, 0.2267938817438462, 0.0342182535844952, 0.2287669936140721, 1.3593780592050257, 0.0198204472902489, 1.3662174791284067, 0.2468254522290691, 0.0138849247640129, 0.2506550915672193, 1.1646602500688579, 0.0256041115564283, 1.1503366718704653, 0.0479129363128255, 0.0171225490002575, 0.0422250008599829, 0.1210091131224253, 0.0203703680978059, 0.1255975982443819, 0.297987812268381, 0.0131459925352357, 0.3010476624110833, 0.0807182239391986, 0.0227082654522411, 0.0995991460474202, 0.0992835041410481, 0.0158033953473621, 0.1072812095280027, 0.5383911590975062, 0.030366557422196, 0.5395219820856934, 0.0101448486183503, 0.0107355482165125, -0.004697694295359, 0.0910428199940646, 0.0129118119712106, 0.0861859639485476, 0.0999365011472851, 0.0286887706456056, 0.1025184577957348, 0.0340962226118361, 0.0276471703367539, 0.0241102762933283, 0.0921942699445711, 0.0189749374268418, 0.0961286514151695, 0.2770513547998282, 0.0116297876403777, 0.2761931507449435, 0.3875594784098724, 0.0219710188540517, 0.3988502591505781, 0.1360912122096678, 0.0222494663595451, 0.1327836041232379, 0.0486226899027888, 0.0200269088961637, 0.0459498275846363, 0.3013378526519466, 0.0209791709189162, 0.2955131299670722, 0.0828808314103675, 0.0035594950160391, 0.0975738734526137, 0.2834473862034935, 0.0148642753660476, 0.2687024098429994, 0.0603584187986682, 0.0298285929771549, 0.0528478870873082, 0.1430409861526153, 0.0260985662366623, 0.1353300848178562, 0.1714200175174975, 0.0197965972731602, 0.1775700672205956, 0.1419283710403743, 0.0211544933132733, 0.1346101095738305, 0.3812142064934717, 0.0232943378259135, 0.3900999734190209]|12963.1127427047467791|      0.25000000|[968, 64, 8, 24]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       9|[4.014321709336456, 0.4289310603279263, 4.077240262689895, 0.1612632339731039, 0.0351841976423694, 0.1676263187050983, 1.1687318417778034, 0.0217721682763554, 1.140144706705077, 0.2576126835759665, 0.0492976734975301, 0.3026317225270941, 0.2906308093222184, 0.0346510164340722, 0.3130174026427133, 0.0885056661813363, 0.0218286793267618, 0.0840408826416636, 0.2274182153380027, 0.0520459521123712, 0.2567688134697715, 1.3752909124320882, 0.0145472346822627, 1.3594857736567747, 0.2310129100664627, 0.0326453742096866, 0.2595744645850827, 1.1729568435635014, 0.030247808253531, 1.162746273002024, 0.0570665209981102, 0.0286489061384617, 0.0451581014336098, 0.1319868371542336, 0.061169115889001, 0.124693699572882, 0.3048653219679796, 0.0199856880794874, 0.3041677241632156, 0.0778652904150087, 0.0412757359198109, 0.0923208599714229, 0.0953393776815794, 0.0012471466894154, 0.1022714056312328, 0.5339835581325919, 0.0048386366713096, 0.5383989159515832, -0.0017571478697038, 0.0118381510448131, 0.0104755903947548, 0.1007382934589666, -3.6600855178e-05, 0.0818794391129654, 0.1139196486622287, 0.0422174514860819, 0.1276767907610777, 0.0198464601083883, 0.0131958478976764, 0.0380187686203597, 0.0826340377144817, 0.0134088836246832, 0.0953112568119428, 0.2870866026859675, 0.0028375014678641, 0.2791537999160296, 0.3607765935316117, 0.0140503740035874, 0.3810855845293914, 0.1373593663914759, 0.0257917312680797, 0.1283235450192008, 0.0480401707299588, 0.0263150110328128, 0.0580014446880235, 0.309231675888695, 0.0255016777373078, 0.3080559286101187, 0.0751235549626009, 0.0103399229732818, 0.0973207914377088, 0.3077733331125272, 0.0002190564634038, 0.2562091946417708, 0.0596995999328559, 0.0145566384747039, 0.0528532472219728, 0.1185528381929881, 0.0260368896676207, 0.1352018320607867, 0.1801714383904617, 0.0504434130410722, 0.1582717726859878, 0.1667029752780524, 0.0488587287371286, 0.1280237368622996, 0.3721954406569178, 0.0362658830232051, 0.3955678695147947]|6236.4901054361325805|      0.50000000|[1089, 72, 9, 27]                                                          |  | used linear model with 129 points | iterate success | actual_k=4
      10|[3.906467985575761, 0.8841491306069116, 4.0748267047044555, 0.1460234994993512, 0.0341275716547079, 0.1826709366148664, 1.1699950275566253, -0.0124784781661996, 1.1114442819197183, 0.2470137817773997, 0.0692081192849849, 0.2811646178470814, 0.2759365411697069, 0.0152503487287613, 0.3048168226090834, 0.0896120767638762, 0.0117491138150756, 0.0635087279735767, 0.2294810865368536, 0.0197172984910389, 0.2801334726179607, 1.3386391344046649, 0.0200458246649729, 1.3519261348517295, 0.2448697073757495, 0.0813249316647832, 0.2422989461541514, 1.1552818458787233, 0.0134660922443389, 1.1688067484338964, 0.0489880381419896, 0.0351636505824087, 0.0485130176792436, 0.1393119973144422, 0.0543442802492626, 0.0989784615615861, 0.2758693802990001, 0.0212654207283513, 0.2907173711961746, 0.0764567904156604, 0.0287671844941289, 0.1044880309345778, 0.0661319974591443, 0.0117190738647689, 0.0992585827976249, 0.5374434160446512, 0.0060705938014949, 0.5338366038227346, -0.0161167862085332, 0.0085548212402083, -0.0193092186108631, 0.1278360032155807, 0.0178992886389989, 0.0840681369789119, 0.1382864965876872, 0.0111620737685182, 0.1650634123845481, -0.006151099371799, 0.0242079461807033, 0.0500318960713022, 0.07050825383836, -0.0049566800407891, 0.1038898415874271, 0.2789429186246403, -0.0065614173431964, 0.2558382148717859, 0.3496821244496058, 0.0138817463122494, 0.3811196225540814, 0.1595200629649487, 0.0015591663014374, 0.1517059368819239, 0.0554859362248666, 0.0251700237805661, 0.0292967043894384, 0.3057580261476003, 0.0324654431390088, 0.3062035427779618, 0.0754794403698395, 0.0163272233498613, 0.0872068205911292, 0.2878518325543851, 0.0055135470488239, 0.270781131671527, 0.0487758963440417, -0.002785701366673, 0.059087076266322, 0.11098269923075, 0.0432394160428972, 0.1613528791474506, 0.1964298914403751, 0.0445751625990114, 0.1479248202135646, 0.1751141077922546, 0.03221376666749, 0.1265171100658098, 0.389552131005721, -0.0149306130966963, 0.4244139794650173]|2566.2741571369128906|      1.00000000|[1210, 80, 10, 30]                                                         |  | used linear model with 129 points | iterate success | actual_k=4
      11|[3.5920566602465405, 1.6856493407349475, 4.000350024261108, 0.1375454418620818, -0.001187036265771, 0.2615124372666744, 1.1489523900585599, 0.0178969752614705, 1.0443757288810764, 0.1686331603701237, 0.038477984748489, 0.2208028517690252, 0.3581354561963209, -0.0052569966465536, 0.3298935978420904, 0.0920102460409001, 0.058051276635563, 0.073430050354674, 0.33604119323246, -0.0362079219071118, 0.2112248510992356, 1.3310038913592597, -0.047667026937126, 1.323134836267601, 0.1780375780076605, 0.0655807207523473, 0.1775983710888947, 1.2218341527053227, 0.0611225609606082, 1.1662945694015998, 0.0571217555644706, 0.0125244840883682, 0.050957894183057, 0.047138997841411, -0.0064904723871834, 0.1183559181611028, 0.2626627527841322, 0.0186722263351283, 0.3259319313861569, 0.0075150925822495, -0.0231329616889342, 0.1043510922777715, 0.1195647407615902, 0.0700644440689914, 0.0490153579044427, 0.4803996500205867, -0.1234072433295498, 0.5919864621533827, -0.0006889269182285, 0.0093777445397828, -0.0045912130392784, 0.2128659741720426, -0.0107642692234475, 0.1249193319522232, 0.1151487925781433, -0.081952666682394, 0.2373418061454526, -0.0300742612946068, -0.0881954101919733, 0.0925230483568563, 0.0620842295221014, 0.0103017218451872, 0.0108648773584506, 0.3268798919645299, -0.0477036378667805, 0.2874318620947879, 0.3206844464590645, 0.0857700547434453, 0.3106111028241897, 0.2057494609862351, 0.0286955199573512, 0.1981612574115983, 0.0383801543629457, 0.0293992666154529, 0.1258354891462607, 0.2254249266777874, 0.0671819796919187, 0.290377602582548, 0.0286606304510511, 0.0052736030443141, 0.0860834587318896, 0.2860309468241398, -0.0192157193457089, 0.2748590512149935, -0.0310382386784536, 0.0632911692254791, 0.0664741501426901, 0.1651040450300423, 0.1004401342838185, 0.1515292475486656, 0.1450809868365582, 0.0672747660445623, 0.1681985040880695, 0.1844483345299362, -0.0426480792849623, 0.1271919326629848, 0.3483364136761571, -0.0946855102600107, 0.4191460343086789]|969.6259446104534163|      2.00000000|[1331, 88, 11, 33]                                                         |  | used linear model with 129 points | iterate success | actual_k=4
