k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[97, 32, 1, 3]                                                             |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
       2|[0.8881425557899397, 0.8895459840789348, 0.8872449001628671, 0.8895736811118744, 0.8849044735956553, 0.8884207775233646, 0.8884527236389237, 0.8874037776504753, 0.8874678322849455, 0.8891383884636899, 1.0393522645166096, 0.6535148837170486, 0.988877383781958, 0.9873569129831145, 0.9904333371543219, 0.9890675168470353, 0.9738856560714114, 0.9649749222830651, 0.9786028558542624, 0.9942060982837223, 0.9915539850425037, 0.9935076266104269]|  1.3729268312454224|      1.00000000|[194, 64, 1, 5]                                                            |  | trying linear partial model with 49 points | iterate success | actual_k=16
       3|[0.8881425557899397, 0.8895459840789348, 0.8872449001628671, 0.8895736811118744, 0.8849044735956553, 0.8884207775233646, 0.8884527236389237, 0.8874037776504753, 0.8874678322849455, 0.8891383884636899, 1.0393522645166096, 0.6535148837170486, 0.988877383781958, 0.9873569129831145, 0.9904333371543219, 0.9890675168470353, 0.9738856560714114, 0.9649749222830651, 0.9786028558542624, 0.9942060982837223, 0.9915539850425037, 0.9935076266104269]|  1.3729268312454224|      0.50000000|[290, 96, 1, 7]                                                            |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       4|[0.7781759182308802, 0.7797895008301353, 0.7742981702897269, 0.7744695763464198, 0.7723780794430767, 0.775279279889239, 0.7754686628027772, 0.7745783407336426, 0.7728056336447765, 0.7775773126004948, 1.0695159935617145, 0.3093341998429797, 0.9750999936277415, 0.9768979917474483, 0.9789308484766491, 0.9765180625431181, 0.9411294104503598, 0.9243109748296867, 0.9589215452524714, 0.9865464231603616, 0.9829797757150777, 0.9835975022108937]|  1.2271789126954131|      1.00000000|[386, 128, 2, 10]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
       5|[0.7781759182308802, 0.7797895008301353, 0.7742981702897269, 0.7744695763464198, 0.7723780794430767, 0.775279279889239, 0.7754686628027772, 0.7745783407336426, 0.7728056336447765, 0.7775773126004948, 1.0695159935617145, 0.3093341998429797, 0.9750999936277415, 0.9768979917474483, 0.9789308484766491, 0.9765180625431181, 0.9411294104503598, 0.9243109748296867, 0.9589215452524714, 0.9865464231603616, 0.9829797757150777, 0.9835975022108937]|  1.2271789126954131|      0.50000000|[483, 160, 2, 12]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       6|[0.6659785895405418, 0.6671209232669065, 0.6604501630778067, 0.6592911164015708, 0.6574151307172772, 0.6598167428059224, 0.6645787966100976, 0.6599563200940592, 0.658606764664092, 0.6654587325408824, 1.091415880620372, -0.0308893116611145, 0.9621567265299211, 0.9587870192456657, 0.9634192827749497, 0.9623820822967427, 0.9102488413001005, 0.8807948003349169, 0.9371389701912993, 0.9775450265366721, 0.9709824233738371, 0.9701447025355662]|  1.0930140841786473|      1.00000000|[579, 192, 3, 15]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
       7|[0.6659785895405418, 0.6671209232669065, 0.6604501630778067, 0.6592911164015708, 0.6574151307172772, 0.6598167428059224, 0.6645787966100976, 0.6599563200940592, 0.658606764664092, 0.6654587325408824, 1.091415880620372, -0.0308893116611145, 0.9621567265299211, 0.9587870192456657, 0.9634192827749497, 0.9623820822967427, 0.9102488413001005, 0.8807948003349169, 0.9371389701912993, 0.9775450265366721, 0.9709824233738371, 0.9701447025355662]|  1.0930140841786473|      0.50000000|[676, 224, 3, 17]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       8|[0.5552306349291918, 0.5524197779779325, 0.553181866579256, 0.5408792186891711, 0.5444052000340281, 0.5389401487187291, 0.5390049261311185, 0.5409902186455314, 0.5473284710639288, 0.5514079316076949, 1.110481991293767, -0.3623366289452095, 0.9460355869062342, 0.9453507784406615, 0.9326429853075743, 0.9376639098754231, 0.8747420118188282, 0.8383739705134949, 0.9131489872651212, 0.9794164874477612, 0.9573323556264544, 0.95250773341168]|  0.9721753597259521|      1.00000000|[772, 256, 3, 19]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       9|[0.5552306349291918, 0.5524197779779325, 0.553181866579256, 0.5408792186891711, 0.5444052000340281, 0.5389401487187291, 0.5390049261311185, 0.5409902186455314, 0.5473284710639288, 0.5514079316076949, 1.110481991293767, -0.3623366289452095, 0.9460355869062342, 0.9453507784406615, 0.9326429853075743, 0.9376639098754231, 0.8747420118188282, 0.8383739705134949, 0.9131489872651212, 0.9794164874477612, 0.9573323556264544, 0.95250773341168]|  0.9721753597259521|      0.50000000|[868, 288, 3, 21]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      10|[0.5552306349291918, 0.5524197779779325, 0.553181866579256, 0.5408792186891711, 0.5444052000340281, 0.5389401487187291, 0.5390049261311185, 0.5409902186455314, 0.5473284710639288, 0.5514079316076949, 1.110481991293767, -0.3623366289452095, 0.9460355869062342, 0.9453507784406615, 0.9326429853075743, 0.9376639098754231, 0.8747420118188282, 0.8383739705134949, 0.9131489872651212, 0.9794164874477612, 0.9573323556264544, 0.95250773341168]|  0.9721753597259521|      0.25000000|[964, 320, 4, 24]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | exploitation failed, decreasing delta | actual_k=16
      11|[0.4983780273219782, 0.4949857405811136, 0.4911142151409481, 0.4815422240548699, 0.4854845914128263, 0.479664114041271, 0.481218747220854, 0.4828906960270041, 0.487417172175317, 0.4922371024446801, 1.1113751967409216, -0.5238177498277639, 0.9390524555052443, 0.9363595956575271, 0.9237119844563595, 0.9264029020015523, 0.8561431449440826, 0.8122288910624502, 0.897371953421738, 0.975171603051065, 0.9507884305062031, 0.945238806872259]|  0.9164702296257019|      0.50000000|[1061, 352, 4, 26]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
