k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[-0.0026944740668874, 0.0001914480472899, 7.11572196285e-05, 0.001001166917681, 0.0007681977364792, 0.0016306061249487, 0.000761275139144, 0.0005017996002113, -0.0005949042252464, -8.31991730336e-05, -0.0003307233677716, -0.0003466578554663, -0.0010424788214248, -0.0002730644246403, 1.0010594771648382]|2115.0353183208940209|      0.00781250|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[-0.0026944740668874, 0.0001914480472899, 7.11572196285e-05, 0.001001166917681, 0.0007681977364792, 0.0016306061249487, 0.000761275139144, 0.0005017996002113, -0.0005949042252464, -8.31991730336e-05, -0.0003307233677716, -0.0003466578554663, -0.0010424788214248, -0.0002730644246403, 1.0010594771648382]|2115.0353183208940209|      0.00390625|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[-0.0026944740668874, 0.0001914480472899, 7.11572196285e-05, 0.001001166917681, 0.0007681977364792, 0.0016306061249487, 0.000761275139144, 0.0005017996002113, -0.0005949042252464, -8.31991730336e-05, -0.0003307233677716, -0.0003466578554663, -0.0010424788214248, -0.0002730644246403, 1.0010594771648382]|2115.0353183208940209|      0.00195312|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[-0.0026944740668874, 0.0001914480472899, 7.11572196285e-05, 0.001001166917681, 0.0007681977364792, 0.0016306061249487, 0.000761275139144, 0.0005017996002113, -0.0005949042252464, -8.31991730336e-05, -0.0003307233677716, -0.0003466578554663, -0.0010424788214248, -0.0002730644246403, 1.0010594771648382]|2115.0353183208940209|      0.00097656|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[-0.0026944740668874, 0.0001914480472899, 7.11572196285e-05, 0.001001166917681, 0.0007681977364792, 0.0016306061249487, 0.000761275139144, 0.0005017996002113, -0.0005949042252464, -8.31991730336e-05, -0.0003307233677716, -0.0003466578554663, -0.0010424788214248, -0.0002730644246403, 1.0010594771648382]|2115.0353183208940209|      0.00048828|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[-0.0026944740668874, 0.0001914480472899, 7.11572196285e-05, 0.001001166917681, 0.0007681977364792, 0.0016306061249487, 0.000761275139144, 0.0005017996002113, -0.0005949042252464, -8.31991730336e-05, -0.0003307233677716, -0.0003466578554663, -0.0010424788214248, -0.0002730644246403, 1.0010594771648382]|2115.0353183208940209|      0.00024414|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-0.0025250527499166, 9.55044872613e-05, 0.0001118025337595, 0.0010157093336485, 0.0007124190168506, 0.0016016401930756, 0.0007800783190728, 0.0004964528082163, -0.0005217816683129, -3.99378262735e-05, -0.0003195036143469, -0.0003942230320114, -0.0010598713213713, -0.0003478311382166, 1.001060246325763]|2114.8855229533519378|      0.00048828|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[-0.0025250527499166, 9.55044872613e-05, 0.0001118025337595, 0.0010157093336485, 0.0007124190168506, 0.0016016401930756, 0.0007800783190728, 0.0004964528082163, -0.0005217816683129, -3.99378262735e-05, -0.0003195036143469, -0.0003942230320114, -0.0010598713213713, -0.0003478311382166, 1.001060246325763]|2114.8855229533519378|      0.00024414|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-0.0025250527499166, 9.55044872613e-05, 0.0001118025337595, 0.0010157093336485, 0.0007124190168506, 0.0016016401930756, 0.0007800783190728, 0.0004964528082163, -0.0005217816683129, -3.99378262735e-05, -0.0003195036143469, -0.0003942230320114, -0.0010598713213713, -0.0003478311382166, 1.001060246325763]|2114.8855229533519378|      0.00012207|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[-0.0025472770895277, 4.38636510221e-05, 0.0001028411807853, 0.0009700442889936, 0.0006746973764972, 0.0015633106119612, 0.0007906850710977, 0.0005102388622849, -0.0004889047923029, -1.26293408653e-05, -0.0002872357094042, -0.000358463206195, -0.0010965775167088, -0.0003714029412845, 1.0010420632421195]|2114.8406537302871584|      0.00024414|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[-0.0025472770895277, 4.38636510221e-05, 0.0001028411807853, 0.0009700442889936, 0.0006746973764972, 0.0015633106119612, 0.0007906850710977, 0.0005102388622849, -0.0004889047923029, -1.26293408653e-05, -0.0002872357094042, -0.000358463206195, -0.0010965775167088, -0.0003714029412845, 1.0010420632421195]|2114.8406537302871584|      0.00012207|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[-0.0024901208055511, -2.6199648406e-05, 8.4473589739e-05, 0.0009946049225566, 0.0006569301555995, 0.0015534599954434, 0.0007980779310828, 0.0005392495614983, -0.0004593248017652, -2.43812787269e-05, -0.0003222422111973, -0.0003483384112782, -0.0011054035275666, -0.0004107952381208, 1.0010195871331573]|2114.8096171323436465|      0.00024414|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[-0.0024901208055511, -2.6199648406e-05, 8.4473589739e-05, 0.0009946049225566, 0.0006569301555995, 0.0015534599954434, 0.0007980779310828, 0.0005392495614983, -0.0004593248017652, -2.43812787269e-05, -0.0003222422111973, -0.0003483384112782, -0.0011054035275666, -0.0004107952381208, 1.0010195871331573]|2114.8096171323436465|      0.00012207|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[-0.0025607626106647, -0.0001142365149633, 5.86764088909e-05, 0.0009929808688267, 0.0006384451655279, 0.0015704730761499, 0.0008119294983034, 0.0005471028698042, -0.0004566093466888, -1.89183428576e-05, -0.0003224601026135, -0.00032825902722, -0.0011125057981988, -0.0004186759559434, 1.0010121979522233]|2114.7349796164421605|      0.00024414|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
