k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5459415190865269, 1.631575935610649, 0.371555305959162]                      | 24.4369525909423828|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.5459415190865269, 1.631575935610649, 0.371555305959162]                      | 24.4369525909423828|      1.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.5459415190865269, 1.631575935610649, 0.371555305959162]                      | 24.4369525909423828|      0.50000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.5459415190865269, 1.631575935610649, 0.371555305959162]                      | 24.4369525909423828|      0.25000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.4083394274812905, 1.7713227260360436, 0.5265923949142406]                    | 11.8929204940795898|      0.50000000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[0.1369098238409803, 1.5690366752422962, 0.8945683777200939]                    |  4.8993825912475586|      1.00000000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.1369098238409803, 1.5690366752422962, 0.8945683777200939]                    |  4.8993825912475586|      0.50000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.2331019549067151, 1.8046629380041552, 1.1345090951584766]                   |  1.2327427864074707|      1.00000000|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[-0.2331019549067151, 1.8046629380041552, 1.1345090951584766]                   |  1.2327427864074707|      0.50000000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.2331019549067151, 1.8046629380041552, 1.1345090951584766]                   |  1.2327427864074707|      0.25000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.0072101280169284, 1.8088875609182242, 1.065717704984024]                     |  0.9153908491134644|      0.50000000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.0072101280169284, 1.8088875609182242, 1.065717704984024]                     |  0.9153908491134644|      0.25000000|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[-0.0600612522519258, 1.8555253344605458, 1.3019368394243533]                   |  0.3217841982841492|      0.50000000|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[-0.0600612522519258, 1.8555253344605458, 1.3019368394243533]                   |  0.3217841982841492|      0.25000000|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.0600612522519258, 1.8555253344605458, 1.3019368394243533]                   |  0.3217841982841492|      0.12500000|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
