k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.517958198299262, -0.6088792378346379, 0.6787453288293932, 0.293890773523207, -0.0243388059165213, 0.2412699258611139, -0.1966157676558213]|66240.4809359859937103|      2.00000000|[40, 0, 1, 4]                                                              |  | used quadratic model with 40 points | iterate success | actual_k=0
       2|[10.517958198299262, -0.6088792378346379, 0.6787453288293932, 0.293890773523207, -0.0243388059165213, 0.2412699258611139, -0.1966157676558213]|66240.4809359859937103|      1.00000000|[80, 0, 2, 8]                                                              |  | used quadratic model with 40 points | iterate failure | actual_k=0
       3|[10.517958198299262, -0.6088792378346379, 0.6787453288293932, 0.293890773523207, -0.0243388059165213, 0.2412699258611139, -0.1966157676558213]|66240.4809359859937103|      0.50000000|[120, 0, 3, 12]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=0
       4|[10.517958198299262, -0.6088792378346379, 0.6787453288293932, 0.293890773523207, -0.0243388059165213, 0.2412699258611139, -0.1966157676558213]|66240.4809359859937103|      0.25000000|[160, 0, 4, 16]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=0
       5|[10.526957226396794, -0.6204822514630207, 0.6101679740392016, 0.1688122813708714, -0.0673363465991818, 0.228634437691398, -0.3964368393997032]|58460.6601909376477124|      0.50000000|[200, 0, 5, 20]                                                            |  | used quadratic model with 40 points | iterate success | actual_k=0
       6|[10.477938995236967, -0.5933409243644238, 0.6801414155643246, -0.2324722866533317, -0.1537966710280707, 0.2536251022905815, -0.6663165409457624]|53220.3663352105795639|      1.00000000|[240, 0, 6, 24]                                                            |  | used quadratic model with 40 points | iterate success | actual_k=0
       7|[10.643195517438748, -0.2624277453700332, 0.5669825564122478, -1.0762977318961833, 0.1711681791357732, 0.3111914285035393, -0.4947811083435283]|42026.9011724609517842|      2.00000000|[280, 0, 7, 28]                                                            |  | used quadratic model with 40 points | iterate success | actual_k=0
       8|[10.643195517438748, -0.2624277453700332, 0.5669825564122478, -1.0762977318961833, 0.1711681791357732, 0.3111914285035393, -0.4947811083435283]|42026.9011724609517842|      1.00000000|[320, 0, 8, 32]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=0
       9|[10.643195517438748, -0.2624277453700332, 0.5669825564122478, -1.0762977318961833, 0.1711681791357732, 0.3111914285035393, -0.4947811083435283]|42026.9011724609517842|      0.50000000|[360, 0, 9, 36]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=0
      10|[10.643195517438748, -0.2624277453700332, 0.5669825564122478, -1.0762977318961833, 0.1711681791357732, 0.3111914285035393, -0.4947811083435283]|42026.9011724609517842|      0.25000000|[400, 0, 10, 40]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      11|[10.64053930348611, -0.2511116111509529, 0.5737922400657293, -1.1735598273248522, 0.1708929927671692, 0.3117564651457768, -0.26487197924859]|30384.2256097417302954|      0.50000000|[440, 0, 11, 44]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=0
      12|[10.64053930348611, -0.2511116111509529, 0.5737922400657293, -1.1735598273248522, 0.1708929927671692, 0.3117564651457768, -0.26487197924859]|30384.2256097417302954|      0.25000000|[480, 0, 12, 48]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      13|[10.64053930348611, -0.2511116111509529, 0.5737922400657293, -1.1735598273248522, 0.1708929927671692, 0.3117564651457768, -0.26487197924859]|30384.2256097417302954|      0.12500000|[520, 0, 13, 52]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      14|[10.643598652556433, -0.2527706565636923, 0.5759631668570295, -1.1988064606572126, 0.1689788717994709, 0.312751981198267, -0.1425358536660672]|15867.9517423999768653|      0.25000000|[560, 0, 14, 56]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=0
      15|[10.643598652556433, -0.2527706565636923, 0.5759631668570295, -1.1988064606572126, 0.1689788717994709, 0.312751981198267, -0.1425358536660672]|15867.9517423999768653|      0.12500000|[600, 0, 15, 60]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      16|[10.643598652556433, -0.2527706565636923, 0.5759631668570295, -1.1988064606572126, 0.1689788717994709, 0.312751981198267, -0.1425358536660672]|15867.9517423999768653|      0.06250000|[640, 0, 16, 64]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
      17|[10.642513356824242, -0.2524386705458154, 0.5766952383042586, -1.2059956862640175, 0.1699875581408436, 0.3117388214740841, -0.0804818684252605]|9865.1236449217576592|      0.12500000|[680, 0, 17, 68]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=0
      18|[10.642513356824242, -0.2524386705458154, 0.5766952383042586, -1.2059956862640175, 0.1699875581408436, 0.3117388214740841, -0.0804818684252605]|9865.1236449217576592|      0.06250000|[720, 0, 18, 72]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=0
