k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.318869802760721, 3.190450340382807, 0.6001058219802532, 40.222319110091014, -0.3419907178562091, -1.3132525249229021, 25.52336668166838, -0.2483816352648951, 1.2117981260071857]|992.7590724104522906|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       2|[10.318869802760721, 3.190450340382807, 0.6001058219802532, 40.222319110091014, -0.3419907178562091, -1.3132525249229021, 25.52336668166838, -0.2483816352648951, 1.2117981260071857]|992.7590724104522906|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[10.318869802760721, 3.190450340382807, 0.6001058219802532, 40.222319110091014, -0.3419907178562091, -1.3132525249229021, 25.52336668166838, -0.2483816352648951, 1.2117981260071857]|992.7590724104522906|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[10.318869802760721, 3.190450340382807, 0.6001058219802532, 40.222319110091014, -0.3419907178562091, -1.3132525249229021, 25.52336668166838, -0.2483816352648951, 1.2117981260071857]|992.7590724104522906|      0.25000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[10.41099114309074, 3.1854717331670455, 0.5673449704433369, 40.26872510672885, -0.3304325091181627, -1.3168742008844465, 25.673811690150377, -0.4114082376559771, 1.1743281404415753]|931.0103119177917961|      0.50000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       6|[10.610430884060964, 3.148843917238106, 0.5297719876704444, 40.14493268514274, -0.0782460789159995, -1.2725113987366572, 26.01782922486406, -0.5007188408791368, 1.1583469541801479]|878.5376391660918216|      1.00000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       7|[10.610430884060964, 3.148843917238106, 0.5297719876704444, 40.14493268514274, -0.0782460789159995, -1.2725113987366572, 26.01782922486406, -0.5007188408791368, 1.1583469541801479]|878.5376391660918216|      0.50000000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[10.610430884060964, 3.148843917238106, 0.5297719876704444, 40.14493268514274, -0.0782460789159995, -1.2725113987366572, 26.01782922486406, -0.5007188408791368, 1.1583469541801479]|878.5376391660918216|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[10.623963366687091, 3.1345925748107484, 0.5634561040138244, 39.98926354812627, -0.1952501034560438, -1.3274457975474332, 26.13143983948528, -0.4917974292160861, 1.2423206284344075]|862.0262715227213448|      0.50000000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
      10|[10.623963366687091, 3.1345925748107484, 0.5634561040138244, 39.98926354812627, -0.1952501034560438, -1.3274457975474332, 26.13143983948528, -0.4917974292160861, 1.2423206284344075]|862.0262715227213448|      0.25000000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[10.623963366687091, 3.1345925748107484, 0.5634561040138244, 39.98926354812627, -0.1952501034560438, -1.3274457975474332, 26.13143983948528, -0.4917974292160861, 1.2423206284344075]|862.0262715227213448|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      12|[10.601503012496106, 3.067106451960754, 0.4764855275391958, 39.98392413916355, -0.1994212353997556, -1.3279534897369567, 26.16120333908876, -0.5368169552353547, 1.2357262727271774]|858.3736214298071445|      0.25000000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      13|[10.601503012496106, 3.067106451960754, 0.4764855275391958, 39.98392413916355, -0.1994212353997556, -1.3279534897369567, 26.16120333908876, -0.5368169552353547, 1.2357262727271774]|858.3736214298071445|      0.12500000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      14|[10.640117520772224, 3.0671770419686744, 0.4377347425315697, 39.97419861293645, -0.2029471460454402, -1.395728001660478, 26.249859672824886, -0.530538893813154, 1.2300228097933126]|854.0016238104458353|      0.25000000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      15|[10.640117520772224, 3.0671770419686744, 0.4377347425315697, 39.97419861293645, -0.2029471460454402, -1.395728001660478, 26.249859672824886, -0.530538893813154, 1.2300228097933126]|854.0016238104458353|      0.12500000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      16|[10.640117520772224, 3.0671770419686744, 0.4377347425315697, 39.97419861293645, -0.2029471460454402, -1.395728001660478, 26.249859672824886, -0.530538893813154, 1.2300228097933126]|854.0016238104458353|      0.06250000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[10.640117520772224, 3.0671770419686744, 0.4377347425315697, 39.97419861293645, -0.2029471460454402, -1.395728001660478, 26.249859672824886, -0.530538893813154, 1.2300228097933126]|854.0016238104458353|      0.03125000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      18|[10.648879720577877, 3.070760353226562, 0.4384404059701198, 39.97913414526119, -0.2240305067922466, -1.4026949524484131, 26.26855379720009, -0.534442778148353, 1.2279415380527487]|853.0401274561604623|      0.06250000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      19|[10.646782580511376, 3.071970999757533, 0.4767148458295448, 39.99947407083785, -0.2585757724321949, -1.419810217624429, 26.289739887607034, -0.5266248657595354, 1.232987641348512]|851.5161864622240273|      0.12500000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      20|[10.646782580511376, 3.071970999757533, 0.4767148458295448, 39.99947407083785, -0.2585757724321949, -1.419810217624429, 26.289739887607034, -0.5266248657595354, 1.232987641348512]|851.5161864622240273|      0.06250000|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      21|[10.646782580511376, 3.071970999757533, 0.4767148458295448, 39.99947407083785, -0.2585757724321949, -1.419810217624429, 26.289739887607034, -0.5266248657595354, 1.232987641348512]|851.5161864622240273|      0.03125000|[210, 63, 21, 84]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      22|[10.646782580511376, 3.071970999757533, 0.4767148458295448, 39.99947407083785, -0.2585757724321949, -1.419810217624429, 26.289739887607034, -0.5266248657595354, 1.232987641348512]|851.5161864622240273|      0.01562500|[220, 66, 22, 88]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      23|[10.643835037279224, 3.0688768688524903, 0.4815678500486003, 40.004095663809906, -0.2684989756531527, -1.4238018626257503, 26.29634037260589, -0.5218600670359866, 1.2324442306286458]|851.1829759018122559|      0.03125000|[230, 69, 23, 92]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
