k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5742751915472009, 1.3249453582147603, -0.2612665346250735, 0.6312775560959283, 0.8934028898480281, 1.4272925958478964, 1.2889380755209179, 0.711946258573849]|146.4583251011394793|      2.00000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       2|[0.5742751915472009, 1.3249453582147603, -0.2612665346250735, 0.6312775560959283, 0.8934028898480281, 1.4272925958478964, 1.2889380755209179, 0.711946258573849]|146.4583251011394793|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       3|[0.5742751915472009, 1.3249453582147603, -0.2612665346250735, 0.6312775560959283, 0.8934028898480281, 1.4272925958478964, 1.2889380755209179, 0.711946258573849]|146.4583251011394793|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[0.6031833966176955, 1.1224963147448892, -0.0220212268036455, 0.659788255392865, 0.8953701804606162, 1.3368681851044992, 1.4682153011456218, 1.0433172821568266]| 92.8324132451788131|      1.00000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       5|[0.6031833966176955, 1.1224963147448892, -0.0220212268036455, 0.659788255392865, 0.8953701804606162, 1.3368681851044992, 1.4682153011456218, 1.0433172821568266]| 92.8324132451788131|      0.50000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[0.6031833966176955, 1.1224963147448892, -0.0220212268036455, 0.659788255392865, 0.8953701804606162, 1.3368681851044992, 1.4682153011456218, 1.0433172821568266]| 92.8324132451788131|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       7|[0.6679549870053363, 1.1832848287832045, 0.034557496034058, 0.5618008919964939, 0.9481826441912462, 1.4870255302851707, 1.4515753232805408, 1.1705707649225028]| 74.7703681284972532|      0.50000000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       8|[0.6679549870053363, 1.1832848287832045, 0.034557496034058, 0.5618008919964939, 0.9481826441912462, 1.4870255302851707, 1.4515753232805408, 1.1705707649225028]| 74.7703681284972532|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[0.6681702042238735, 1.0619955629822961, -0.0971241381216501, 0.5993372366124979, 1.0779531927816135, 1.5605836687752046, 1.4857166890799411, 1.2455574961738647]| 67.1649964761819973|      0.50000000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
      10|[0.6681702042238735, 1.0619955629822961, -0.0971241381216501, 0.5993372366124979, 1.0779531927816135, 1.5605836687752046, 1.4857166890799411, 1.2455574961738647]| 67.1649964761819973|      0.25000000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[0.582128331855209, 0.9716558263281122, -0.1000132849472784, 0.3918898436731438, 1.0754698201986401, 1.6047539361603933, 1.4762086967093884, 1.2885130382452772]| 63.3871663834930033|      0.50000000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      12|[0.582128331855209, 0.9716558263281122, -0.1000132849472784, 0.3918898436731438, 1.0754698201986401, 1.6047539361603933, 1.4762086967093884, 1.2885130382452772]| 63.3871663834930033|      0.25000000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[0.5654555876914451, 0.8902444128959732, -0.1450941211541505, 0.5663167670626308, 1.1676446432937755, 1.5963980918615381, 1.5035182508188074, 1.406094236047378]| 60.3457761717012175|      0.50000000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      14|[0.5654555876914451, 0.8902444128959732, -0.1450941211541505, 0.5663167670626308, 1.1676446432937755, 1.5963980918615381, 1.5035182508188074, 1.406094236047378]| 60.3457761717012175|      0.25000000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      15|[0.5654555876914451, 0.8902444128959732, -0.1450941211541505, 0.5663167670626308, 1.1676446432937755, 1.5963980918615381, 1.5035182508188074, 1.406094236047378]| 60.3457761717012175|      0.12500000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      16|[0.5180403587314355, 0.8825331778070882, -0.1590328027811796, 0.5114348056394011, 1.206540138037232, 1.6424668725130105, 1.4538831042760811, 1.3427524919401652]| 56.1841516644516474|      0.25000000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      17|[0.5180403587314355, 0.8825331778070882, -0.1590328027811796, 0.5114348056394011, 1.206540138037232, 1.6424668725130105, 1.4538831042760811, 1.3427524919401652]| 56.1841516644516474|      0.12500000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      18|[0.5053698744153821, 0.8357290651690131, -0.1171308789214524, 0.5474980946780034, 1.223124710975957, 1.72899186609552, 1.4650286815959357, 1.3910397092976072]| 53.4345583911724873|      0.25000000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      19|[0.5053698744153821, 0.8357290651690131, -0.1171308789214524, 0.5474980946780034, 1.223124710975957, 1.72899186609552, 1.4650286815959357, 1.3910397092976072]| 53.4345583911724873|      0.12500000|[190, 57, 19, 76]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      20|[0.418905313045537, 0.7906957304881284, -0.1376683936665917, 0.541968415550858, 1.268967436096327, 1.775566801378097, 1.427902353062478, 1.3954405294565606]| 49.0966117948559813|      0.25000000|[200, 60, 20, 80]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
