k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[-0.0048019709683357, -0.0013510528197671, 0.0005083423527299, -0.0004473308928343, 0.0002292278702247, 0.0014193407117093, 0.0014877894944535, -0.0015381462147348, -0.0007997795107131, -0.0037217359936712, 0.0004722560302084, -0.0025664870394477, 0.0021373345457179, -0.0017823353887561, 0.9999890597217775]|2135.4326171875000000|      0.01562500|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       9|[-0.0048019709683357, -0.0013510528197671, 0.0005083423527299, -0.0004473308928343, 0.0002292278702247, 0.0014193407117093, 0.0014877894944535, -0.0015381462147348, -0.0007997795107131, -0.0037217359936712, 0.0004722560302084, -0.0025664870394477, 0.0021373345457179, -0.0017823353887561, 0.9999890597217775]|2135.4326171875000000|      0.00781250|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-0.0048019709683357, -0.0013510528197671, 0.0005083423527299, -0.0004473308928343, 0.0002292278702247, 0.0014193407117093, 0.0014877894944535, -0.0015381462147348, -0.0007997795107131, -0.0037217359936712, 0.0004722560302084, -0.0025664870394477, 0.0021373345457179, -0.0017823353887561, 0.9999890597217775]|2135.4326171875000000|      0.00390625|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[-0.0022888065835957, -0.0016087341737222, -0.00054239781942, -0.0017102842902099, -0.0012381625506528, 0.0013376640947408, 0.0010163690376121, -0.0022889022565435, -0.0014606365528884, -0.0032596006992312, 0.0015257201472475, -0.0025852096312215, 0.0010741791904894, -0.0019139183616602, 1.000557794049739]|2115.2209472656250000|      0.00781250|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      12|[-0.0022888065835957, -0.0016087341737222, -0.00054239781942, -0.0017102842902099, -0.0012381625506528, 0.0013376640947408, 0.0010163690376121, -0.0022889022565435, -0.0014606365528884, -0.0032596006992312, 0.0015257201472475, -0.0025852096312215, 0.0010741791904894, -0.0019139183616602, 1.000557794049739]|2115.2209472656250000|      0.00390625|[385, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[-0.0022888065835957, -0.0016087341737222, -0.00054239781942, -0.0017102842902099, -0.0012381625506528, 0.0013376640947408, 0.0010163690376121, -0.0022889022565435, -0.0014606365528884, -0.0032596006992312, 0.0015257201472475, -0.0025852096312215, 0.0010741791904894, -0.0019139183616602, 1.000557794049739]|2115.2209472656250000|      0.00195312|[417, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[-0.0022888065835957, -0.0016087341737222, -0.00054239781942, -0.0017102842902099, -0.0012381625506528, 0.0013376640947408, 0.0010163690376121, -0.0022889022565435, -0.0014606365528884, -0.0032596006992312, 0.0015257201472475, -0.0025852096312215, 0.0010741791904894, -0.0019139183616602, 1.000557794049739]|2115.2209472656250000|      0.00097656|[449, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[-0.0027490373331263, -0.0021864228068763, -0.0007407870002935, -0.0015758066545661, -0.0011783264826221, 0.0016786751941901, 0.0011647183446811, -0.0023524714659495, -0.0013284997683426, -0.0029494402933761, 0.0014587703352477, -0.0027663481082339, 0.0010058775077366, -0.0021313249073383, 1.0006013149702468]|2114.3852539062500000|      0.00195312|[481, 0, 0, 30]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      16|[-0.0027490373331263, -0.0021864228068763, -0.0007407870002935, -0.0015758066545661, -0.0011783264826221, 0.0016786751941901, 0.0011647183446811, -0.0023524714659495, -0.0013284997683426, -0.0029494402933761, 0.0014587703352477, -0.0027663481082339, 0.0010058775077366, -0.0021313249073383, 1.0006013149702468]|2114.3852539062500000|      0.00097656|[513, 0, 0, 32]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[-0.0022028214774781, -0.002534947034912, -0.0007689862590242, -0.0014824545670627, -0.0010400243863595, 0.0019220186490025, 0.0011657657534399, -0.0021381783415392, -0.0012113023211552, -0.0026550787654722, 0.0011391486298382, -0.0027579717045085, 0.0009807941368873, -0.0024878229875291, 1.0008654082384285]|2113.9511718750000000|      0.00195312|[545, 0, 0, 34]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      18|[-0.0022028214774781, -0.002534947034912, -0.0007689862590242, -0.0014824545670627, -0.0010400243863595, 0.0019220186490025, 0.0011657657534399, -0.0021381783415392, -0.0012113023211552, -0.0026550787654722, 0.0011391486298382, -0.0027579717045085, 0.0009807941368873, -0.0024878229875291, 1.0008654082384285]|2113.9511718750000000|      0.00097656|[577, 0, 0, 36]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[-0.0022028214774781, -0.002534947034912, -0.0007689862590242, -0.0014824545670627, -0.0010400243863595, 0.0019220186490025, 0.0011657657534399, -0.0021381783415392, -0.0012113023211552, -0.0026550787654722, 0.0011391486298382, -0.0027579717045085, 0.0009807941368873, -0.0024878229875291, 1.0008654082384285]|2113.9511718750000000|      0.00048828|[609, 0, 0, 38]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      20|[-0.0023157128975722, -0.0026532949910528, -0.0009793453880838, -0.0014409443681922, -0.0009609522057222, 0.0021244926999653, 0.001180406228071, -0.002202330314871, -0.001416451503471, -0.0026130736853046, 0.0011857405086246, -0.0028997304626121, 0.0008347822399788, -0.0025028091874416, 1.0007027588764377]|2113.5666503906250000|      0.00097656|[641, 0, 0, 40]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      21|[-0.0025732368205339, -0.0030891676765263, -0.0011000641667364, -0.0013979564926015, -0.0010490538154975, 0.0017939870188674, 0.0014747523646364, -0.0022227097301133, -0.0017505500465345, -0.0026919993106568, 0.0008251252925391, -0.0026532055800053, 0.0006599717269589, -0.0028351976591305, 1.0005378675642502]|2113.3100585937500000|      0.00195312|[673, 0, 0, 42]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
