k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.0005107739870147, -0.002221161771007, 0.0027578436745957, 0.0065782314413028, 0.0017841318930578, -0.0002176478529293, -0.0007719698915039, -0.0008816990003586, 0.0003186174439647, 0.9994935110796646]|2715.6350689034807147|      0.01562500|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[0.0005107739870147, -0.002221161771007, 0.0027578436745957, 0.0065782314413028, 0.0017841318930578, -0.0002176478529293, -0.0007719698915039, -0.0008816990003586, 0.0003186174439647, 0.9994935110796646]|2715.6350689034807147|      0.00781250|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[0.0005107739870147, -0.002221161771007, 0.0027578436745957, 0.0065782314413028, 0.0017841318930578, -0.0002176478529293, -0.0007719698915039, -0.0008816990003586, 0.0003186174439647, 0.9994935110796646]|2715.6350689034807147|      0.00390625|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.000489713104159, -0.0017952213217405, 0.0017610981346209, 0.0039543508608436, 0.00234452209924, 0.0005913095751412, 0.0006013317401463, -0.0026179785887026, -2.89697452365e-05, 1.0005929559056184]|2703.8497650379117658|      0.00781250|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[0.000489713104159, -0.0017952213217405, 0.0017610981346209, 0.0039543508608436, 0.00234452209924, 0.0005913095751412, 0.0006013317401463, -0.0026179785887026, -2.89697452365e-05, 1.0005929559056184]|2703.8497650379117658|      0.00390625|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[0.000489713104159, -0.0017952213217405, 0.0017610981346209, 0.0039543508608436, 0.00234452209924, 0.0005913095751412, 0.0006013317401463, -0.0026179785887026, -2.89697452365e-05, 1.0005929559056184]|2703.8497650379117658|      0.00195312|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.000489713104159, -0.0017952213217405, 0.0017610981346209, 0.0039543508608436, 0.00234452209924, 0.0005913095751412, 0.0006013317401463, -0.0026179785887026, -2.89697452365e-05, 1.0005929559056184]|2703.8497650379117658|      0.00097656|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[0.000491608299028, -0.0018183386431035, 0.001796555843988, 0.0048945990046053, 0.0024202485263313, 0.0005226765875511, 0.0008295804579917, -0.0025560727609627, -4.62205888914e-05, 1.0006267214803382]|2699.7624135040264264|      0.00195312|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      16|[0.000491608299028, -0.0018183386431035, 0.001796555843988, 0.0048945990046053, 0.0024202485263313, 0.0005226765875511, 0.0008295804579917, -0.0025560727609627, -4.62205888914e-05, 1.0006267214803382]|2699.7624135040264264|      0.00097656|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[0.000491608299028, -0.0018183386431035, 0.001796555843988, 0.0048945990046053, 0.0024202485263313, 0.0005226765875511, 0.0008295804579917, -0.0025560727609627, -4.62205888914e-05, 1.0006267214803382]|2699.7624135040264264|      0.00048828|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[0.0003472905831819, -0.0018643710890712, 0.0017090973301082, 0.0047556154146735, 0.0025349109655572, 0.0006350448144244, 0.0009394508871322, -0.0025691452608304, -0.0003620721786684, 1.0004014930665102]|2699.6640238990939906|      0.00097656|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[0.0003472905831819, -0.0018643710890712, 0.0017090973301082, 0.0047556154146735, 0.0025349109655572, 0.0006350448144244, 0.0009394508871322, -0.0025691452608304, -0.0003620721786684, 1.0004014930665102]|2699.6640238990939906|      0.00048828|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[0.0003472905831819, -0.0018643710890712, 0.0017090973301082, 0.0047556154146735, 0.0025349109655572, 0.0006350448144244, 0.0009394508871322, -0.0025691452608304, -0.0003620721786684, 1.0004014930665102]|2699.6640238990939906|      0.00024414|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[0.0003294521767863, -0.0018270759485123, 0.0017131310302458, 0.0049498449000278, 0.002582149945596, 0.000617202305857, 0.0009974115086787, -0.0026206804832275, -0.0004199287316961, 1.0003107099462034]|2699.6295739459792458|      0.00048828|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[0.0003305603897453, -0.0016433792114709, 0.00166438708362, 0.0047065679901519, 0.0027435156118128, 0.00051875343908, 0.0012130279099922, -0.0024702186578536, -0.0004800998172549, 1.000124612063347]|2699.5820922751113358|      0.00097656|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[0.0003305603897453, -0.0016433792114709, 0.00166438708362, 0.0047065679901519, 0.0027435156118128, 0.00051875343908, 0.0012130279099922, -0.0024702186578536, -0.0004800998172549, 1.000124612063347]|2699.5820922751113358|      0.00048828|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[0.0003305603897453, -0.0016433792114709, 0.00166438708362, 0.0047065679901519, 0.0027435156118128, 0.00051875343908, 0.0012130279099922, -0.0024702186578536, -0.0004800998172549, 1.000124612063347]|2699.5820922751113358|      0.00024414|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[0.000225562257806, -0.0016779248284154, 0.0017383563405248, 0.0048186158705789, 0.0026636676948695, 0.0006128168888634, 0.0012250042767976, -0.0024702678025865, -0.0005983400895084, 1.0001281671659306]|2699.4482714441110147|      0.00048828|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      26|[0.0001135492915768, -0.0016555334776882, 0.0019621785148461, 0.0047206075466582, 0.0025118803049431, 0.0008151279931372, 0.0013365677532079, -0.0025598983672949, -0.0008826859055465, 1.0001473118645412]|2699.3976388492678780|      0.00097656|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[0.0001135492915768, -0.0016555334776882, 0.0019621785148461, 0.0047206075466582, 0.0025118803049431, 0.0008151279931372, 0.0013365677532079, -0.0025598983672949, -0.0008826859055465, 1.0001473118645412]|2699.3976388492678780|      0.00048828|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[0.0001135492915768, -0.0016555334776882, 0.0019621785148461, 0.0047206075466582, 0.0025118803049431, 0.0008151279931372, 0.0013365677532079, -0.0025598983672949, -0.0008826859055465, 1.0001473118645412]|2699.3976388492678780|      0.00024414|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      29|[0.0001135492915768, -0.0016555334776882, 0.0019621785148461, 0.0047206075466582, 0.0025118803049431, 0.0008151279931372, 0.0013365677532079, -0.0025598983672949, -0.0008826859055465, 1.0001473118645412]|2699.3976388492678780|      0.00012207|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      30|[9.65550035825e-05, -0.001671774141169, 0.001955581618729, 0.0048326867907414, 0.0024892321152189, 0.0008056222349297, 0.0013494100903802, -0.0025662638964572, -0.0008652404800949, 1.0001222074459095]|2699.3307107543782877|      0.00024414|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      31|[9.65550035825e-05, -0.001671774141169, 0.001955581618729, 0.0048326867907414, 0.0024892321152189, 0.0008056222349297, 0.0013494100903802, -0.0025662638964572, -0.0008652404800949, 1.0001222074459095]|2699.3307107543782877|      0.00012207|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      32|[5.12444073595e-05, -0.0016475655496557, 0.0019807679766131, 0.0048906825679303, 0.0024980787720632, 0.0008663192672959, 0.0013778981342376, -0.0025923708641373, -0.0008864716487456, 1.0000716318157743]|2699.3127558063556535|      0.00024414|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[5.12444073595e-05, -0.0016475655496557, 0.0019807679766131, 0.0048906825679303, 0.0024980787720632, 0.0008663192672959, 0.0013778981342376, -0.0025923708641373, -0.0008864716487456, 1.0000716318157743]|2699.3127558063556535|      0.00012207|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[2.38587487665e-05, -0.0016210799980486, 0.0020300738047544, 0.0048102668673173, 0.0025186379635652, 0.0008903790382279, 0.0014064857600164, -0.0026126577104963, -0.0008961800440005, 1.0000244371285125]|2699.2660830361755870|      0.00024414|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      35|[9.3897148702e-05, -0.0016602960401042, 0.0021250759149258, 0.0048411491687729, 0.0024955000988321, 0.0010193149624103, 0.0014842922027751, -0.0025948489956042, -0.0008674529826248, 0.9998872285951416]|2699.2008503020733770|      0.00048828|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      36|[9.3897148702e-05, -0.0016602960401042, 0.0021250759149258, 0.0048411491687729, 0.0024955000988321, 0.0010193149624103, 0.0014842922027751, -0.0025948489956042, -0.0008674529826248, 0.9998872285951416]|2699.2008503020733770|      0.00024414|[540, 72, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      37|[2.15705263629e-05, -0.0016203815787149, 0.0022114172063583, 0.0048051004668777, 0.0025688931545838, 0.0011469506181004, 0.0016136713446731, -0.0025432758943742, -0.0009196867233503, 0.9999021114946884]|2699.1310885833522661|      0.00048828|[555, 74, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      38|[2.15705263629e-05, -0.0016203815787149, 0.0022114172063583, 0.0048051004668777, 0.0025688931545838, 0.0011469506181004, 0.0016136713446731, -0.0025432758943742, -0.0009196867233503, 0.9999021114946884]|2699.1310885833522661|      0.00024414|[570, 76, 38, 76]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      39|[0.0001087268947636, -0.0015933766154779, 0.0022241997119428, 0.0049178439247709, 0.0025851524135207, 0.0012088861936679, 0.0017201600075831, -0.0024712045381579, -0.0009305360187639, 0.9997692489247594]|2699.1175876260576842|      0.00048828|[585, 78, 39, 78]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      40|[0.0001087268947636, -0.0015933766154779, 0.0022241997119428, 0.0049178439247709, 0.0025851524135207, 0.0012088861936679, 0.0017201600075831, -0.0024712045381579, -0.0009305360187639, 0.9997692489247594]|2699.1175876260576842|      0.00024414|[600, 80, 40, 80]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      41|[0.0001498600749565, -0.0016275400317597, 0.0023631016481656, 0.0047549099293203, 0.0025837514115322, 0.0012632389229268, 0.0017910803916236, -0.0024491513619473, -0.0008830317302062, 0.9997824946645035]|2699.0626077482465917|      0.00048828|[615, 82, 41, 82]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      42|[0.0001498600749565, -0.0016275400317597, 0.0023631016481656, 0.0047549099293203, 0.0025837514115322, 0.0012632389229268, 0.0017910803916236, -0.0024491513619473, -0.0008830317302062, 0.9997824946645035]|2699.0626077482465917|      0.00024414|[630, 84, 42, 84]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      43|[0.0001498600749565, -0.0016275400317597, 0.0023631016481656, 0.0047549099293203, 0.0025837514115322, 0.0012632389229268, 0.0017910803916236, -0.0024491513619473, -0.0008830317302062, 0.9997824946645035]|2699.0626077482465917|      0.00012207|[645, 86, 43, 86]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      44|[0.0001438248696939, -0.0015971510687642, 0.0024002462667214, 0.0048603351447974, 0.0026034666174495, 0.0012774770179819, 0.0018056352281062, -0.0024556345829775, -0.0008997230782003, 0.9997645180001766]|2699.0345937141196373|      0.00024414|[660, 88, 44, 88]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      45|[0.0001438248696939, -0.0015971510687642, 0.0024002462667214, 0.0048603351447974, 0.0026034666174495, 0.0012774770179819, 0.0018056352281062, -0.0024556345829775, -0.0008997230782003, 0.9997645180001766]|2699.0345937141196373|      0.00012207|[675, 90, 45, 90]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      46|[0.0001335050500322, -0.0016136600902897, 0.0024104341670313, 0.0047666802118197, 0.0026256670890857, 0.0013129803859559, 0.0018502197585754, -0.0024653856104887, -0.0008828690631962, 0.9997254436589069]|2699.0130473080525917|      0.00024414|[690, 92, 46, 92]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      47|[0.0001898581146696, -0.0016222445682992, 0.0025718412061292, 0.0047745937569422, 0.0026229492173835, 0.0013410813200664, 0.0019347142597801, -0.0024402022119652, -0.0010300740510701, 0.9997261819525213]|2698.9489687186191986|      0.00048828|[705, 94, 47, 94]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      48|[0.0001898581146696, -0.0016222445682992, 0.0025718412061292, 0.0047745937569422, 0.0026229492173835, 0.0013410813200664, 0.0019347142597801, -0.0024402022119652, -0.0010300740510701, 0.9997261819525213]|2698.9489687186191986|      0.00024414|[720, 96, 48, 96]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      49|[0.0001671578111353, -0.0015664661288261, 0.0025698795941789, 0.0048869932502109, 0.0026452652544632, 0.0014167512508359, 0.0021049154477929, -0.0024603401563269, -0.0010817518543344, 0.9996549633300382]|2698.9023339581622167|      0.00048828|[735, 98, 49, 98]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      50|[0.0001671578111353, -0.0015664661288261, 0.0025698795941789, 0.0048869932502109, 0.0026452652544632, 0.0014167512508359, 0.0021049154477929, -0.0024603401563269, -0.0010817518543344, 0.9996549633300382]|2698.9023339581622167|      0.00024414|[750, 100, 50, 100]                                                        |  | used linear model with 17 points | iterate failure | actual_k=2
