k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |772166.1146731314947829|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9771389326781994, 0.9631168249369705, 1.0030071420635498, 1.0185502195624818, 0.9736791429648729, 0.8419136931158144, 0.6443307696361911, 0.0804462059879026]|67034.0625000000000000|      2.00000000|[31, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[0.9771389326781994, 0.9631168249369705, 1.0030071420635498, 1.0185502195624818, 0.9736791429648729, 0.8419136931158144, 0.6443307696361911, 0.0804462059879026]|67034.0625000000000000|      1.00000000|[61, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.9771389326781994, 0.9631168249369705, 1.0030071420635498, 1.0185502195624818, 0.9736791429648729, 0.8419136931158144, 0.6443307696361911, 0.0804462059879026]|67034.0625000000000000|      0.50000000|[91, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.9380950419690766, 0.9828020421354606, 1.0310881230836877, 1.0627336616347753, 0.9189559774201203, 0.8109362326033207, 0.5270650804509154, -0.396672101150478]|2113.1074218750000000|      1.00000000|[121, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | iterate success | actual_k=0
       5|[0.9380950419690766, 0.9828020421354606, 1.0310881230836877, 1.0627336616347753, 0.9189559774201203, 0.8109362326033207, 0.5270650804509154, -0.396672101150478]|2113.1074218750000000|      0.50000000|[151, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.9380950419690766, 0.9828020421354606, 1.0310881230836877, 1.0627336616347753, 0.9189559774201203, 0.8109362326033207, 0.5270650804509154, -0.396672101150478]|2113.1074218750000000|      0.25000000|[181, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.7644719101687625, 0.940261332297278, 1.1344177867210594, 0.9775870400978383, 0.8262532703811667, 0.8336518008471054, 0.5685695088468092, -0.3544119183031505]|373.0682373046875000|      0.50000000|[211, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[0.7644719101687625, 0.940261332297278, 1.1344177867210594, 0.9775870400978383, 0.8262532703811667, 0.8336518008471054, 0.5685695088468092, -0.3544119183031505]|373.0682373046875000|      0.25000000|[241, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.7644719101687625, 0.940261332297278, 1.1344177867210594, 0.9775870400978383, 0.8262532703811667, 0.8336518008471054, 0.5685695088468092, -0.3544119183031505]|373.0682373046875000|      0.12500000|[271, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.7644719101687625, 0.940261332297278, 1.1344177867210594, 0.9775870400978383, 0.8262532703811667, 0.8336518008471054, 0.5685695088468092, -0.3544119183031505]|373.0682373046875000|      0.06250000|[301, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
