k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]| 27.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.7303676356833738, 0.8186908581988304, 1.1224291083991234, 1.2295206375480467, 0.8267720164359615, 0.9887234084555065, 0.6713140771913577, 0.9919830680771347, 1.0178800256335137, 1.4541411346934638, 0.9424164327888368, 0.9248088822360436, 1.498151770467951, 0.9170216118876471, 1.1838613730793242, 1.08436441554992, 0.8928113453015711, 1.1395646976647293, 0.7682568402040765, 0.9590413771337851, 0.998249348333601, 1.1804474042185817, 1.112825566106353, 0.8769738654835788, 0.8260833725771751]| 10.4609537124633789|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[0.7303676356833738, 0.8186908581988304, 1.1224291083991234, 1.2295206375480467, 0.8267720164359615, 0.9887234084555065, 0.6713140771913577, 0.9919830680771347, 1.0178800256335137, 1.4541411346934638, 0.9424164327888368, 0.9248088822360436, 1.498151770467951, 0.9170216118876471, 1.1838613730793242, 1.08436441554992, 0.8928113453015711, 1.1395646976647293, 0.7682568402040765, 0.9590413771337851, 0.998249348333601, 1.1804474042185817, 1.112825566106353, 0.8769738654835788, 0.8260833725771751]| 10.4609537124633789|      1.00000000|[61, 20, 0, 5]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[0.911585589979206, 1.0385790975108486, 1.3597369349779336, 1.0728459092448337, 0.793878998902661, 0.9722190600248312, 0.5251434428069057, 1.0694586079944672, 0.9366341560177354, 1.2557689802565597, 1.0183543040905025, 1.0970973701717959, 2.048259899322561, 1.1129268680919586, 1.0999471122782833, 1.0115524716803517, 1.0250388510806578, 1.4523822699958444, 0.8090868339011777, 1.2995776528688467, 0.9460020865214973, 0.8308188681613924, 1.1710753983290945, 0.766153651135909, 0.7966512789118976]|  7.1442146076516382|      2.00000000|[85, 28, 1, 8]                                                             |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       4|[0.911585589979206, 1.0385790975108486, 1.3597369349779336, 1.0728459092448337, 0.793878998902661, 0.9722190600248312, 0.5251434428069057, 1.0694586079944672, 0.9366341560177354, 1.2557689802565597, 1.0183543040905025, 1.0970973701717959, 2.048259899322561, 1.1129268680919586, 1.0999471122782833, 1.0115524716803517, 1.0250388510806578, 1.4523822699958444, 0.8090868339011777, 1.2995776528688467, 0.9460020865214973, 0.8308188681613924, 1.1710753983290945, 0.766153651135909, 0.7966512789118976]|  7.1442146076516382|      1.00000000|[122, 40, 2, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[0.911585589979206, 1.0385790975108486, 1.3597369349779336, 1.0728459092448337, 0.793878998902661, 0.9722190600248312, 0.5251434428069057, 1.0694586079944672, 0.9366341560177354, 1.2557689802565597, 1.0183543040905025, 1.0970973701717959, 2.048259899322561, 1.1129268680919586, 1.0999471122782833, 1.0115524716803517, 1.0250388510806578, 1.4523822699958444, 0.8090868339011777, 1.2995776528688467, 0.9460020865214973, 0.8308188681613924, 1.1710753983290945, 0.766153651135909, 0.7966512789118976]|  7.1442146076516382|      0.50000000|[159, 52, 3, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[0.8955943531634102, 0.9615679236692983, 1.2651066357376393, 0.9312870528930393, 0.8810396640872838, 1.0305070627707233, 0.6123294723613355, 1.1324511381136748, 0.8378026500579158, 1.1863705078821989, 1.1573943027447153, 0.9336929832732603, 1.8685212334333257, 1.146564831066665, 0.9846417696195077, 1.0421835912649644, 0.9538264632138862, 1.4126272882263968, 0.7934862632915839, 1.2924537598425292, 1.1573160986092694, 0.7926206309684554, 1.0946097765920921, 0.6098326772897601, 0.821672420819994]|  6.0746240615844727|      1.00000000|[184, 60, 3, 18]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[0.8955943531634102, 0.9615679236692983, 1.2651066357376393, 0.9312870528930393, 0.8810396640872838, 1.0305070627707233, 0.6123294723613355, 1.1324511381136748, 0.8378026500579158, 1.1863705078821989, 1.1573943027447153, 0.9336929832732603, 1.8685212334333257, 1.146564831066665, 0.9846417696195077, 1.0421835912649644, 0.9538264632138862, 1.4126272882263968, 0.7934862632915839, 1.2924537598425292, 1.1573160986092694, 0.7926206309684554, 1.0946097765920921, 0.6098326772897601, 0.821672420819994]|  6.0746240615844727|      0.50000000|[221, 72, 4, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 26 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[0.8955943531634102, 0.9615679236692983, 1.2651066357376393, 0.9312870528930393, 0.8810396640872838, 1.0305070627707233, 0.6123294723613355, 1.1324511381136748, 0.8378026500579158, 1.1863705078821989, 1.1573943027447153, 0.9336929832732603, 1.8685212334333257, 1.146564831066665, 0.9846417696195077, 1.0421835912649644, 0.9538264632138862, 1.4126272882263968, 0.7934862632915839, 1.2924537598425292, 1.1573160986092694, 0.7926206309684554, 1.0946097765920921, 0.6098326772897601, 0.821672420819994]|  6.0746240615844727|      0.25000000|[257, 84, 4, 25]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[0.8888926725330584, 0.9014657766509138, 1.2336306636906549, 0.9625142756492798, 0.7839065631700785, 0.9719077195901933, 0.70307525412737, 1.0754293694944919, 0.8279997147453123, 1.1149402943586997, 1.1868090767832344, 0.9144650787861281, 1.8916412942435625, 1.1069895768472287, 1.009492233689108, 1.0350739251671959, 1.0118007183341067, 1.4441682498441726, 0.8274647977600614, 1.233416035597537, 1.1899260947367862, 0.8402925855261167, 1.0577199188052822, 0.6819797402910484, 0.7551752844168946]|  5.3882617950439453|      0.50000000|[281, 92, 4, 27]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      10|[0.8888926725330584, 0.9014657766509138, 1.2336306636906549, 0.9625142756492798, 0.7839065631700785, 0.9719077195901933, 0.70307525412737, 1.0754293694944919, 0.8279997147453123, 1.1149402943586997, 1.1868090767832344, 0.9144650787861281, 1.8916412942435625, 1.1069895768472287, 1.009492233689108, 1.0350739251671959, 1.0118007183341067, 1.4441682498441726, 0.8274647977600614, 1.233416035597537, 1.1899260947367862, 0.8402925855261167, 1.0577199188052822, 0.6819797402910484, 0.7551752844168946]|  5.3882617950439453|      0.25000000|[317, 104, 4, 30]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[0.9100674084203445, 0.9123588828885945, 1.1681087097394032, 0.9627668004420086, 0.7920512754239306, 0.9894912845963936, 0.8390838181653824, 1.0475550763400696, 0.8532190178855388, 1.1822497549391089, 1.1616107464725827, 0.9645445546757256, 1.9660544469786718, 1.035210045199866, 0.9550938117425082, 1.0665686645198937, 0.9827428246438531, 1.385104959251953, 0.8513107009169245, 1.1775406975834202, 1.1232369947002647, 0.8053675240149131, 1.0790705554950955, 0.7096372593039582, 0.7664556608987175]|  4.9425029566730529|      0.50000000|[341, 112, 5, 33]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
