k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.92074999272962, 9.696873479356194, 9.864684099710772, 10.006743783564389, -0.805867947307884, 0.0176723435662369, -0.202556975639595, -0.4389909893569254]|1599.8336022965097527|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[9.68126552916002, 10.147757544993247, 9.270670756081191, 8.708573854596505, 0.0754569169684323, 0.3795802084245704, 0.215688939856968, 0.3475287302365291]|1558.6211671594637664|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[6.834539144341898, 9.456810983893348, 8.672517224956227, 7.6497613093974355, 1.5928937068213391, 1.631813814760608, 0.7997806955553415, 1.662064196439366]|1208.6303000279835942|      8.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[7.63070087941786, 4.637607967238203, 5.26711121433658, 4.446668451760743, 2.7073495476042764, 1.733792424931729, -1.9505223841228947, 4.739114136882314]|374.0366435423997586|     16.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[7.63070087941786, 4.637607967238203, 5.26711121433658, 4.446668451760743, 2.7073495476042764, 1.733792424931729, -1.9505223841228947, 4.739114136882314]|374.0366435423997586|      8.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[7.63070087941786, 4.637607967238203, 5.26711121433658, 4.446668451760743, 2.7073495476042764, 1.733792424931729, -1.9505223841228947, 4.739114136882314]|374.0366435423997586|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[6.140433831788062, 5.243184926997889, 2.758005207099475, 2.8713616912850064, 1.163358614582715, 1.1734385813342902, -3.34137218391562, 4.792111594674289]|284.4238193279659868|      8.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       8|[6.140433831788062, 5.243184926997889, 2.758005207099475, 2.8713616912850064, 1.163358614582715, 1.1734385813342902, -3.34137218391562, 4.792111594674289]|284.4238193279659868|      4.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[4.3416783815360365, 2.2705008267161633, 2.7471570845817777, 2.0060293115278665, -0.3342618571546823, 1.2740949430691988, -3.4345728719697313, 3.8344973131787956]|139.2235773692133591|      8.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[4.3416783815360365, 2.2705008267161633, 2.7471570845817777, 2.0060293115278665, -0.3342618571546823, 1.2740949430691988, -3.4345728719697313, 3.8344973131787956]|139.2235773692133591|      4.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[4.3416783815360365, 2.2705008267161633, 2.7471570845817777, 2.0060293115278665, -0.3342618571546823, 1.2740949430691988, -3.4345728719697313, 3.8344973131787956]|139.2235773692133591|      2.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[4.3416783815360365, 2.2705008267161633, 2.7471570845817777, 2.0060293115278665, -0.3342618571546823, 1.2740949430691988, -3.4345728719697313, 3.8344973131787956]|139.2235773692133591|      1.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[3.950665931559221, 2.3508155526271515, 2.5838503168132587, 1.4970311833377075, -0.2996713037260529, 2.013348713099222, -3.517680109127629, 3.8168576389537896]|116.1956398467449105|      2.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[3.924484953037358, 1.974088042420915, 1.1973117387241479, 0.325908244404681, -0.1112288076100091, 2.3317305173402563, -2.970478795756005, 3.4603945303112624]| 69.1921235354639066|      4.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[3.924484953037358, 1.974088042420915, 1.1973117387241479, 0.325908244404681, -0.1112288076100091, 2.3317305173402563, -2.970478795756005, 3.4603945303112624]| 69.1921235354639066|      2.00000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[3.965336617264049, 1.364073832541561, 0.1344802333020265, -0.3050316475638525, 0.1669555719972516, 3.118395643782569, -3.7153855026343887, 2.539849432605732]| 51.4126877542374459|      4.00000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[3.965336617264049, 1.364073832541561, 0.1344802333020265, -0.3050316475638525, 0.1669555719972516, 3.118395643782569, -3.7153855026343887, 2.539849432605732]| 51.4126877542374459|      2.00000000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[3.965336617264049, 1.364073832541561, 0.1344802333020265, -0.3050316475638525, 0.1669555719972516, 3.118395643782569, -3.7153855026343887, 2.539849432605732]| 51.4126877542374459|      1.00000000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[3.830447765719436, 1.9303880849213677, -0.2751009330850224, -0.0098223071364225, 0.0073470425642398, 3.2271942026029663, -3.115546529136013, 2.444617738568753]| 48.2345084867277905|      2.00000000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      20|[3.830447765719436, 1.9303880849213677, -0.2751009330850224, -0.0098223071364225, 0.0073470425642398, 3.2271942026029663, -3.115546529136013, 2.444617738568753]| 48.2345084867277905|      1.00000000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      21|[3.830447765719436, 1.9303880849213677, -0.2751009330850224, -0.0098223071364225, 0.0073470425642398, 3.2271942026029663, -3.115546529136013, 2.444617738568753]| 48.2345084867277905|      0.50000000|[147, 42, 21, 63]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      22|[3.7787253461769432, 1.8332764964256725, -0.159850509957528, 0.1645103127373746, 0.1543218631264201, 3.16722302121412, -2.9716531597019746, 2.0594993592750024]| 46.6660113916924288|      1.00000000|[154, 44, 22, 66]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      23|[3.7787253461769432, 1.8332764964256725, -0.159850509957528, 0.1645103127373746, 0.1543218631264201, 3.16722302121412, -2.9716531597019746, 2.0594993592750024]| 46.6660113916924288|      0.50000000|[161, 46, 23, 69]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      24|[3.7787253461769432, 1.8332764964256725, -0.159850509957528, 0.1645103127373746, 0.1543218631264201, 3.16722302121412, -2.9716531597019746, 2.0594993592750024]| 46.6660113916924288|      0.25000000|[168, 48, 24, 72]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      25|[3.8266230864229165, 1.7728028237491784, -0.1676392657893443, 0.3582825182700192, 0.0901477474597392, 3.122427275841986, -2.894208638358818, 1.9769295147381727]| 45.9373796004930028|      0.50000000|[175, 50, 25, 75]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      26|[3.8266230864229165, 1.7728028237491784, -0.1676392657893443, 0.3582825182700192, 0.0901477474597392, 3.122427275841986, -2.894208638358818, 1.9769295147381727]| 45.9373796004930028|      0.25000000|[182, 52, 26, 78]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      27|[3.9365734351181336, 1.5912011584625845, -0.1981577849597455, 0.3045240010927588, 0.0434107770789182, 3.11152354112758, -2.829684313412934, 2.061450361070082]| 44.2869231179206011|      0.50000000|[189, 54, 27, 81]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
