k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.454635679542812, -0.7381991159457697]                                        | 23.5894506620496536|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[2.454635679542812, -0.7381991159457697]                                        | 23.5894506620496536|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.464627304617533, -0.8792076886561135]                                        |  4.0538048275900458|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[1.464627304617533, -0.8792076886561135]                                        |  4.0538048275900458|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.5068757341124449, -0.5916108715752617]                                       |  1.0189136341902345|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[0.5068757341124449, -0.5916108715752617]                                       |  1.0189136341902345|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.5068757341124449, -0.5916108715752617]                                       |  1.0189136341902345|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.0877551756271587, -0.8642607522922389]                                       |  0.8899204377001818|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[0.0877551756271587, -0.8642607522922389]                                       |  0.8899204377001818|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.0877551756271587, -0.8642607522922389]                                       |  0.8899204377001818|      0.25000000|[40, 10, 9, 19]                                                            |  | used linear model with 5 points | actual_k=1
      11|[0.0464226055510696, -0.6177011881887444]                                       |  0.7927736169319045|      0.50000000|[43, 11, 10, 21]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
