k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[31, 2, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=1
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[62, 4, 2, 6]                                                              |  | used linear model with 33 points | iterate failure | actual_k=1
       3|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.12500000|[93, 6, 3, 9]                                                              |  | used linear model with 33 points | iterate failure | actual_k=1
       4|[100.01691535883232, 0.049425049305862, 0.1972714810154612, 0.8824622523996681, 100.02491458329864, 0.0326593347640171, 0.2251748648600945, 0.8250403421956317, 99.99237866120389, 0.0283168358280064, 0.3052991308670955, 0.7739908022620786, 100.00898150002511, 0.1137188171732045, 0.3028993835935184, 0.5903435398196858, 100.02189259661657, 0.2759673213120321, 0.4613500419540205, 0.3238504360375313, 99.98875013522519, 0.5907092597111795, 0.5940024189456384, -0.0069720880683115, 300.0124745349733, 299.94248967938944, 300.00389685055285, 300.021065404163, 300.0262785477614]|511.4303238312325561|      0.25000000|[124, 8, 4, 12]                                                            |  | used linear model with 33 points | iterate success | actual_k=1
       5|[100.01691535883232, 0.049425049305862, 0.1972714810154612, 0.8824622523996681, 100.02491458329864, 0.0326593347640171, 0.2251748648600945, 0.8250403421956317, 99.99237866120389, 0.0283168358280064, 0.3052991308670955, 0.7739908022620786, 100.00898150002511, 0.1137188171732045, 0.3028993835935184, 0.5903435398196858, 100.02189259661657, 0.2759673213120321, 0.4613500419540205, 0.3238504360375313, 99.98875013522519, 0.5907092597111795, 0.5940024189456384, -0.0069720880683115, 300.0124745349733, 299.94248967938944, 300.00389685055285, 300.021065404163, 300.0262785477614]|511.4303238312325561|      0.12500000|[155, 10, 5, 15]                                                           |  | used linear model with 33 points | iterate failure | actual_k=1
       6|[100.02935293773746, 0.0824910328988278, 0.202974184308951, 0.8631381805775674, 100.05100550431956, 0.0317368340118777, 0.2229369797771764, 0.8167201446050792, 99.95348299680374, 0.0047198397160453, 0.26435973295138, 0.784466904527786, 99.98767355037502, 0.11883675566019, 0.3346413070355743, 0.6076171915774198, 100.02944996967986, 0.2156611280836192, 0.431030904380709, 0.2940154837308472, 100.00491357274298, 0.6028596232481007, 0.6127879676549615, -0.0122200445532173, 300.00721805682963, 299.9486467201531, 300.01068396588016, 300.0501814017092, 300.00834634557697]|396.0108211431257814|      0.25000000|[186, 12, 6, 18]                                                           |  | used linear model with 33 points | iterate success | actual_k=1
       7|[100.02935293773746, 0.0824910328988278, 0.202974184308951, 0.8631381805775674, 100.05100550431956, 0.0317368340118777, 0.2229369797771764, 0.8167201446050792, 99.95348299680374, 0.0047198397160453, 0.26435973295138, 0.784466904527786, 99.98767355037502, 0.11883675566019, 0.3346413070355743, 0.6076171915774198, 100.02944996967986, 0.2156611280836192, 0.431030904380709, 0.2940154837308472, 100.00491357274298, 0.6028596232481007, 0.6127879676549615, -0.0122200445532173, 300.00721805682963, 299.9486467201531, 300.01068396588016, 300.0501814017092, 300.00834634557697]|396.0108211431257814|      0.12500000|[217, 14, 7, 21]                                                           |  | used linear model with 33 points | iterate failure | actual_k=1
       8|[100.04584230228477, 0.1719231104566145, 0.2137905944568461, 0.8803998642393147, 100.05779245668104, 0.0183788599566248, 0.2164315260868423, 0.7741742107160228, 99.9702177329139, 0.0239405673261358, 0.2721840192551893, 0.7922998028991832, 99.99871062770734, 0.1006308155098961, 0.3408966740451009, 0.6184337484905059, 100.01775506883962, 0.2199480865923462, 0.4278753500845593, 0.2974447008717329, 100.03532967299022, 0.575054122076416, 0.6075285466174135, 0.0071808821024554, 300.00182607217437, 299.956734601717, 299.9899760713615, 300.02422217301614, 300.0106292968704]|308.6160225385241915|      0.25000000|[248, 16, 8, 24]                                                           |  | used linear model with 33 points | iterate success | actual_k=1
       9|[100.04584230228477, 0.1719231104566145, 0.2137905944568461, 0.8803998642393147, 100.05779245668104, 0.0183788599566248, 0.2164315260868423, 0.7741742107160228, 99.9702177329139, 0.0239405673261358, 0.2721840192551893, 0.7922998028991832, 99.99871062770734, 0.1006308155098961, 0.3408966740451009, 0.6184337484905059, 100.01775506883962, 0.2199480865923462, 0.4278753500845593, 0.2974447008717329, 100.03532967299022, 0.575054122076416, 0.6075285466174135, 0.0071808821024554, 300.00182607217437, 299.956734601717, 299.9899760713615, 300.02422217301614, 300.0106292968704]|308.6160225385241915|      0.12500000|[279, 18, 9, 27]                                                           |  | used linear model with 33 points | iterate failure | actual_k=1
      10|[100.04584230228477, 0.1719231104566145, 0.2137905944568461, 0.8803998642393147, 100.05779245668104, 0.0183788599566248, 0.2164315260868423, 0.7741742107160228, 99.9702177329139, 0.0239405673261358, 0.2721840192551893, 0.7922998028991832, 99.99871062770734, 0.1006308155098961, 0.3408966740451009, 0.6184337484905059, 100.01775506883962, 0.2199480865923462, 0.4278753500845593, 0.2974447008717329, 100.03532967299022, 0.575054122076416, 0.6075285466174135, 0.0071808821024554, 300.00182607217437, 299.956734601717, 299.9899760713615, 300.02422217301614, 300.0106292968704]|308.6160225385241915|      0.06250000|[310, 20, 10, 30]                                                          |  | used linear model with 33 points | iterate failure | actual_k=1
      11|[100.04584230228477, 0.1719231104566145, 0.2137905944568461, 0.8803998642393147, 100.05779245668104, 0.0183788599566248, 0.2164315260868423, 0.7741742107160228, 99.9702177329139, 0.0239405673261358, 0.2721840192551893, 0.7922998028991832, 99.99871062770734, 0.1006308155098961, 0.3408966740451009, 0.6184337484905059, 100.01775506883962, 0.2199480865923462, 0.4278753500845593, 0.2974447008717329, 100.03532967299022, 0.575054122076416, 0.6075285466174135, 0.0071808821024554, 300.00182607217437, 299.956734601717, 299.9899760713615, 300.02422217301614, 300.0106292968704]|308.6160225385241915|      0.03125000|[341, 22, 11, 33]                                                          |  | used linear model with 33 points | iterate failure | actual_k=1
