k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00390625|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00195312|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00097656|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00048828|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00024414|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00012207|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00006104|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[0.0, 0.0, 1.0, 0.05, 17.06794, 8.0, 13642.3]                                   | 37.1342671014830401|      0.00003052|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[1.2928411352e-06, 3.03151187345e-05, 0.9999993937121763, 0.0500021676857145, 17.067941873351227, 8.000001435451415, 13642.299999908892]| 27.4975958005409566|      0.00006104|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[1.2928411352e-06, 3.03151187345e-05, 0.9999993937121763, 0.0500021676857145, 17.067941873351227, 8.000001435451415, 13642.299999908892]| 27.4975958005409566|      0.00003052|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[1.2928411352e-06, 3.03151187345e-05, 0.9999993937121763, 0.0500021676857145, 17.067941873351227, 8.000001435451415, 13642.299999908892]| 27.4975958005409566|      0.00001526|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[1.2928411352e-06, 3.03151187345e-05, 0.9999993937121763, 0.0500021676857145, 17.067941873351227, 8.000001435451415, 13642.299999908892]| 27.4975958005409566|      0.00000763|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[1.2928411352e-06, 3.03151187345e-05, 0.9999993937121763, 0.0500021676857145, 17.067941873351227, 8.000001435451415, 13642.299999908892]| 27.4975958005409566|      0.00000381|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[1.2928411352e-06, 3.03151187345e-05, 0.9999993937121763, 0.0500021676857145, 17.067941873351227, 8.000001435451415, 13642.299999908892]| 27.4975958005409566|      0.00000191|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[1.2928411352e-06, 3.03151187345e-05, 0.9999993937121763, 0.0500021676857145, 17.067941873351227, 8.000001435451415, 13642.299999908892]| 27.4975958005409566|      0.00000095|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[1.4887635433e-06, 2.96485527993e-05, 0.9999990871820096, 0.0500017350499136, 17.067941998855602, 8.000001397820261, 13642.300000267356]| 27.4947561480698930|      0.00000191|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[1.4887635433e-06, 2.96485527993e-05, 0.9999990871820096, 0.0500017350499136, 17.067941998855602, 8.000001397820261, 13642.300000267356]| 27.4947561480698930|      0.00000095|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[1.4887635433e-06, 2.96485527993e-05, 0.9999990871820096, 0.0500017350499136, 17.067941998855602, 8.000001397820261, 13642.300000267356]| 27.4947561480698930|      0.00000048|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[1.4887635433e-06, 2.96485527993e-05, 0.9999990871820096, 0.0500017350499136, 17.067941998855602, 8.000001397820261, 13642.300000267356]| 27.4947561480698930|      0.00000024|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[1.5340329169e-06, 2.98642473347e-05, 0.9999990562317164, 0.0500017013451361, 17.06794201044409, 8.000001384425968, 13642.300000343923]| 27.4946263591770048|      0.00000048|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[1.5340329169e-06, 2.98642473347e-05, 0.9999990562317164, 0.0500017013451361, 17.06794201044409, 8.000001384425968, 13642.300000343923]| 27.4946263591770048|      0.00000024|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[1.5340329169e-06, 2.98642473347e-05, 0.9999990562317164, 0.0500017013451361, 17.06794201044409, 8.000001384425968, 13642.300000343923]| 27.4946263591770048|      0.00000012|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[1.5441799394e-06, 2.97475444708e-05, 0.9999990622768286, 0.0500017206322708, 17.067942003541212, 8.000001386851954, 13642.300000349047]| 27.4945709919376711|      0.00000024|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      31|[1.5441799394e-06, 2.97475444708e-05, 0.9999990622768286, 0.0500017206322708, 17.067942003541212, 8.000001386851954, 13642.300000349047]| 27.4945709919376711|      0.00000012|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      32|[1.5207596607e-06, 2.98055218135e-05, 0.9999991025746281, 0.0500016791741984, 17.067942056268702, 8.000001406236935, 13642.30000041071]| 27.4945629677148382|      0.00000024|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[1.5207596607e-06, 2.98055218135e-05, 0.9999991025746281, 0.0500016791741984, 17.067942056268702, 8.000001406236935, 13642.30000041071]| 27.4945629677148382|      0.00000012|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[1.5207596607e-06, 2.98055218135e-05, 0.9999991025746281, 0.0500016791741984, 17.067942056268702, 8.000001406236935, 13642.30000041071]| 27.4945629677148382|      0.00000006|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[1.5207596607e-06, 2.98055218135e-05, 0.9999991025746281, 0.0500016791741984, 17.067942056268702, 8.000001406236935, 13642.30000041071]| 27.4945629677148382|      0.00000003|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
