k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[19.99264161126206, 2.0859711492586492, 2.046181115692546, 2.000422261446599, 0.6903284020521254]|4856.3071289062500000|      1.00000000|[57, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[19.99264161126206, 2.0859711492586492, 2.046181115692546, 2.000422261446599, 0.6903284020521254]|4856.3071289062500000|      0.50000000|[85, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[19.99264161126206, 2.0859711492586492, 2.046181115692546, 2.000422261446599, 0.6903284020521254]|4856.3071289062500000|      0.25000000|[113, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[20.088759412663368, 2.0341080135187397, 2.1263299388696097, 2.0340542558243495, 0.4829238734069939]|4311.2470703125000000|      0.50000000|[141, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[20.088759412663368, 2.0341080135187397, 2.1263299388696097, 2.0340542558243495, 0.4829238734069939]|4311.2470703125000000|      0.25000000|[169, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[20.088759412663368, 2.0341080135187397, 2.1263299388696097, 2.0340542558243495, 0.4829238734069939]|4311.2470703125000000|      0.12500000|[197, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[20.08617186297606, 2.0714910482853455, 2.1286063418663153, 2.042173085619635, 0.6018764517330069]|3948.9284667968750000|      0.25000000|[225, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[20.08617186297606, 2.0714910482853455, 2.1286063418663153, 2.042173085619635, 0.6018764517330069]|3948.9284667968750000|      0.12500000|[253, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[20.08617186297606, 2.0714910482853455, 2.1286063418663153, 2.042173085619635, 0.6018764517330069]|3948.9284667968750000|      0.06250000|[281, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[20.094780209388613, 2.088638795129068, 2.13435655679904, 2.0488017839692314, 0.5430453669508735]|3796.1459960937500000|      0.12500000|[309, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[20.094780209388613, 2.088638795129068, 2.13435655679904, 2.0488017839692314, 0.5430453669508735]|3796.1459960937500000|      0.06250000|[337, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[20.094028553292137, 2.13581553333408, 2.164944893598237, 2.046603508519404, 0.5702402492332801]|3684.6591796875000000|      0.12500000|[365, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      14|[20.139403140492437, 2.2108882609084146, 2.2251049835879986, 2.0955051068132766, 0.5264266706567642]|3442.6052246093750000|      0.25000000|[393, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      15|[20.139403140492437, 2.2108882609084146, 2.2251049835879986, 2.0955051068132766, 0.5264266706567642]|3442.6052246093750000|      0.12500000|[421, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[20.139403140492437, 2.2108882609084146, 2.2251049835879986, 2.0955051068132766, 0.5264266706567642]|3442.6052246093750000|      0.06250000|[449, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[20.14312705532239, 2.2630098606594236, 2.1911137123942734, 2.0922741820895516, 0.5232840752645502]|3345.7744140625000000|      0.12500000|[477, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[20.14312705532239, 2.2630098606594236, 2.1911137123942734, 2.0922741820895516, 0.5232840752645502]|3345.7744140625000000|      0.06250000|[505, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[20.16284237743135, 2.3163395301595338, 2.1986926458139004, 2.0840709777153763, 0.5467099078295911]|3272.8347167968750000|      0.12500000|[533, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      20|[20.275061397870584, 2.3624466546710066, 2.215613462909482, 2.107170912868733, 0.5374307125158505]|3142.0644531250000000|      0.25000000|[561, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[20.275061397870584, 2.3624466546710066, 2.215613462909482, 2.107170912868733, 0.5374307125158505]|3142.0644531250000000|      0.12500000|[589, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      22|[20.275061397870584, 2.3624466546710066, 2.215613462909482, 2.107170912868733, 0.5374307125158505]|3142.0644531250000000|      0.06250000|[617, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[20.275061397870584, 2.3624466546710066, 2.215613462909482, 2.107170912868733, 0.5374307125158505]|3142.0644531250000000|      0.03125000|[645, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      24|[20.27422812593734, 2.370389973699016, 2.220131161422709, 2.109174616999847, 0.5076255550661224]|3099.4462890625000000|      0.06250000|[673, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      25|[20.268148844185298, 2.422690510424282, 2.241616734278812, 2.121466448917213, 0.530455956262524]|3044.1486816406250000|      0.12500000|[701, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
