k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.5006051814147463, 1.4993905119480184, -1.002421454393385, 0.0173761570949633, 0.020162176295791]|  0.2664160737209885|      0.01562500|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[0.5006051814147463, 1.4993905119480184, -1.002421454393385, 0.0173761570949633, 0.020162176295791]|  0.2664160737209885|      0.00781250|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.5006051814147463, 1.4993905119480184, -1.002421454393385, 0.0173761570949633, 0.020162176295791]|  0.2664160737209885|      0.00390625|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.5012443344684006, 1.4984771815881073, -1.0026536047215957, 0.0144739901275109, 0.0225158188362608]|  0.1610461454113240|      0.00781250|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[0.5012443344684006, 1.4984771815881073, -1.0026536047215957, 0.0144739901275109, 0.0225158188362608]|  0.1610461454113240|      0.00390625|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[0.5012443344684006, 1.4984771815881073, -1.0026536047215957, 0.0144739901275109, 0.0225158188362608]|  0.1610461454113240|      0.00195312|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.5012443344684006, 1.4984771815881073, -1.0026536047215957, 0.0144739901275109, 0.0225158188362608]|  0.1610461454113240|      0.00097656|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[0.5011709612706698, 1.4984479535329263, -1.002747007309397, 0.0154137902376933, 0.0222802596705622]|  0.1432157130067340|      0.00195312|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[0.5011709612706698, 1.4984479535329263, -1.002747007309397, 0.0154137902376933, 0.0222802596705622]|  0.1432157130067340|      0.00097656|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[0.5011709612706698, 1.4984479535329263, -1.002747007309397, 0.0154137902376933, 0.0222802596705622]|  0.1432157130067340|      0.00048828|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[0.5011709612706698, 1.4984479535329263, -1.002747007309397, 0.0154137902376933, 0.0222802596705622]|  0.1432157130067340|      0.00024414|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[0.501081867603515, 1.4984235685064948, -1.0027746867054739, 0.0153339989501564, 0.0224898772633359]|  0.1423468302442313|      0.00048828|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[0.5008188367878411, 1.4985588374151222, -1.002779863372371, 0.0154685104105518, 0.0228543159558596]|  0.1401174849033658|      0.00097656|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[0.5008188367878411, 1.4985588374151222, -1.002779863372371, 0.0154685104105518, 0.0228543159558596]|  0.1401174849033658|      0.00048828|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[0.5004632912957027, 1.4985289925172207, -1.0026490238103607, 0.0157671948447263, 0.0229234815685994]|  0.1393511945075909|      0.00097656|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[0.5004632912957027, 1.4985289925172207, -1.0026490238103607, 0.0157671948447263, 0.0229234815685994]|  0.1393511945075909|      0.00048828|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[0.5003448737861209, 1.4984134878419244, -1.0026243356961675, 0.0154082342102608, 0.0232091252319851]|  0.1386089178671318|      0.00097656|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[0.5001123741208798, 1.498631433851936, -1.002700483886487, 0.0160757510031065, 0.0238421659440797]|  0.1352762723428615|      0.00195312|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
