k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[11, 0, 1, 4]                                                              |  | used linear model with 11 points | iterate failure | actual_k=0
       2|[0.0737792917416532, 0.1201223749503558, -0.0504792921704999, -0.1934861281423334, 0.3809494995221066, -0.099994160069336, 0.0463092034098369, -0.0495048239592417, -0.1744292615217854]|228959.9957723701081704|      1.00000000|[22, 0, 2, 8]                                                              |  | used linear model with 11 points | iterate success | actual_k=0
       3|[0.0737792917416532, 0.1201223749503558, -0.0504792921704999, -0.1934861281423334, 0.3809494995221066, -0.099994160069336, 0.0463092034098369, -0.0495048239592417, -0.1744292615217854]|228959.9957723701081704|      0.50000000|[33, 0, 3, 12]                                                             |  | used linear model with 11 points | iterate failure | actual_k=0
       4|[0.0737792917416532, 0.1201223749503558, -0.0504792921704999, -0.1934861281423334, 0.3809494995221066, -0.099994160069336, 0.0463092034098369, -0.0495048239592417, -0.1744292615217854]|228959.9957723701081704|      0.25000000|[44, 0, 4, 16]                                                             |  | used linear model with 11 points | iterate failure | actual_k=0
       5|[0.1209570627613622, 0.1034592219600957, -0.0901969186608595, -0.0173056991738369, 0.5327264159621756, -0.0689930175873484, 0.0186694368874643, -0.0286593718430163, -0.22116009804221]|54943.3787359533744166|      0.50000000|[55, 0, 5, 20]                                                             |  | used linear model with 11 points | iterate success | actual_k=0
       6|[0.1209570627613622, 0.1034592219600957, -0.0901969186608595, -0.0173056991738369, 0.5327264159621756, -0.0689930175873484, 0.0186694368874643, -0.0286593718430163, -0.22116009804221]|54943.3787359533744166|      0.25000000|[66, 0, 6, 24]                                                             |  | used linear model with 11 points | iterate failure | actual_k=0
       7|[0.1209570627613622, 0.1034592219600957, -0.0901969186608595, -0.0173056991738369, 0.5327264159621756, -0.0689930175873484, 0.0186694368874643, -0.0286593718430163, -0.22116009804221]|54943.3787359533744166|      0.12500000|[77, 0, 7, 28]                                                             |  | used linear model with 11 points | iterate failure | actual_k=0
       8|[0.1265167317103934, 0.0947622310507112, -0.1226335400836709, -0.0850282894806509, 0.6025604625050182, -0.0284419830871901, -0.0339696066507443, -0.0113853753617245, -0.2381756341334966]|33597.9214579267354566|      0.25000000|[88, 0, 8, 32]                                                             |  | used linear model with 11 points | iterate success | actual_k=0
       9|[0.1265167317103934, 0.0947622310507112, -0.1226335400836709, -0.0850282894806509, 0.6025604625050182, -0.0284419830871901, -0.0339696066507443, -0.0113853753617245, -0.2381756341334966]|33597.9214579267354566|      0.12500000|[99, 0, 9, 36]                                                             |  | used linear model with 11 points | iterate failure | actual_k=0
      10|[0.0949165041134319, 0.0880895755298343, -0.1075682821706163, -0.0253783857707231, 0.6841505172125696, 0.030220062705165, -0.0133081274507421, -0.0277454273230832, -0.2361489104489853]|12833.8333760173500195|      0.25000000|[110, 0, 10, 40]                                                           |  | used linear model with 11 points | iterate success | actual_k=0
      11|[0.0949165041134319, 0.0880895755298343, -0.1075682821706163, -0.0253783857707231, 0.6841505172125696, 0.030220062705165, -0.0133081274507421, -0.0277454273230832, -0.2361489104489853]|12833.8333760173500195|      0.12500000|[121, 0, 11, 44]                                                           |  | used linear model with 11 points | iterate failure | actual_k=0
