k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7504728856305292|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4521626210188423, 0.6693225799687574, 5.248568172598088, 5.136015464023677, 6.413819406277498, 7.802296614031239]|187.9946593811424691|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[-1.2808583899900778, 0.5752549297662752, 4.856950486155636, 4.995880101523003, 5.7002826940896645, 8.35515507764507]| 83.6396380611079451|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[0.7941437228474331, 2.522165433895585, 3.5341123204367024, 6.195054633961876, 3.8269989197715404, 9.453696496788949]| 54.2657621383481370|      8.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[0.7941437228474331, 2.522165433895585, 3.5341123204367024, 6.195054633961876, 3.8269989197715404, 9.453696496788949]| 54.2657621383481370|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.033603964645931, -0.0689663401597049, 1.2885915388863523, 6.031263541944041, 1.955071090487412, 9.820180473831066]|  1.9455160951509243|      8.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[0.033603964645931, -0.0689663401597049, 1.2885915388863523, 6.031263541944041, 1.955071090487412, 9.820180473831066]|  1.9455160951509243|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.033603964645931, -0.0689663401597049, 1.2885915388863523, 6.031263541944041, 1.955071090487412, 9.820180473831066]|  1.9455160951509243|      2.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.033603964645931, -0.0689663401597049, 1.2885915388863523, 6.031263541944041, 1.955071090487412, 9.820180473831066]|  1.9455160951509243|      1.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.033603964645931, -0.0689663401597049, 1.2885915388863523, 6.031263541944041, 1.955071090487412, 9.820180473831066]|  1.9455160951509243|      0.50000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[0.033603964645931, -0.0689663401597049, 1.2885915388863523, 6.031263541944041, 1.955071090487412, 9.820180473831066]|  1.9455160951509243|      0.25000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.2490422603056924, -0.0767026213641655, 1.3427797145117195, 6.0231908963084795, 1.9553827334833145, 9.706053931739303]|  1.6753940831303276|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[0.2490422603056924, -0.0767026213641655, 1.3427797145117195, 6.0231908963084795, 1.9553827334833145, 9.706053931739303]|  1.6753940831303276|      0.25000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.1110981453375108, 0.0249469836966782, 1.3195258511306083, 6.023844851499089, 1.7877706892354248, 9.638943487394743]|  1.3220211666943960|      0.50000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[0.1110981453375108, 0.0249469836966782, 1.3195258511306083, 6.023844851499089, 1.7877706892354248, 9.638943487394743]|  1.3220211666943960|      0.25000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[0.2289371661558303, 0.0086468289817358, 1.2985049541958156, 6.101486177498084, 1.583774339529014, 9.655182509055022]|  0.9037406608561220|      0.50000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      16|[0.2289371661558303, 0.0086468289817358, 1.2985049541958156, 6.101486177498084, 1.583774339529014, 9.655182509055022]|  0.9037406608561220|      0.25000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[0.2289371661558303, 0.0086468289817358, 1.2985049541958156, 6.101486177498084, 1.583774339529014, 9.655182509055022]|  0.9037406608561220|      0.12500000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[0.19707369296737, -0.0389084192579737, 1.2108574563901464, 6.064834961641608, 1.527710611722117, 9.641778018379535]|  0.8789773285024343|      0.25000000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      19|[0.19707369296737, -0.0389084192579737, 1.2108574563901464, 6.064834961641608, 1.527710611722117, 9.641778018379535]|  0.8789773285024343|      0.12500000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[0.2572630554601232, 0.0134038437516861, 1.183699227149053, 6.062299417743956, 1.4354028712546125, 9.642752919881852]|  0.7924113313480500|      0.25000000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
