k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.042055038279104, 0.0041360279523194, 0.0856009733181868, 0.1803652766388696, 0.943475195183658, -0.019855909453773, 0.0519427962068725, -0.1922697638368758, 0.1677786939612098]|35900.1407270076670102|      2.00000000|[52, 3, 1, 5]                                                              |  | used quadratic model with 55 points | iterate success | actual_k=1
       2|[-0.042055038279104, 0.0041360279523194, 0.0856009733181868, 0.1803652766388696, 0.943475195183658, -0.019855909453773, 0.0519427962068725, -0.1922697638368758, 0.1677786939612098]|35900.1407270076670102|      1.00000000|[104, 6, 2, 10]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=1
       3|[-0.042055038279104, 0.0041360279523194, 0.0856009733181868, 0.1803652766388696, 0.943475195183658, -0.019855909453773, 0.0519427962068725, -0.1922697638368758, 0.1677786939612098]|35900.1407270076670102|      0.50000000|[156, 9, 3, 15]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=1
       4|[-0.042055038279104, 0.0041360279523194, 0.0856009733181868, 0.1803652766388696, 0.943475195183658, -0.019855909453773, 0.0519427962068725, -0.1922697638368758, 0.1677786939612098]|35900.1407270076670102|      0.25000000|[208, 12, 4, 20]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=1
       5|[-0.0094246307365532, 0.0091159065933039, 0.0934350054345556, -0.0516053850959897, 1.0168162397278069, 0.0166984988909797, 0.0676683522400996, -0.2108118623461267, 0.1830253733858117]|2796.1643434263751260|      0.50000000|[260, 15, 5, 25]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=1
       6|[-0.0094246307365532, 0.0091159065933039, 0.0934350054345556, -0.0516053850959897, 1.0168162397278069, 0.0166984988909797, 0.0676683522400996, -0.2108118623461267, 0.1830253733858117]|2796.1643434263751260|      0.25000000|[312, 18, 6, 30]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=1
       7|[-0.0094246307365532, 0.0091159065933039, 0.0934350054345556, -0.0516053850959897, 1.0168162397278069, 0.0166984988909797, 0.0676683522400996, -0.2108118623461267, 0.1830253733858117]|2796.1643434263751260|      0.12500000|[364, 21, 7, 35]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=1
       8|[-0.0094246307365532, 0.0091159065933039, 0.0934350054345556, -0.0516053850959897, 1.0168162397278069, 0.0166984988909797, 0.0676683522400996, -0.2108118623461267, 0.1830253733858117]|2796.1643434263751260|      0.06250000|[416, 24, 8, 40]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=1
       9|[0.0003816242092004, 0.0112903240219342, 0.0912678519858998, 0.0040475109631927, 1.0320697417963578, -0.0004427698990453, 0.0575548658918437, -0.2146412942350346, 0.1752808073459706]| 56.2564482392905774|      0.12500000|[467, 28, 9, 45]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=1
      10|[0.0003816242092004, 0.0112903240219342, 0.0912678519858998, 0.0040475109631927, 1.0320697417963578, -0.0004427698990453, 0.0575548658918437, -0.2146412942350346, 0.1752808073459706]| 56.2564482392905774|      0.06250000|[518, 32, 10, 50]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=1
      11|[0.0003816242092004, 0.0112903240219342, 0.0912678519858998, 0.0040475109631927, 1.0320697417963578, -0.0004427698990453, 0.0575548658918437, -0.2146412942350346, 0.1752808073459706]| 56.2564482392905774|      0.03125000|[570, 35, 11, 55]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=1
