k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4661905834243132, 0.1050512680438341, 0.0266676319913528, -0.3257816389219892, 0.5725342758993947, 0.1975434655677568, -0.4560439585489777, 0.2993753779746881, 0.0191077266958834]|342350.8871915558120236|      2.00000000|[10, 0, 1, 2]                                                              |  | used linear model with 10 points | iterate success | actual_k=0
       2|[-0.4661905834243132, 0.1050512680438341, 0.0266676319913528, -0.3257816389219892, 0.5725342758993947, 0.1975434655677568, -0.4560439585489777, 0.2993753779746881, 0.0191077266958834]|342350.8871915558120236|      1.00000000|[20, 0, 2, 4]                                                              |  | used linear model with 10 points | iterate failure | actual_k=0
       3|[-0.4661905834243132, 0.1050512680438341, 0.0266676319913528, -0.3257816389219892, 0.5725342758993947, 0.1975434655677568, -0.4560439585489777, 0.2993753779746881, 0.0191077266958834]|342350.8871915558120236|      0.50000000|[30, 0, 3, 6]                                                              |  | used linear model with 10 points | iterate failure | actual_k=0
       4|[-0.6825317492187801, 0.203264300709511, 0.1703690918169424, -0.151998511721788, 0.9045175520741584, 0.2291279692593124, -0.3522867236327678, 0.4400588402468681, 0.0496386692672805]|94540.5238438630767632|      1.00000000|[40, 0, 4, 8]                                                              |  | used linear model with 10 points | iterate success | actual_k=0
       5|[-0.6825317492187801, 0.203264300709511, 0.1703690918169424, -0.151998511721788, 0.9045175520741584, 0.2291279692593124, -0.3522867236327678, 0.4400588402468681, 0.0496386692672805]|94540.5238438630767632|      0.50000000|[50, 0, 5, 10]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       6|[-0.6825317492187801, 0.203264300709511, 0.1703690918169424, -0.151998511721788, 0.9045175520741584, 0.2291279692593124, -0.3522867236327678, 0.4400588402468681, 0.0496386692672805]|94540.5238438630767632|      0.25000000|[60, 0, 6, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       7|[-0.7191118717289794, 0.148414298428894, 0.0057370797135432, -0.0600729351762369, 0.8950018687120868, 0.1424033507265338, -0.466453628629413, 0.4383365076557269, 0.0938043181240411]|22868.4268898546542914|      0.50000000|[70, 0, 7, 14]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
       8|[-0.7191118717289794, 0.148414298428894, 0.0057370797135432, -0.0600729351762369, 0.8950018687120868, 0.1424033507265338, -0.466453628629413, 0.4383365076557269, 0.0938043181240411]|22868.4268898546542914|      0.25000000|[80, 0, 8, 16]                                                             |  | used linear model with 10 points | iterate failure | actual_k=0
       9|[-0.6619215364204494, 0.1760795131196422, 0.0094388698179245, -0.025938447128928, 0.9308193135519106, -0.0730472173471483, -0.493536574234374, 0.3545387697093367, 0.136555358503015]|7491.2475822549577060|      0.50000000|[90, 0, 9, 18]                                                             |  | used linear model with 10 points | iterate success | actual_k=0
      10|[-0.6619215364204494, 0.1760795131196422, 0.0094388698179245, -0.025938447128928, 0.9308193135519106, -0.0730472173471483, -0.493536574234374, 0.3545387697093367, 0.136555358503015]|7491.2475822549577060|      0.25000000|[100, 0, 10, 20]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
      11|[-0.6619215364204494, 0.1760795131196422, 0.0094388698179245, -0.025938447128928, 0.9308193135519106, -0.0730472173471483, -0.493536574234374, 0.3545387697093367, 0.136555358503015]|7491.2475822549577060|      0.12500000|[110, 0, 11, 22]                                                           |  | used linear model with 10 points | iterate failure | actual_k=0
