k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1722934189199238, 10.054747894290985, 1.9835230784621105]                    |  0.9748522043228149|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.1722934189199238, 10.054747894290985, 1.9835230784621105]                    |  0.9748522043228149|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.1722934189199238, 10.054747894290985, 1.9835230784621105]                    |  0.9748522043228149|      0.50000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.4392524619766301, 10.289296541805331, 1.6317848216866515]                    |  0.3868685662746429|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[0.4392524619766301, 10.289296541805331, 1.6317848216866515]                    |  0.3868685662746429|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.4392524619766301, 10.289296541805331, 1.6317848216866515]                    |  0.3868685662746429|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.3483654474214383, 10.295001410777536, 1.3989608429918996]                    |  0.1483655571937561|      0.50000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[0.3483654474214383, 10.295001410777536, 1.3989608429918996]                    |  0.1483655571937561|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.5973224566944129, 10.273255284597129, 1.392067837116241]                     |  0.1285570561885834|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.5973224566944129, 10.273255284597129, 1.392067837116241]                     |  0.1285570561885834|      0.25000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.5816468419288686, 10.243994943547916, 1.1442814219450173]                    |  0.0691246166825294|      0.50000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.5816468419288686, 10.243994943547916, 1.1442814219450173]                    |  0.0691246166825294|      0.25000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.816230320903332, 10.175250987795842, 1.0918900110096896]                     |  0.0063963271677494|      0.50000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[0.816230320903332, 10.175250987795842, 1.0918900110096896]                     |  0.0063963271677494|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[0.816230320903332, 10.175250987795842, 1.0918900110096896]                     |  0.0063963271677494|      0.12500000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
