k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.883858328441352, 3.0460681979018935, 0.5113323870641338, 39.96979323432816, -0.7084924709142916, -1.0119352559396413, 25.327958729050877, -1.166771738107157, 1.1964210993104847]|1001.1264648437500000|      2.00000000|[24, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[10.883858328441352, 3.0460681979018935, 0.5113323870641338, 39.96979323432816, -0.7084924709142916, -1.0119352559396413, 25.327958729050877, -1.166771738107157, 1.1964210993104847]|1001.1264648437500000|      1.00000000|[48, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[10.518889501628566, 2.9905530384947596, 0.4218144022236359, 40.15169434214236, -0.0272269573744797, -0.9465826160740616, 25.571793255914507, -0.7403066624836963, 0.8604256600504243]|934.1854858398437500|      2.00000000|[71, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       4|[10.518889501628566, 2.9905530384947596, 0.4218144022236359, 40.15169434214236, -0.0272269573744797, -0.9465826160740616, 25.571793255914507, -0.7403066624836963, 0.8604256600504243]|934.1854858398437500|      1.00000000|[94, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[10.518889501628566, 2.9905530384947596, 0.4218144022236359, 40.15169434214236, -0.0272269573744797, -0.9465826160740616, 25.571793255914507, -0.7403066624836963, 0.8604256600504243]|934.1854858398437500|      0.50000000|[117, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[10.631205200144231, 3.1062632842048927, 0.5135761982902356, 40.27880376892132, -0.3415415629890044, -1.2015758692059288, 25.746926925411973, -0.7392787844522261, 0.79020315553148]|880.6778564453125000|      1.00000000|[140, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[10.631205200144231, 3.1062632842048927, 0.5135761982902356, 40.27880376892132, -0.3415415629890044, -1.2015758692059288, 25.746926925411973, -0.7392787844522261, 0.79020315553148]|880.6778564453125000|      0.50000000|[164, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[10.631205200144231, 3.1062632842048927, 0.5135761982902356, 40.27880376892132, -0.3415415629890044, -1.2015758692059288, 25.746926925411973, -0.7392787844522261, 0.79020315553148]|880.6778564453125000|      0.25000000|[186, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[10.631205200144231, 3.1062632842048927, 0.5135761982902356, 40.27880376892132, -0.3415415629890044, -1.2015758692059288, 25.746926925411973, -0.7392787844522261, 0.79020315553148]|880.6778564453125000|      0.12500000|[210, 72, 0, 18]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[10.605951044224627, 3.1062898009311213, 0.5028576387631367, 40.28796301046516, -0.4028559332014164, -1.2436553366693464, 25.829589870491738, -0.7801143629412527, 0.7626784912226473]|871.9149780273437500|      0.25000000|[234, 80, 0, 20]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      11|[10.605951044224627, 3.1062898009311213, 0.5028576387631367, 40.28796301046516, -0.4028559332014164, -1.2436553366693464, 25.829589870491738, -0.7801143629412527, 0.7626784912226473]|871.9149780273437500|      0.12500000|[257, 88, 0, 22]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      12|[10.627855933592409, 3.111355961786612, 0.5039221950701632, 40.2878065598575, -0.4658478644345957, -1.2576728238186174, 25.928591630851617, -0.7816764329128292, 0.7965914697947416]|865.5487060546875000|      0.25000000|[279, 96, 0, 24]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      13|[10.627855933592409, 3.111355961786612, 0.5039221950701632, 40.2878065598575, -0.4658478644345957, -1.2576728238186174, 25.928591630851617, -0.7816764329128292, 0.7965914697947416]|865.5487060546875000|      0.12500000|[301, 104, 0, 26]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      14|[10.662801768596502, 3.1368308522160606, 0.491926920920457, 40.302080842775716, -0.4548662283012711, -1.3115744569221013, 25.95831190267419, -0.7832165644594923, 0.8940364690145192]|860.9692382812500000|      0.25000000|[323, 112, 0, 28]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      15|[10.662801768596502, 3.1368308522160606, 0.491926920920457, 40.302080842775716, -0.4548662283012711, -1.3115744569221013, 25.95831190267419, -0.7832165644594923, 0.8940364690145192]|860.9692382812500000|      0.12500000|[346, 120, 0, 30]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      16|[10.63852266231883, 3.1337896645392127, 0.4743706758573452, 40.27175759079082, -0.4975931375574276, -1.3418148352072439, 26.02462626850195, -0.7945692188569662, 0.9748573060170952]|856.6822509765625000|      0.25000000|[368, 128, 0, 32]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      17|[10.63852266231883, 3.1337896645392127, 0.4743706758573452, 40.27175759079082, -0.4975931375574276, -1.3418148352072439, 26.02462626850195, -0.7945692188569662, 0.9748573060170952]|856.6822509765625000|      0.12500000|[390, 136, 0, 34]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      18|[10.63852266231883, 3.1337896645392127, 0.4743706758573452, 40.27175759079082, -0.4975931375574276, -1.3418148352072439, 26.02462626850195, -0.7945692188569662, 0.9748573060170952]|856.6822509765625000|      0.06250000|[412, 144, 0, 36]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      19|[10.621492389552975, 3.0994834313540127, 0.4918740551993083, 40.293628617011294, -0.5068887465644806, -1.3605087077841074, 26.038131831161134, -0.7788744073886485, 1.0029641654883836]|854.8413696289062500|      0.12500000|[435, 152, 0, 38]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      20|[10.641897586658896, 3.084335783970876, 0.5168412162657009, 40.31321108877993, -0.4718577967492584, -1.375152096832252, 26.109141560174, -0.7821957198296695, 1.0894357524921894]|851.9014282226562500|      0.25000000|[457, 160, 0, 40]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      21|[10.641897586658896, 3.084335783970876, 0.5168412162657009, 40.31321108877993, -0.4718577967492584, -1.375152096832252, 26.109141560174, -0.7821957198296695, 1.0894357524921894]|851.9014282226562500|      0.12500000|[480, 168, 0, 42]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      22|[10.64585886271949, 3.046197606709416, 0.537593175555864, 40.34828990940169, -0.5012281143745374, -1.3763838682250302, 26.21223095517099, -0.7900231610317734, 1.120108138147019]|850.8994750976562500|      0.25000000|[503, 176, 0, 44]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      23|[10.583403802847917, 3.011172455954602, 0.4664602638731535, 40.41321781298989, -0.5838827662312811, -1.4771565440061225, 26.221467484911198, -0.613884866306077, 1.1204882882014229]|847.9643554687500000|      0.50000000|[526, 184, 0, 46]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      24|[10.583403802847917, 3.011172455954602, 0.4664602638731535, 40.41321781298989, -0.5838827662312811, -1.4771565440061225, 26.221467484911198, -0.613884866306077, 1.1204882882014229]|847.9643554687500000|      0.25000000|[549, 192, 0, 48]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      25|[10.60300779336574, 3.0409842208352535, 0.5673025136370438, 40.34866051598952, -0.6333427173143942, -1.3951344163235706, 26.30231823920254, -0.455446711848823, 1.1984416643247497]|845.3762817382812500|      0.50000000|[572, 200, 0, 50]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      26|[10.60300779336574, 3.0409842208352535, 0.5673025136370438, 40.34866051598952, -0.6333427173143942, -1.3951344163235706, 26.30231823920254, -0.455446711848823, 1.1984416643247497]|845.3762817382812500|      0.25000000|[596, 208, 0, 52]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      27|[10.60300779336574, 3.0409842208352535, 0.5673025136370438, 40.34866051598952, -0.6333427173143942, -1.3951344163235706, 26.30231823920254, -0.455446711848823, 1.1984416643247497]|845.3762817382812500|      0.12500000|[619, 216, 0, 54]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
