k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[13, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.25000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.069257943927334, -1.0774415955185428, -1.0936504829972333, -1.0280104000441774, -1.0045329844338904, -1.0299713350943454, -1.1153616688805734, -1.0299703514462955, -1.040435238647139, -1.1593448053682915]|  1.5171660184860229|      0.50000000|[35, 11, 1, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=1
       4|[1.069257943927334, -1.0774415955185428, -1.0936504829972333, -1.0280104000441774, -1.0045329844338904, -1.0299713350943454, -1.1153616688805734, -1.0299703514462955, -1.040435238647139, -1.1593448053682915]|  1.5171660184860229|      0.25000000|[47, 15, 1, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.069257943927334, -1.0774415955185428, -1.0936504829972333, -1.0280104000441774, -1.0045329844338904, -1.0299713350943454, -1.1153616688805734, -1.0299703514462955, -1.040435238647139, -1.1593448053682915]|  1.5171660184860229|      0.12500000|[59, 19, 1, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.090588702706778, -1.0686472295734488, -1.167593439682657, -1.0546556913986813, -1.053718015430918, -1.072943313482071, -1.0998374037997163, -1.0095897683093353, -1.1035393573471912, -1.1626412412952976]|  0.4699159264564514|      0.25000000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=1
       7|[1.090588702706778, -1.0686472295734488, -1.167593439682657, -1.0546556913986813, -1.053718015430918, -1.072943313482071, -1.0998374037997163, -1.0095897683093353, -1.1035393573471912, -1.1626412412952976]|  0.4699159264564514|      0.12500000|[82, 26, 3, 29]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.1397191246835705, -1.0843106285190822, -1.1825708322554043, -1.071490827868268, -1.0910466673160382, -1.1348137259098712, -1.0965463764142236, -1.0508398947208466, -1.0859005168766969, -1.2348437813663822]|  0.1308369040489197|      0.25000000|[88, 28, 3, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[1.1397191246835705, -1.0843106285190822, -1.1825708322554043, -1.071490827868268, -1.0910466673160382, -1.1348137259098712, -1.0965463764142236, -1.0508398947208466, -1.0859005168766969, -1.2348437813663822]|  0.1308369040489197|      0.12500000|[100, 32, 3, 35]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
