k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.027553281636685, 9.560494463172846, 9.850813895657918, 9.865491699424412, 0.2710103121430819, 0.1061449953307421, 0.6468797433580261, 0.5124060610767854]|1586.2563476562500000|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[8.911633162966606, 8.710139996814572, 10.12134740103291, 8.80909273478396, 1.0400552872961093, -0.3901675253979123, 0.6303237463611733, 0.5789043858021444]|1531.8141014509812976|      4.00000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       3|[7.485540541317347, 6.584689382623377, 10.404813632968573, 9.118621951441202, -0.6876112082909991, 1.8178773552289953, 1.817904493763854, 0.6226803388028821]|1227.7169189453125000|      8.00000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[9.75964077145824, 8.894506740886296, 7.976575588086523, 5.52614527542339, -5.23885582711286, 0.5028850227791442, 3.5959683305638164, 3.6370525490488577]|1157.6549072265625000|     16.00000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[9.75964077145824, 8.894506740886296, 7.976575588086523, 5.52614527542339, -5.23885582711286, 0.5028850227791442, 3.5959683305638164, 3.6370525490488577]|1157.6549072265625000|      8.00000000|[35, 11, 1, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[9.75964077145824, 8.894506740886296, 7.976575588086523, 5.52614527542339, -5.23885582711286, 0.5028850227791442, 3.5959683305638164, 3.6370525490488577]|1157.6549072265625000|      4.00000000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[9.801968573130397, 8.255115748590438, 7.008382885513794, 2.832515760168291, -4.458379090668089, -0.8510928669835538, 4.9370134725469725, 5.413438854578615]|946.4721679687500000|      8.00000000|[53, 17, 1, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=1
       8|[9.801968573130397, 8.255115748590438, 7.008382885513794, 2.832515760168291, -4.458379090668089, -0.8510928669835538, 4.9370134725469725, 5.413438854578615]|946.4721679687500000|      4.00000000|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[10.278297544154325, 4.909804641846854, 6.907108566847284, 3.6469278951675785, -4.21411704533788, -0.5169302817984816, 3.0691179348307123, 5.9115536779467375]|656.7234497070312500|      8.00000000|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[10.278297544154325, 4.909804641846854, 6.907108566847284, 3.6469278951675785, -4.21411704533788, -0.5169302817984816, 3.0691179348307123, 5.9115536779467375]|656.7234497070312500|      4.00000000|[77, 25, 2, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
