k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0112341235908715, 0.0258162427335158, 0.0586004063506581, -0.0264674877483669, 0.0313510987343409, 0.0371841086107693, 0.0248339424505671, 0.0510406832997676, 0.0344499590163187, 0.0585251450372956, 0.0056750506824878, 0.0215906621855968]| 19.8028918344843312|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[0.0112341235908715, 0.0258162427335158, 0.0586004063506581, -0.0264674877483669, 0.0313510987343409, 0.0371841086107693, 0.0248339424505671, 0.0510406832997676, 0.0344499590163187, 0.0585251450372956, 0.0056750506824878, 0.0215906621855968]| 19.8028918344843312|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0446854173445959, 0.0440267298389641, 0.0826555188098565, 0.0167220196608604, 0.0228116913086037, 0.0932282878942212, 0.0663737608777543, 0.0644177544007079, 0.0549934391339613, 0.016228509484196, 0.0215341501485815, -0.0428258114266327]| 16.6922857267866718|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[0.0446854173445959, 0.0440267298389641, 0.0826555188098565, 0.0167220196608604, 0.0228116913086037, 0.0932282878942212, 0.0663737608777543, 0.0644177544007079, 0.0549934391339613, 0.016228509484196, 0.0215341501485815, -0.0428258114266327]| 16.6922857267866718|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[-0.0028936641973873, 0.1219522552197037, 0.1355355791853699, 0.0198461791068041, 0.0212256225376237, 0.0588945727013568, 0.0701060867156868, 0.0503070246459797, 0.0611339164322028, 0.0166681345253039, -0.0228292229012943, -0.075725844447034]| 12.2478653729798115|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[-0.0028936641973873, 0.1219522552197037, 0.1355355791853699, 0.0198461791068041, 0.0212256225376237, 0.0588945727013568, 0.0701060867156868, 0.0503070246459797, 0.0611339164322028, 0.0166681345253039, -0.0228292229012943, -0.075725844447034]| 12.2478653729798115|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[-0.0028936641973873, 0.1219522552197037, 0.1355355791853699, 0.0198461791068041, 0.0212256225376237, 0.0588945727013568, 0.0701060867156868, 0.0503070246459797, 0.0611339164322028, 0.0166681345253039, -0.0228292229012943, -0.075725844447034]| 12.2478653729798115|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[-0.0056512869130532, 0.1223091930516647, 0.1761754185987097, 0.0430789947785855, 0.0112173714609029, 0.0746051595706369, 0.0939598211764688, 0.0724575692864031, 0.0544081633881201, 0.0090133194440438, -0.0148492123812164, -0.0641928300996249]| 11.1708994397205856|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[-0.0056512869130532, 0.1223091930516647, 0.1761754185987097, 0.0430789947785855, 0.0112173714609029, 0.0746051595706369, 0.0939598211764688, 0.0724575692864031, 0.0544081633881201, 0.0090133194440438, -0.0148492123812164, -0.0641928300996249]| 11.1708994397205856|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
