k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[1.0029778757027066, -1.0759266724307581, -1.1158423898394587, -1.2736180161740198, -0.9520802439416296, -0.8388218895762409, -1.140741084729463, -1.2383393365456294, -1.0258875002167958, -1.2244581327717705]|  4.8096417391892503|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[1.0029778757027066, -1.0759266724307581, -1.1158423898394587, -1.2736180161740198, -0.9520802439416296, -0.8388218895762409, -1.140741084729463, -1.2383393365456294, -1.0258875002167958, -1.2244581327717705]|  4.8096417391892503|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[1.0029778757027066, -1.0759266724307581, -1.1158423898394587, -1.2736180161740198, -0.9520802439416296, -0.8388218895762409, -1.140741084729463, -1.2383393365456294, -1.0258875002167958, -1.2244581327717705]|  4.8096417391892503|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.9995612268372399, -1.092340072545216, -1.0985096102005005, -1.2453227906167768, -0.9863353112318199, -1.0486778470723337, -1.2448521409270754, -1.1706514326294823, -1.0140359596609867, -1.2059182874779835]|  0.7416511581607026|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[0.9995612268372399, -1.092340072545216, -1.0985096102005005, -1.2453227906167768, -0.9863353112318199, -1.0486778470723337, -1.2448521409270754, -1.1706514326294823, -1.0140359596609867, -1.2059182874779835]|  0.7416511581607026|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[0.9995612268372399, -1.092340072545216, -1.0985096102005005, -1.2453227906167768, -0.9863353112318199, -1.0486778470723337, -1.2448521409270754, -1.1706514326294823, -1.0140359596609867, -1.2059182874779835]|  0.7416511581607026|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[1.0805328849811313, -1.1292713112460877, -1.1035717972329104, -1.1902388331512963, -1.0401811884942884, -1.0618223870874375, -1.2653428164526006, -1.160900594823366, -1.0457223628243157, -1.1985920414664142]|  0.2379094997749891|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[1.0805328849811313, -1.1292713112460877, -1.1035717972329104, -1.1902388331512963, -1.0401811884942884, -1.0618223870874375, -1.2653428164526006, -1.160900594823366, -1.0457223628243157, -1.1985920414664142]|  0.2379094997749891|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[1.0609611375468535, -1.1544159960283011, -1.1209907391299723, -1.242310520737719, -1.1356132692336096, -1.087802396906079, -1.2405428337479747, -1.1778586740725765, -1.0673680018037413, -1.2196020181310332]|  0.1064556526776607|      0.25000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      11|[1.0609611375468535, -1.1544159960283011, -1.1209907391299723, -1.242310520737719, -1.1356132692336096, -1.087802396906079, -1.2405428337479747, -1.1778586740725765, -1.0673680018037413, -1.2196020181310332]|  0.1064556526776607|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[1.0609611375468535, -1.1544159960283011, -1.1209907391299723, -1.242310520737719, -1.1356132692336096, -1.087802396906079, -1.2405428337479747, -1.1778586740725765, -1.0673680018037413, -1.2196020181310332]|  0.1064556526776607|      0.06250000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[1.0713509648892787, -1.1629955746678948, -1.0890658748459192, -1.2287246039584871, -1.1541935854979517, -1.0883693873148246, -1.2117844124575647, -1.1588646106846916, -1.07648647260424, -1.189528760169376]|  0.0406586283073508|      0.12500000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
