k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1790688141557201, -0.1537687164294769, 1.02413314582208, 0.6124636061557605, 0.8658632894224393, 0.1193581776687757]|487.7905448120935148|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[-0.1513543574035447, -1.350871500691924, 1.53718711909038, 0.7383152586474244, -0.6319723200485018, -0.0894534644337934]|346.5175401158446107|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[-0.1513543574035447, -1.350871500691924, 1.53718711909038, 0.7383152586474244, -0.6319723200485018, -0.0894534644337934]|346.5175401158446107|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[-0.1513543574035447, -1.350871500691924, 1.53718711909038, 0.7383152586474244, -0.6319723200485018, -0.0894534644337934]|346.5175401158446107|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[-0.1931539540501262, -1.774258993524438, 1.4714710750969566, 0.7418712444423772, -1.5101242802375676, 0.119145950656861]| 57.7377258655552126|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[-0.1931539540501262, -1.774258993524438, 1.4714710750969566, 0.7418712444423772, -1.5101242802375676, 0.119145950656861]| 57.7377258655552126|      1.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[-0.1931539540501262, -1.774258993524438, 1.4714710750969566, 0.7418712444423772, -1.5101242802375676, 0.119145950656861]| 57.7377258655552126|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[-0.1931539540501262, -1.774258993524438, 1.4714710750969566, 0.7418712444423772, -1.5101242802375676, 0.119145950656861]| 57.7377258655552126|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[-0.1931539540501262, -1.774258993524438, 1.4714710750969566, 0.7418712444423772, -1.5101242802375676, 0.119145950656861]| 57.7377258655552126|      0.12500000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[-0.1493423557710213, -1.7763116530171355, 1.5775571227759377, 0.756108196125055, -1.4628234744265478, 0.1217962165875903]| 45.3566613387050950|      0.25000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[-0.0927190591273596, -1.6738324320628353, 1.6664462935907074, 0.6783334255219603, -1.5868019854420559, -0.0177420961644274]| 39.4867677035460574|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[-0.0927190591273596, -1.6738324320628353, 1.6664462935907074, 0.6783334255219603, -1.5868019854420559, -0.0177420961644274]| 39.4867677035460574|      0.25000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[-0.0927190591273596, -1.6738324320628353, 1.6664462935907074, 0.6783334255219603, -1.5868019854420559, -0.0177420961644274]| 39.4867677035460574|      0.12500000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[-0.0927190591273596, -1.6738324320628353, 1.6664462935907074, 0.6783334255219603, -1.5868019854420559, -0.0177420961644274]| 39.4867677035460574|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[-0.1018613465615291, -1.6312100251370525, 1.6319355944166656, 0.6655795405779925, -1.5664778233079035, -0.0332106934900911]| 36.5883618552153891|      0.12500000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      16|[-0.1018613465615291, -1.6312100251370525, 1.6319355944166656, 0.6655795405779925, -1.5664778233079035, -0.0332106934900911]| 36.5883618552153891|      0.06250000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[-0.1018613465615291, -1.6312100251370525, 1.6319355944166656, 0.6655795405779925, -1.5664778233079035, -0.0332106934900911]| 36.5883618552153891|      0.03125000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      18|[-0.096346038934146, -1.628374589109505, 1.6541905171308706, 0.6546066807949846, -1.554102294883537, -0.0462208911709075]| 35.8819950994361960|      0.06250000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      19|[-0.0613154271018481, -1.6018786276838657, 1.6818846917423216, 0.6406529848284331, -1.5858413576069343, -0.0490544793007669]| 35.4188360331027994|      0.12500000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      20|[-0.0613154271018481, -1.6018786276838657, 1.6818846917423216, 0.6406529848284331, -1.5858413576069343, -0.0490544793007669]| 35.4188360331027994|      0.06250000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
