k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0]                                                                 | 29.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.823489754782083, 1.4233527995902686, 1.2023019746841979]                     | 10.3057413101196289|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.823489754782083, 1.4233527995902686, 1.2023019746841979]                     | 10.3057413101196289|      1.00000000|[13, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[1.8213798492592632, 1.0302606448451628, 0.2828053155404388]                    |  5.9912724494934082|      2.00000000|[19, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[1.8213798492592632, 1.0302606448451628, 0.2828053155404388]                    |  5.9912724494934082|      1.00000000|[25, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.1174808331243162, 0.4134915984215414, -0.0695043755808107]                   |  2.4194242954254150|      2.00000000|[31, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.1174808331243162, 0.4134915984215414, -0.0695043755808107]                   |  2.4194242954254150|      1.00000000|[37, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.8942620752376754, -0.5604597420665428, -0.0296023394296407]                  |  2.1212501525878906|      2.00000000|[43, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[0.8942620752376754, -0.5604597420665428, -0.0296023394296407]                  |  2.1212501525878906|      1.00000000|[49, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.0045162772236191, -0.5699004599119675, -0.4679040003819167]                 |  1.5459514856338501|      2.00000000|[55, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[-0.0045162772236191, -0.5699004599119675, -0.4679040003819167]                 |  1.5459514856338501|      1.00000000|[61, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.0045162772236191, -0.5699004599119675, -0.4679040003819167]                 |  1.5459514856338501|      0.50000000|[67, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.0163272974143621, -0.4005038826606128, 0.0020644506994689]                   |  1.1606792211532593|      1.00000000|[73, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.0163272974143621, -0.4005038826606128, 0.0020644506994689]                   |  1.1606792211532593|      0.50000000|[79, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.0163272974143621, -0.4005038826606128, 0.0020644506994689]                   |  1.1606792211532593|      0.25000000|[85, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.1075520432694913, -0.1835777499171827, -0.0077824719017053]                 |  1.0454350689603358|      0.50000000|[91, 30, 1, 31]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
