k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|5073.7863710104329584|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1227374493357224, -0.0252797330897519, 0.1420701857249608, -0.1480398289870264, 0.0487828340325838, 0.1433471308567943, 0.0372700704860779, -0.0958291461553167, 0.0249721180456077, -0.1304124001547402, 0.2190507437403843, 0.072114099251878, 0.0939283714489506, 0.1204773336550806, -0.0014365603715957, -0.1665445377796509, -0.2056003177038273, -0.0996660107216764, -0.0893573778262521, 0.1908743023667702, 0.1607055014557354, 0.0053117027360969, 0.1484962438341901, 0.0846461185975134, -0.1112347681570403, -0.0492937811618584, -0.1744233414839761, -0.0495135764177234, -0.0425774377541692, 0.0279881449599692, 0.0537335814660301, -0.14778484435573, 0.2233983504000185, 0.1022855949676593, -0.2578660312628342, 0.2039625646251991, -0.017910289656253, -0.1567424708514805, 0.0251038282551518, -0.0776201042509654, -0.08546522065883, 0.1048829848998488, 0.0143698706431614, 0.199265740351784, -0.0848027539092704, -0.2591485663523626, -0.2363559295248567, 0.188124227537028, -0.3146061057947534, 0.1931366763523456]|4607.7879770224508320|      2.00000000|[65, 0, 1, 5]                                                              |  | used linear model with 65 points | iterate success | actual_k=0
       2|[0.2981317265966378, -0.0188687798899757, 0.3248754346296868, -0.154187016998649, 0.3454310984397165, 0.1783702583890514, -0.3378422487251866, -0.0971652288866107, -0.2371445820371397, -0.0560871974590833, 0.572260304153003, 0.0612323824516421, 0.5817196539735566, 0.2971226270624345, -0.1637504560934535, -0.4970125753142588, -0.5045359079339944, -0.1662557600500014, -0.4863325737544175, 0.6579167210344683, 0.5718639110444462, 0.4788631068653475, 0.3731745027819791, 0.1542666858174572, -0.3574778910422517, 0.0739305569440733, -0.2416473675288714, -0.0008367824397485, -0.0942693897094621, -0.1441697431343481, 0.2285182851796165, 0.1546917836550228, 0.71538010223992, 0.1830920525041301, -0.8200555954818947, 0.3783050168950177, -0.2158146550573872, -0.1042315864705302, -0.1121933126575209, 0.2050336784202022, 0.0178688851202115, 0.4845734549158219, 0.3122029956474084, 0.5997986061363523, -0.0743115115273632, -0.7565945573843933, -0.49426010332769, 0.4237156764724138, -0.8350926512609165, 0.6013498737891181]|3832.7887314142690229|      4.00000000|[130, 0, 2, 10]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       3|[0.8163950855645479, -0.2485006648737116, 0.4286560268297496, -0.860264866237394, 0.9039674844217216, 0.4107859604269634, -0.7771398042659216, 0.1764963140792479, -0.3736179522316621, -0.4706003444634792, 1.1858374995812906, 0.5413746579091654, 1.3725766890165194, 0.6653795067117897, -0.3295368312837261, -1.1918547538725022, -1.9386731607329628, 0.29273407917827, -0.8431535274521602, 1.7882693734065975, 1.9623717529151796, 0.3250703070171763, 0.3124192074974222, 0.3044297987943058, -0.8731604134411118, 0.5132509699948985, 0.0935943235297693, 1.094196108264278, 0.1155912985622907, -0.7165741007146531, 0.6008616051000298, 0.1303139517020448, 1.6706097344901547, 0.5078227265111415, -1.5443444243573268, 0.6500321890849482, -0.2690767947819225, -0.1502111253109195, -0.3695647643490504, 0.0075604104052246, 0.1238107497430331, 0.9756919157344512, 0.406418806917848, 1.6127630709592307, 0.0717621379728825, -0.7194889252140418, -0.9783245470339511, 0.2551662567184276, -1.6475021221380048, 1.3564178687751334]|3004.6193617439926129|      8.00000000|[195, 0, 3, 15]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       4|[0.8341039130895797, -0.2613521683764557, 2.160797999426897, -1.6213203900661197, 0.5733233618693279, 2.3793801866912307, -0.3208866155230138, 1.7346996447944012, -0.3339996065860769, -0.6099369683410433, 0.6418667322522844, 0.7111285091685318, 0.0402442153563209, 0.5974142364580836, 0.0795489341312182, -0.3962378844012918, -1.9808287801760276, -1.5958231512528627, -2.065402464600714, 2.4428905493540998, 2.3571424373719037, 1.809404896670284, 2.113172900958198, 0.2467023705869152, -2.0920607210671, 0.2922485209490033, 1.1217256424376918, 3.182515097406184, 0.6268789942960422, -1.3345839136983466, 0.0691715576616974, -0.8170463173691528, 3.4163605795508576, 2.1519919024577474, -4.434019295863951, 1.0594602707977325, -1.3154519793239237, -0.4166900983705071, -0.8969234669069334, 1.6645502569166468, -0.3561392621535754, 1.5732608572802915, -0.8080102577637822, 2.545307622701567, -1.1505032363334666, -1.6238390441589385, -3.008362614831577, 1.4908506857619679, -2.927059526075991, 1.239033365496379]|2589.6854761297731784|     16.00000000|[260, 0, 4, 20]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       5|[0.8341039130895797, -0.2613521683764557, 2.160797999426897, -1.6213203900661197, 0.5733233618693279, 2.3793801866912307, -0.3208866155230138, 1.7346996447944012, -0.3339996065860769, -0.6099369683410433, 0.6418667322522844, 0.7111285091685318, 0.0402442153563209, 0.5974142364580836, 0.0795489341312182, -0.3962378844012918, -1.9808287801760276, -1.5958231512528627, -2.065402464600714, 2.4428905493540998, 2.3571424373719037, 1.809404896670284, 2.113172900958198, 0.2467023705869152, -2.0920607210671, 0.2922485209490033, 1.1217256424376918, 3.182515097406184, 0.6268789942960422, -1.3345839136983466, 0.0691715576616974, -0.8170463173691528, 3.4163605795508576, 2.1519919024577474, -4.434019295863951, 1.0594602707977325, -1.3154519793239237, -0.4166900983705071, -0.8969234669069334, 1.6645502569166468, -0.3561392621535754, 1.5732608572802915, -0.8080102577637822, 2.545307622701567, -1.1505032363334666, -1.6238390441589385, -3.008362614831577, 1.4908506857619679, -2.927059526075991, 1.239033365496379]|2589.6854761297731784|      8.00000000|[325, 0, 5, 25]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       6|[0.932200258071255, -1.0377219113905292, 2.3351020957391206, -2.35578913709771, -0.0036535779406658, 4.448889084227406, 0.3662965168997313, 2.083457251232267, -0.1493831643288268, -0.4958659478531345, 3.1055073303875744, 1.4543356697007739, 1.5493613246299383, 0.1845067427224992, 0.250549563115258, -2.897321311703377, -2.507952666630554, -1.3192567205338328, -3.416299832056736, 3.350863414605979, 3.8559643618214237, 3.5497390694932562, 2.4802071520685245, 2.07114794948877, -1.7551394135598883, 1.3197894594169388, 0.865366893512618, 3.207464654887795, 1.303656103320818, -0.2364626845467963, 1.5937046391190006, -1.6054431472243895, 2.4929083978060254, 3.199756789383697, -3.667357494870104, 0.7684436035441953, -1.6388920431137635, 0.1434612308374051, -1.0898721434932315, 2.1174857618638043, 0.0115787374161953, 1.794414590064293, -0.1896448556571515, 1.176613663300919, 0.0119509850925632, 1.5235928306425497, -2.259412023538336, -1.0123528720952233, -3.764510702565691, 1.5699186383561918]|2455.8872252039955129|     16.00000000|[390, 0, 6, 30]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       7|[0.932200258071255, -1.0377219113905292, 2.3351020957391206, -2.35578913709771, -0.0036535779406658, 4.448889084227406, 0.3662965168997313, 2.083457251232267, -0.1493831643288268, -0.4958659478531345, 3.1055073303875744, 1.4543356697007739, 1.5493613246299383, 0.1845067427224992, 0.250549563115258, -2.897321311703377, -2.507952666630554, -1.3192567205338328, -3.416299832056736, 3.350863414605979, 3.8559643618214237, 3.5497390694932562, 2.4802071520685245, 2.07114794948877, -1.7551394135598883, 1.3197894594169388, 0.865366893512618, 3.207464654887795, 1.303656103320818, -0.2364626845467963, 1.5937046391190006, -1.6054431472243895, 2.4929083978060254, 3.199756789383697, -3.667357494870104, 0.7684436035441953, -1.6388920431137635, 0.1434612308374051, -1.0898721434932315, 2.1174857618638043, 0.0115787374161953, 1.794414590064293, -0.1896448556571515, 1.176613663300919, 0.0119509850925632, 1.5235928306425497, -2.259412023538336, -1.0123528720952233, -3.764510702565691, 1.5699186383561918]|2455.8872252039955129|      8.00000000|[455, 0, 7, 35]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       8|[1.7752776020164682, -2.9801379940134756, 1.318064519033907, -2.329108784110407, -0.0769000294651708, 4.4519395882186314, 0.2256601743983619, 3.1998340905541776, 0.27386992738375, -1.2797477539250086, 1.2843968936978718, 1.1364910364612835, 0.1066758691975849, -0.0052100441705468, -0.9389828733825191, -1.9723909589457223, -2.2717643220036425, -0.9256878121118277, -4.395803458846444, 1.861258586498328, 4.437139167878486, 3.4237574095594345, 1.8462414743007127, 4.378258644719945, -2.7665384297687092, 1.4133709893641966, 0.5998302249147398, 4.598809535586712, 0.8327435036248868, -0.3410208098645378, 1.866060453692597, -1.015502669881636, 2.2689923473588434, 3.24069852984488, -3.0830187153702506, 0.5120489420228126, -1.5894504762993127, 0.9027967152839652, -1.521118408238446, 3.6453641206748864, 0.8340471766221376, 2.3756536549203062, -1.9258647765982757, 2.8738936058699656, -2.5994705117065013, -0.6391046475475233, -5.388951953473725, 0.3804372957164659, -2.562742946982028, 2.124616524644208]|2134.4350373727825172|     16.00000000|[520, 0, 8, 40]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       9|[1.7752776020164682, -2.9801379940134756, 1.318064519033907, -2.329108784110407, -0.0769000294651708, 4.4519395882186314, 0.2256601743983619, 3.1998340905541776, 0.27386992738375, -1.2797477539250086, 1.2843968936978718, 1.1364910364612835, 0.1066758691975849, -0.0052100441705468, -0.9389828733825191, -1.9723909589457223, -2.2717643220036425, -0.9256878121118277, -4.395803458846444, 1.861258586498328, 4.437139167878486, 3.4237574095594345, 1.8462414743007127, 4.378258644719945, -2.7665384297687092, 1.4133709893641966, 0.5998302249147398, 4.598809535586712, 0.8327435036248868, -0.3410208098645378, 1.866060453692597, -1.015502669881636, 2.2689923473588434, 3.24069852984488, -3.0830187153702506, 0.5120489420228126, -1.5894504762993127, 0.9027967152839652, -1.521118408238446, 3.6453641206748864, 0.8340471766221376, 2.3756536549203062, -1.9258647765982757, 2.8738936058699656, -2.5994705117065013, -0.6391046475475233, -5.388951953473725, 0.3804372957164659, -2.562742946982028, 2.124616524644208]|2134.4350373727825172|      8.00000000|[585, 0, 9, 45]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
      10|[1.7752776020164682, -2.9801379940134756, 1.318064519033907, -2.329108784110407, -0.0769000294651708, 4.4519395882186314, 0.2256601743983619, 3.1998340905541776, 0.27386992738375, -1.2797477539250086, 1.2843968936978718, 1.1364910364612835, 0.1066758691975849, -0.0052100441705468, -0.9389828733825191, -1.9723909589457223, -2.2717643220036425, -0.9256878121118277, -4.395803458846444, 1.861258586498328, 4.437139167878486, 3.4237574095594345, 1.8462414743007127, 4.378258644719945, -2.7665384297687092, 1.4133709893641966, 0.5998302249147398, 4.598809535586712, 0.8327435036248868, -0.3410208098645378, 1.866060453692597, -1.015502669881636, 2.2689923473588434, 3.24069852984488, -3.0830187153702506, 0.5120489420228126, -1.5894504762993127, 0.9027967152839652, -1.521118408238446, 3.6453641206748864, 0.8340471766221376, 2.3756536549203062, -1.9258647765982757, 2.8738936058699656, -2.5994705117065013, -0.6391046475475233, -5.388951953473725, 0.3804372957164659, -2.562742946982028, 2.124616524644208]|2134.4350373727825172|      4.00000000|[650, 0, 10, 50]                                                           |  | used linear model with 65 points | iterate failure | actual_k=0
      11|[1.7467571182596284, -2.788986000802425, 2.1650900877953876, -2.8194047015151025, -0.0117959916331016, 5.342781150928202, 0.0219785566903744, 3.1580980971114276, 0.4830249515408885, -0.7882318239453693, 2.0754498438722266, 0.5804054406978492, 0.7199778423798967, 0.5617455456440152, -0.2374804601252231, -3.12473919581511, -2.3582710623159433, -0.3429360514532818, -4.824944173831706, 1.4248595703116287, 4.581278429508747, 2.8630069769567124, 2.6854676443126864, 5.20769931704389, -2.408373208971612, 1.4278081931843918, 0.961449336363768, 5.1998598987122495, 0.5425577401720589, -0.1597207851698271, 1.6837582374918032, -0.936662407008668, 2.3299578108297068, 3.0534906562853625, -3.025977095122594, 0.7048307312959945, -1.2473491424039964, 0.4489971481147352, -1.848230573803778, 4.553666451419995, 0.720380047658945, 2.975012201734124, -2.687085249809628, 1.7381448959230577, -1.8601867609866556, 0.8592547792839433, -4.937738988825747, 0.867308307151311, -3.1122534238680895, 1.8251566867473545]|1801.3452316736422745|      8.00000000|[715, 0, 11, 55]                                                           |  | used linear model with 65 points | iterate success | actual_k=0
