k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      |  1.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0]                                                                      |  1.0000000000000000|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.3521342956459894, 0.3549668122936325]                                        |  0.1167967004683414|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[0.3521342956459894, 0.3549668122936325]                                        |  0.1167967004683414|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.5287402323390303, 0.8227384907060536]                                        |  0.0009539557878954|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[0.5287402323390303, 0.8227384907060536]                                        |  0.0009539557878954|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.5287402323390303, 0.8227384907060536]                                        |  0.0009539557878954|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.5287402323390303, 0.8227384907060536]                                        |  0.0009539557878954|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.5287402323390303, 0.8227384907060536]                                        |  0.0009539557878954|      0.06250000|[40, 0, 7, 15]                                                             |  | used linear model with 5 points | actual_k=0
       9|[0.5739705786457429, 0.7796053738122461]                                        |  0.0000871524126503|      0.12500000|[44, 0, 8, 17]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[0.5739705786457429, 0.7796053738122461]                                        |  0.0000871524126503|      0.06250000|[49, 0, 8, 18]                                                             |  | used linear model with 5 points | actual_k=0
      11|[0.5739705786457429, 0.7796053738122461]                                        |  0.0000871524126503|      0.03125000|[53, 0, 8, 19]                                                             |  | used linear model with 5 points | actual_k=0
      12|[0.5739705786457429, 0.7796053738122461]                                        |  0.0000871524126503|      0.01562500|[57, 0, 8, 20]                                                             |  | used linear model with 5 points | actual_k=0
