k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.906117652330758, 89.98724399393151, 1499.967317033273, 10.607058420627107]   |24450.5207951509764825|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.906117652330758, 89.98724399393151, 1499.967317033273, 10.607058420627107]   |24450.5207951509764825|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.9843396081991638, 90.05395197714257, 1499.7710145568797, 11.58219774829155]  |19562.0119805263675516|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[1.9843396081991638, 90.05395197714257, 1499.7710145568797, 11.58219774829155]  |19562.0119805263675516|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[2.304623928834621, 89.44562837273406, 1500.0196151792718, 12.264515912215685]  |15368.3709094296318654|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[2.304623928834621, 89.44562837273406, 1500.0196151792718, 12.264515912215685]  |15368.3709094296318654|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.4763353679117177, 89.16428430846194, 1499.9757676445183, 13.207616168225062] |11546.4860695894822129|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[2.4763353679117177, 89.16428430846194, 1499.9757676445183, 13.207616168225062] |11546.4860695894822129|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.4763353679117177, 89.16428430846194, 1499.9757676445183, 13.207616168225062] |11546.4860695894822129|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[2.8200404707614966, 89.17254105948193, 1499.9993259157463, 13.569891803887138] |11120.3087147013502545|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[2.8200404707614966, 89.17254105948193, 1499.9993259157463, 13.569891803887138] |11120.3087147013502545|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[2.4220297351647, 89.21390395346603, 1499.8490305396542, 13.829290850293054]    |9689.5650853338956949|      1.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[2.409485425860551, 89.12290036912457, 1499.877240786246, 14.82466272548761]    |7205.5831416928067483|      2.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[2.409485425860551, 89.12290036912457, 1499.877240786246, 14.82466272548761]    |7205.5831416928067483|      1.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[2.409485425860551, 89.12290036912457, 1499.877240786246, 14.82466272548761]    |7205.5831416928067483|      0.50000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[2.8266143289025387, 88.98392957175732, 1499.8900621795708, 15.06241513367585]  |6648.6632131320984627|      1.00000000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      17|[2.8266143289025387, 88.98392957175732, 1499.8900621795708, 15.06241513367585]  |6648.6632131320984627|      0.50000000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[2.8266143289025387, 88.98392957175732, 1499.8900621795708, 15.06241513367585]  |6648.6632131320984627|      0.25000000|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      19|[2.8266143289025387, 88.98392957175732, 1499.8900621795708, 15.06241513367585]  |6648.6632131320984627|      0.12500000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      20|[2.7735596122944726, 88.91176795248043, 1499.8258575122325, 15.12141223903658]  |6315.2762157682236648|      0.25000000|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
