k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |105126.8339513395767426|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9286389668969925, 1.6620676744898542, 2.865077432818381, 1.6362000803214274] |97004.3160444718523649|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.9286389668969925, 1.6620676744898542, 2.865077432818381, 1.6362000803214274] |97004.3160444718523649|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.9286389668969925, 1.6620676744898542, 2.865077432818381, 1.6362000803214274] |97004.3160444718523649|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[2.031779941072791, 1.9623137308685101, 3.103651655906672, 1.940003610835723]   |93716.3679711319273338|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[2.031779941072791, 1.9623137308685101, 3.103651655906672, 1.940003610835723]   |93716.3679711319273338|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[2.0547782565960775, 2.3988436578425616, 2.8887696063178203, 1.827139067671739] |88387.9391304979071720|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[2.8709840962503126, 2.702031991039649, 2.9376817688040404, 1.3377593967735508] |81685.3652023324830225|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[2.8709840962503126, 2.702031991039649, 2.9376817688040404, 1.3377593967735508] |81685.3652023324830225|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.8709840962503126, 2.702031991039649, 2.9376817688040404, 1.3377593967735508] |81685.3652023324830225|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[3.205968188539338, 2.7935619954639463, 3.2160148044903476, 1.5656598957836028] |73391.5847410614369437|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[3.205968188539338, 2.7935619954639463, 3.2160148044903476, 1.5656598957836028] |73391.5847410614369437|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[3.2756794839448737, 3.1978204598743316, 2.9498731668106206, 1.6699865843086021]|65730.4375136123708216|      1.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[3.314321155195107, 3.9949888482235174, 3.4310304508949367, 1.307333789155504]  |53290.4532436963199871|      2.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[3.314321155195107, 3.9949888482235174, 3.4310304508949367, 1.307333789155504]  |53290.4532436963199871|      1.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[3.314321155195107, 3.9949888482235174, 3.4310304508949367, 1.307333789155504]  |53290.4532436963199871|      0.50000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[3.314321155195107, 3.9949888482235174, 3.4310304508949367, 1.307333789155504]  |53290.4532436963199871|      0.25000000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      17|[3.456449573127615, 4.156921923038887, 3.308756262985735, 1.3408929170939285]   |46603.8958700722723734|      0.50000000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      18|[3.456449573127615, 4.156921923038887, 3.308756262985735, 1.3408929170939285]   |46603.8958700722723734|      0.25000000|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      19|[3.5162292624389324, 4.304409008413354, 3.1326448889612473, 1.4193705083719093] |45261.0832231891108677|      0.50000000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      20|[3.5162292624389324, 4.304409008413354, 3.1326448889612473, 1.4193705083719093] |45261.0832231891108677|      0.25000000|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
