k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.620100587438733, -0.4876118823992737, 0.226455837174294, -0.1595398591359731, -0.5223975491295212, -0.2354351818996798, -0.1314779953542595]|47802.6995885960059240|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[10.620100587438733, -0.4876118823992737, 0.226455837174294, -0.1595398591359731, -0.5223975491295212, -0.2354351818996798, -0.1314779953542595]|47802.6995885960059240|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[10.567143585001885, 0.169699924444941, 0.4411756292151333, -0.6032452287930491, -0.1860068503183737, 0.1857293302993368, -0.3092965875684202]|43326.3781005814307719|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[10.567143585001885, 0.169699924444941, 0.4411756292151333, -0.6032452287930491, -0.1860068503183737, 0.1857293302993368, -0.3092965875684202]|43326.3781005814307719|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[10.567143585001885, 0.169699924444941, 0.4411756292151333, -0.6032452287930491, -0.1860068503183737, 0.1857293302993368, -0.3092965875684202]|43326.3781005814307719|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[10.567143585001885, 0.169699924444941, 0.4411756292151333, -0.6032452287930491, -0.1860068503183737, 0.1857293302993368, -0.3092965875684202]|43326.3781005814307719|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[10.56915644452618, 0.1319354904406901, 0.4426729294719278, -0.6636814918729053, -0.1857690324884926, 0.1521332926772321, -0.0720493287506809]|13833.6185621187978541|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[10.56915644452618, 0.1319354904406901, 0.4426729294719278, -0.6636814918729053, -0.1857690324884926, 0.1521332926772321, -0.0720493287506809]|13833.6185621187978541|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[10.56915644452618, 0.1319354904406901, 0.4426729294719278, -0.6636814918729053, -0.1857690324884926, 0.1521332926772321, -0.0720493287506809]|13833.6185621187978541|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[10.56915644452618, 0.1319354904406901, 0.4426729294719278, -0.6636814918729053, -0.1857690324884926, 0.1521332926772321, -0.0720493287506809]|13833.6185621187978541|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[10.56915644452618, 0.1319354904406901, 0.4426729294719278, -0.6636814918729053, -0.1857690324884926, 0.1521332926772321, -0.0720493287506809]|13833.6185621187978541|      0.03125000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[10.568603413558302, 0.1318124931498185, 0.4429801035605678, -0.6669994953845273, -0.1862316138803704, 0.1515691852416026, -0.0409912247124738]|10722.7842351179588150|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[10.568603413558302, 0.1318124931498185, 0.4429801035605678, -0.6669994953845273, -0.1862316138803704, 0.1515691852416026, -0.0409912247124738]|10722.7842351179588150|      0.03125000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[10.568603413558302, 0.1318124931498185, 0.4429801035605678, -0.6669994953845273, -0.1862316138803704, 0.1515691852416026, -0.0409912247124738]|10722.7842351179588150|      0.01562500|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[10.568603413558302, 0.1318124931498185, 0.4429801035605678, -0.6669994953845273, -0.1862316138803704, 0.1515691852416026, -0.0409912247124738]|10722.7842351179588150|      0.00781250|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[10.568769581788755, 0.1317770270861993, 0.4428085563616861, -0.6666032096102675, -0.1867894449773462, 0.1516461471210731, -0.0487695739594252]|8785.8737185208537994|      0.01562500|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[10.568769581788755, 0.1317770270861993, 0.4428085563616861, -0.6666032096102675, -0.1867894449773462, 0.1516461471210731, -0.0487695739594252]|8785.8737185208537994|      0.00781250|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[10.568769581788755, 0.1317770270861993, 0.4428085563616861, -0.6666032096102675, -0.1867894449773462, 0.1516461471210731, -0.0487695739594252]|8785.8737185208537994|      0.00390625|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[10.568769581788755, 0.1317770270861993, 0.4428085563616861, -0.6666032096102675, -0.1867894449773462, 0.1516461471210731, -0.0487695739594252]|8785.8737185208537994|      0.00195312|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[10.569246913829062, 0.131544166468942, 0.4432297200462054, -0.6673077011116652, -0.1870870054190042, 0.1500110039610004, -0.0484585999624732]|8775.4745495449260488|      0.00390625|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[10.569246913829062, 0.131544166468942, 0.4432297200462054, -0.6673077011116652, -0.1870870054190042, 0.1500110039610004, -0.0484585999624732]|8775.4745495449260488|      0.00195312|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[10.569246913829062, 0.131544166468942, 0.4432297200462054, -0.6673077011116652, -0.1870870054190042, 0.1500110039610004, -0.0484585999624732]|8775.4745495449260488|      0.00097656|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[10.569151436047804, 0.1314560398472437, 0.4430215607221551, -0.6672303545198969, -0.1872439526970114, 0.149700192578948, -0.0493339530600891]|8767.4448106127074425|      0.00195312|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[10.569151436047804, 0.1314560398472437, 0.4430215607221551, -0.6672303545198969, -0.1872439526970114, 0.149700192578948, -0.0493339530600891]|8767.4448106127074425|      0.00097656|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[10.569348208240175, 0.1316337412300296, 0.4434792657934316, -0.6674915851845832, -0.1875774027546571, 0.1493873931120792, -0.0487041837377099]|8764.4118283488860470|      0.00195312|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[10.569348208240175, 0.1316337412300296, 0.4434792657934316, -0.6674915851845832, -0.1875774027546571, 0.1493873931120792, -0.0487041837377099]|8764.4118283488860470|      0.00097656|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[10.569467051437487, 0.1315042738417717, 0.443485585843191, -0.6673711372197314, -0.1874195693170714, 0.1488212807253498, -0.0494544147171704]|8760.8206912418736465|      0.00195312|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[10.569467051437487, 0.1315042738417717, 0.443485585843191, -0.6673711372197314, -0.1874195693170714, 0.1488212807253498, -0.0494544147171704]|8760.8206912418736465|      0.00097656|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
