k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[8, 3, 1, 4]                                                               |  | used linear model with 11 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.25000000|[17, 5, 2, 8]                                                              |  | used linear model with 11 points | iterate failure | actual_k=1
       3|[0.0195726173580705, -0.0355330319008461, 0.005470081667041, -0.0377628879314402, 0.2257322273824237, -0.0723549723062064, 0.0549704545036727, 0.0089394240692161, 0.0103157223610201]|346995.5488796578138135|      0.50000000|[25, 8, 3, 12]                                                             |  | used linear model with 11 points | iterate success | actual_k=1
       4|[-0.1661538382200115, -0.0289590315519558, -0.0786789553533431, 0.0402202093147561, 0.5761033238646394, -0.0745273068787206, -0.016256485094257, 0.0191832877434059, 0.2830008968299309]|40840.0144693269103300|      1.00000000|[33, 11, 4, 16]                                                            |  | used linear model with 11 points | iterate success | actual_k=1
       5|[-0.1661538382200115, -0.0289590315519558, -0.0786789553533431, 0.0402202093147561, 0.5761033238646394, -0.0745273068787206, -0.016256485094257, 0.0191832877434059, 0.2830008968299309]|40840.0144693269103300|      0.50000000|[42, 13, 5, 20]                                                            |  | used linear model with 11 points | iterate failure | actual_k=1
       6|[-0.1661538382200115, -0.0289590315519558, -0.0786789553533431, 0.0402202093147561, 0.5761033238646394, -0.0745273068787206, -0.016256485094257, 0.0191832877434059, 0.2830008968299309]|40840.0144693269103300|      0.25000000|[50, 16, 6, 24]                                                            |  | used linear model with 11 points | iterate failure | actual_k=1
       7|[-0.1661538382200115, -0.0289590315519558, -0.0786789553533431, 0.0402202093147561, 0.5761033238646394, -0.0745273068787206, -0.016256485094257, 0.0191832877434059, 0.2830008968299309]|40840.0144693269103300|      0.12500000|[59, 18, 7, 28]                                                            |  | used linear model with 11 points | iterate failure | actual_k=1
       8|[-0.1693702170578042, -0.0665006126210177, -0.0593075589115369, -0.0412512505848379, 0.6175934531924774, -0.0603741045513171, -0.0117225461016843, 0.0095209736051833, 0.2111902156280731]|30591.3484624982156674|      0.25000000|[68, 20, 8, 32]                                                            |  | used linear model with 11 points | iterate success | actual_k=1
       9|[-0.1693702170578042, -0.0665006126210177, -0.0593075589115369, -0.0412512505848379, 0.6175934531924774, -0.0603741045513171, -0.0117225461016843, 0.0095209736051833, 0.2111902156280731]|30591.3484624982156674|      0.12500000|[76, 23, 9, 36]                                                            |  | used linear model with 11 points | iterate failure | actual_k=1
      10|[-0.1425728875164542, -0.0272206691096792, -0.1172018075508963, 0.0278053135301744, 0.6388277472564087, -0.00347167926519, -0.0287012918430549, 0.0359692292288914, 0.187381250636128]|17958.5518847158309654|      0.25000000|[85, 25, 10, 40]                                                           |  | used linear model with 11 points | iterate success | actual_k=1
      11|[-0.1425728875164542, -0.0272206691096792, -0.1172018075508963, 0.0278053135301744, 0.6388277472564087, -0.00347167926519, -0.0287012918430549, 0.0359692292288914, 0.187381250636128]|17958.5518847158309654|      0.12500000|[93, 28, 11, 44]                                                           |  | used linear model with 11 points | iterate failure | actual_k=1
      12|[-0.1425728875164542, -0.0272206691096792, -0.1172018075508963, 0.0278053135301744, 0.6388277472564087, -0.00347167926519, -0.0287012918430549, 0.0359692292288914, 0.187381250636128]|17958.5518847158309654|      0.06250000|[102, 30, 12, 48]                                                          |  | used linear model with 11 points | iterate failure | actual_k=1
      13|[-0.1271505447988574, -0.0262653760260537, -0.1072437689343954, -0.0245103056954209, 0.6614008807623666, -0.0077147205657776, -0.0455503201410261, 0.0400610013482723, 0.1855867861586034]|14244.0310193356599484|      0.12500000|[110, 33, 13, 52]                                                          |  | used linear model with 11 points | iterate success | actual_k=1
      14|[-0.1271505447988574, -0.0262653760260537, -0.1072437689343954, -0.0245103056954209, 0.6614008807623666, -0.0077147205657776, -0.0455503201410261, 0.0400610013482723, 0.1855867861586034]|14244.0310193356599484|      0.06250000|[118, 36, 14, 56]                                                          |  | used linear model with 11 points | iterate failure | actual_k=1
      15|[-0.1449743966260828, -0.0425516105288298, -0.1182220461072068, 0.0007314760800329, 0.6794796388290213, 0.0099645837769037, -0.0064214936183433, 0.0591595616462137, 0.180070502164019]|10534.7598634256901278|      0.12500000|[127, 38, 15, 60]                                                          |  | used linear model with 11 points | iterate success | actual_k=1
      16|[-0.1713651012674589, -0.0624494172395445, -0.1443659583409095, 0.014375243043152, 0.765188845167633, -0.0167042212908281, -0.0346638985534554, 0.1193883965227638, 0.2144290858188534]|3729.8480739564156465|      0.25000000|[136, 40, 16, 64]                                                          |  | used linear model with 11 points | iterate success | actual_k=1
      17|[-0.1713651012674589, -0.0624494172395445, -0.1443659583409095, 0.014375243043152, 0.765188845167633, -0.0167042212908281, -0.0346638985534554, 0.1193883965227638, 0.2144290858188534]|3729.8480739564156465|      0.12500000|[144, 43, 17, 68]                                                          |  | used linear model with 11 points | iterate failure | actual_k=1
      18|[-0.1713651012674589, -0.0624494172395445, -0.1443659583409095, 0.014375243043152, 0.765188845167633, -0.0167042212908281, -0.0346638985534554, 0.1193883965227638, 0.2144290858188534]|3729.8480739564156465|      0.06250000|[152, 46, 18, 72]                                                          |  | used linear model with 11 points | iterate failure | actual_k=1
      19|[-0.1579530869036832, -0.0516786604918255, -0.1550586827186728, -0.0240191448590566, 0.808897161106235, -0.0097705119937511, -0.0379283215733468, 0.1215377057189083, 0.2074917881962337]|2712.3099492310507230|      0.12500000|[160, 49, 19, 76]                                                          |  | used linear model with 11 points | iterate success | actual_k=1
      20|[-0.1579530869036832, -0.0516786604918255, -0.1550586827186728, -0.0240191448590566, 0.808897161106235, -0.0097705119937511, -0.0379283215733468, 0.1215377057189083, 0.2074917881962337]|2712.3099492310507230|      0.06250000|[169, 51, 20, 80]                                                          |  | used linear model with 11 points | iterate failure | actual_k=1
      21|[-0.1579530869036832, -0.0516786604918255, -0.1550586827186728, -0.0240191448590566, 0.808897161106235, -0.0097705119937511, -0.0379283215733468, 0.1215377057189083, 0.2074917881962337]|2712.3099492310507230|      0.03125000|[178, 53, 21, 84]                                                          |  | used linear model with 11 points | iterate failure | actual_k=1
