k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.50000000|[4734, 316, 1, 80]                                                         |  | used quadratic model with 5050 points | iterate failure | actual_k=4
       2|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.25000000|[9469, 631, 2, 160]                                                        |  | used quadratic model with 5050 points | iterate failure | actual_k=4
       3|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.12500000|[14204, 946, 3, 240]                                                       |  | used quadratic model with 5050 points | iterate failure | actual_k=4
       4|[1.0215400678, 0.02, 1.8879065341, 0.0128719128, 0.02, 2.0015540313, 0.4292206739, 0.02, 2.1186983746, 0.8009548574, 0.02, 2.1624089505, 0.2202801749, 0.02, 2.2192326991, 2.6915110182, 0.02, 2.2813017168, 0.8064571417, 0.02, 2.3905781564, 2.2686398843, 0.02, 2.4884898463, 14.352901162, 0.02, 2.5593009792, 12.161699758, 0.02, 2.7070427255, 0.276676662, 0.02, 2.9404572006, 0.2434602195, 0.02, 2.9666835461, 1.1650863975, 0.02, 3.1292868882, 0.1774572413, 0.02, 3.2263243666, 0.1153950601, 0.02, 3.2551733467, 3.7470242328, 0.02, 3.3801855936, 0.833501062, 0.02, 3.6695496057, 0.1588345259, 0.02, 3.7220022967, 0.3867741611, 0.02, 3.8312787364, 0.9231772721, 0.02, 3.9589136178, 0.2596415821, 0.02, 4.0524542502, 2.0709635713, 0.02, 4.1748438625, 1.944950803, 0.02, 4.430987837, 1.4841998492, 0.02, 4.55949693, 0.4816362663, 0.02, 4.6014590828, 0.4934043524, 0.02, 4.7046160418, 0.3289805969, 0.02, 4.8007793087, 0.8399929759, 0.02, 4.96862792, 0.4600450055, 0.02, 5.3952431402, 0.4909424311, 0.02, 5.4188468512, 0.9861479337, 0.02, 2.5864015362, -0.017883084, 0.02, 3.8618761395, 0.2654081509, 0.02, 5.1985455489]|4028942.9527573422528803|      0.06250000|[18938, 1262, 4, 320]                                                      |  | used quadratic model with 5050 points | iterate failure | actual_k=4
       5|[1.0192676783618584, 0.0203849004460502, 1.88820221510955, 0.0136769776335289, 0.0181340956228364, 2.0001676347547153, 0.4288496820041074, 0.0202481316329973, 2.1182378363259566, 0.8005574834740192, 0.022508832971899, 2.162910569765986, 0.2186990339329653, 0.0182246815268817, 2.2192294586722805, 2.6912527177863135, 0.0221811468236526, 2.281641688802291, 0.8055487318003004, 0.0220779572445855, 2.3889829899359425, 2.266814662037869, 0.0200644105578269, 2.4850352725245535, 14.352482272471415, 0.0717792105814754, 2.5603344492915476, 12.159797429508961, 0.0509313064392094, 2.706336346486462, 0.2800526636749898, 0.0192302487787413, 2.93921812191657, 0.243206475837, 0.0224043701860779, 2.9673705576335276, 1.1662934636286484, 0.0213969147654299, 3.130217668527116, 0.179594781668082, 0.0204176759604102, 3.2258359347149033, 0.1125948596708785, 0.020410800932963, 3.254363971820869, 3.7486911798130746, 0.0256118867825772, 3.3774688143668548, 0.8312397284449229, 0.020460478814059, 3.6667933389614, 0.1575089284857309, 0.0208026193737582, 3.722523709477232, 0.3861935676175586, 0.0184788408539103, 3.830497989925507, 0.9223483113239379, 0.023834116270668, 3.95595207526895, 0.2589235289046381, 0.0175865565169229, 4.054178743409729, 2.0729081060381414, 0.0205489241238802, 4.173976901817748, 1.9451066250522853, 0.0219909514138694, 4.43148970774691, 1.4825987852520066, 0.0205576111893825, 4.561628361679343, 0.4815139531440836, 0.01709971406232, 4.602022397398858, 0.4908792349128586, 0.02252386471171, 4.702868183830728, 0.3268915871927413, 0.0194188526434496, 4.7994108084364555, 0.8384938342526203, 0.0203129735275689, 4.968100289429612, 0.4601392141214286, 0.0204148204491319, 5.395087405996722, 0.4911457490603247, 0.0180613019678381, 5.417483189914341, 0.9871261308304036, 0.0228302750371899, 2.5858728574858256, -0.0183222316792522, 0.0184461733924895, 3.860646613986647, 0.2680048872391137, 0.0211851762451623, 5.197287804769002]|2107422.3048267192207277|      0.12500000|[23672, 1578, 5, 400]                                                      |  | used quadratic model with 5050 points | iterate success | actual_k=4
       6|[1.0192676783618584, 0.0203849004460502, 1.88820221510955, 0.0136769776335289, 0.0181340956228364, 2.0001676347547153, 0.4288496820041074, 0.0202481316329973, 2.1182378363259566, 0.8005574834740192, 0.022508832971899, 2.162910569765986, 0.2186990339329653, 0.0182246815268817, 2.2192294586722805, 2.6912527177863135, 0.0221811468236526, 2.281641688802291, 0.8055487318003004, 0.0220779572445855, 2.3889829899359425, 2.266814662037869, 0.0200644105578269, 2.4850352725245535, 14.352482272471415, 0.0717792105814754, 2.5603344492915476, 12.159797429508961, 0.0509313064392094, 2.706336346486462, 0.2800526636749898, 0.0192302487787413, 2.93921812191657, 0.243206475837, 0.0224043701860779, 2.9673705576335276, 1.1662934636286484, 0.0213969147654299, 3.130217668527116, 0.179594781668082, 0.0204176759604102, 3.2258359347149033, 0.1125948596708785, 0.020410800932963, 3.254363971820869, 3.7486911798130746, 0.0256118867825772, 3.3774688143668548, 0.8312397284449229, 0.020460478814059, 3.6667933389614, 0.1575089284857309, 0.0208026193737582, 3.722523709477232, 0.3861935676175586, 0.0184788408539103, 3.830497989925507, 0.9223483113239379, 0.023834116270668, 3.95595207526895, 0.2589235289046381, 0.0175865565169229, 4.054178743409729, 2.0729081060381414, 0.0205489241238802, 4.173976901817748, 1.9451066250522853, 0.0219909514138694, 4.43148970774691, 1.4825987852520066, 0.0205576111893825, 4.561628361679343, 0.4815139531440836, 0.01709971406232, 4.602022397398858, 0.4908792349128586, 0.02252386471171, 4.702868183830728, 0.3268915871927413, 0.0194188526434496, 4.7994108084364555, 0.8384938342526203, 0.0203129735275689, 4.968100289429612, 0.4601392141214286, 0.0204148204491319, 5.395087405996722, 0.4911457490603247, 0.0180613019678381, 5.417483189914341, 0.9871261308304036, 0.0228302750371899, 2.5858728574858256, -0.0183222316792522, 0.0184461733924895, 3.860646613986647, 0.2680048872391137, 0.0211851762451623, 5.197287804769002]|2107422.3048267192207277|      0.06250000|[28407, 1893, 6, 480]                                                      |  | used quadratic model with 5050 points | iterate failure | actual_k=4
       7|[1.0194930399504842, 0.0218493868238947, 1.8903420650744518, 0.0150362773157163, 0.0174549100897306, 2.0008758991425464, 0.4287245704910466, 0.0221304963632656, 2.120073627430727, 0.802412335372513, 0.0219520692483612, 2.1635907979693605, 0.2182707415406132, 0.0183483259802735, 2.2172804350734907, 2.6912128889916382, 0.0382869134679616, 2.2794175330533215, 0.8065289682089452, 0.0249206502113562, 2.3879076866678393, 2.2672796199906804, 0.0329191677530509, 2.480973135047384, 14.354110297608697, 0.1042254899653688, 2.5512509597620943, 12.158406781861427, 0.085380453959247, 2.7213043631527847, 0.2782568245552622, 0.0185328245918344, 2.9391995392758297, 0.2449383778030756, 0.0226825840585597, 2.964732337803325, 1.162323628042403, 0.0243660956184885, 3.1267724538142363, 0.1796358512169078, 0.0214836770683246, 3.225680923342649, 0.1107710371524193, 0.0193025256991508, 3.253796524736294, 3.7474094585987814, 0.0435000358715893, 3.3788467624914005, 0.8315221288789783, 0.0252270949362615, 3.666418079566492, 0.1593743233808372, 0.0218270644673696, 3.7214535273683316, 0.3853936071522781, 0.0188125444590551, 3.8275606335705934, 0.9216158209805136, 0.0254173070723411, 3.9558760511712916, 0.2584996796375716, 0.0160140811123864, 4.054950720508888, 2.0725421214853323, 0.0339589479213942, 4.174792083017582, 1.9445056543079084, 0.0331490602339009, 4.4301986467753816, 1.4832819963459705, 0.0250439973072564, 4.560059080944115, 0.4803927578583935, 0.0173746894193641, 4.599917296928494, 0.4916392360810403, 0.0218510735313187, 4.703438392161833, 0.3263900829854426, 0.0179332956954548, 4.799817584747431, 0.8401218280745553, 0.0249613673721201, 4.9676807307147115, 0.4590459881675761, 0.0193627638831822, 5.3946138238390065, 0.488796736706559, 0.0211034168621239, 5.419076807904211, 0.983696600508641, 0.0285290410834879, 2.5891182404431095, -0.0192077552289002, 0.0204625388275908, 3.8598566253524056, 0.2697408981018901, 0.0215337213527835, 5.195639207985129]|1623922.0331711180042475|      0.12500000|[33142, 2208, 7, 560]                                                      |  | used quadratic model with 5050 points | iterate success | actual_k=4
       8|[1.0202199504755607, 0.0322477087692263, 1.8881347733425455, 0.0132569494556132, 0.0079886514835045, 1.9956960115368159, 0.444709386404847, 0.0148891309351521, 2.1041437117558903, 0.8182494819084242, 0.0304156404750409, 2.159099924537293, 0.2181722995019358, 0.0167443193055119, 2.21950307554248, 2.6964757646414497, 0.0566425773394401, 2.282248956105203, 0.796710529059339, 0.0320127553022714, 2.393477495661334, 2.2491886929960687, 0.0660817506278292, 2.4737931111551386, 14.344097302457971, 0.1452360962809486, 2.5399834546890876, 12.143658510159238, 0.1030337067636301, 2.7288297217557247, 0.2872645917770513, 0.02669872805524, 2.947768479205032, 0.2483097776259602, 0.0488433443563918, 2.975496181789691, 1.1520666857567872, 0.0514829939873586, 3.1195549000338527, 0.1892694966647346, 0.022115806533629, 3.2328769382891847, 0.1098281691101553, 0.0091368508692271, 3.2504587343044453, 3.740794018545586, 0.0526943776102922, 3.3767719112889303, 0.8265846573056004, 0.0274305508944166, 3.6763771830679195, 0.1732561000729925, 0.0285024082725485, 3.7313650751562886, 0.3847336825651645, 0.020956018011998, 3.812803998956191, 0.9273727938382901, 0.0398007164448758, 3.9623597411399, 0.2588082692353728, 0.0109133088000555, 4.068943326156092, 2.074862870287963, 0.0653962049086337, 4.1758753823850405, 1.9549740029102016, 0.0421747385126658, 4.430287981582007, 1.490537518677524, 0.0741340511122083, 4.554774838367839, 0.4925037074593227, 0.0272808270864051, 4.589482201724564, 0.4724281132062356, 0.0154729197494482, 4.721002443375831, 0.3230376287116756, 0.0314547512585318, 4.792258264616743, 0.8521962829362585, 0.0263287090278512, 4.958697605035528, 0.4508683493311677, 0.0204523455196572, 5.399809805325492, 0.4786622657452493, 0.0224067524566058, 5.404233947013442, 0.9762227410214727, 0.0474372858072831, 2.5859440514906518, -0.0175307797141051, 0.0078711356383591, 3.865698988767207, 0.2624122720636617, 0.0219460321300341, 5.184386068529109]|1374388.4875559860374779|      0.25000000|[37879, 2521, 8, 640]                                                      |  | used quadratic model with 5050 points | iterate success | actual_k=4
       9|[1.0202199504755607, 0.0322477087692263, 1.8881347733425455, 0.0132569494556132, 0.0079886514835045, 1.9956960115368159, 0.444709386404847, 0.0148891309351521, 2.1041437117558903, 0.8182494819084242, 0.0304156404750409, 2.159099924537293, 0.2181722995019358, 0.0167443193055119, 2.21950307554248, 2.6964757646414497, 0.0566425773394401, 2.282248956105203, 0.796710529059339, 0.0320127553022714, 2.393477495661334, 2.2491886929960687, 0.0660817506278292, 2.4737931111551386, 14.344097302457971, 0.1452360962809486, 2.5399834546890876, 12.143658510159238, 0.1030337067636301, 2.7288297217557247, 0.2872645917770513, 0.02669872805524, 2.947768479205032, 0.2483097776259602, 0.0488433443563918, 2.975496181789691, 1.1520666857567872, 0.0514829939873586, 3.1195549000338527, 0.1892694966647346, 0.022115806533629, 3.2328769382891847, 0.1098281691101553, 0.0091368508692271, 3.2504587343044453, 3.740794018545586, 0.0526943776102922, 3.3767719112889303, 0.8265846573056004, 0.0274305508944166, 3.6763771830679195, 0.1732561000729925, 0.0285024082725485, 3.7313650751562886, 0.3847336825651645, 0.020956018011998, 3.812803998956191, 0.9273727938382901, 0.0398007164448758, 3.9623597411399, 0.2588082692353728, 0.0109133088000555, 4.068943326156092, 2.074862870287963, 0.0653962049086337, 4.1758753823850405, 1.9549740029102016, 0.0421747385126658, 4.430287981582007, 1.490537518677524, 0.0741340511122083, 4.554774838367839, 0.4925037074593227, 0.0272808270864051, 4.589482201724564, 0.4724281132062356, 0.0154729197494482, 4.721002443375831, 0.3230376287116756, 0.0314547512585318, 4.792258264616743, 0.8521962829362585, 0.0263287090278512, 4.958697605035528, 0.4508683493311677, 0.0204523455196572, 5.399809805325492, 0.4786622657452493, 0.0224067524566058, 5.404233947013442, 0.9762227410214727, 0.0474372858072831, 2.5859440514906518, -0.0175307797141051, 0.0078711356383591, 3.865698988767207, 0.2624122720636617, 0.0219460321300341, 5.184386068529109]|1374388.4875559860374779|      0.12500000|[42613, 2837, 9, 720]                                                      |  | used quadratic model with 5050 points | iterate failure | actual_k=4
      10|[1.0202199504755607, 0.0322477087692263, 1.8881347733425455, 0.0132569494556132, 0.0079886514835045, 1.9956960115368159, 0.444709386404847, 0.0148891309351521, 2.1041437117558903, 0.8182494819084242, 0.0304156404750409, 2.159099924537293, 0.2181722995019358, 0.0167443193055119, 2.21950307554248, 2.6964757646414497, 0.0566425773394401, 2.282248956105203, 0.796710529059339, 0.0320127553022714, 2.393477495661334, 2.2491886929960687, 0.0660817506278292, 2.4737931111551386, 14.344097302457971, 0.1452360962809486, 2.5399834546890876, 12.143658510159238, 0.1030337067636301, 2.7288297217557247, 0.2872645917770513, 0.02669872805524, 2.947768479205032, 0.2483097776259602, 0.0488433443563918, 2.975496181789691, 1.1520666857567872, 0.0514829939873586, 3.1195549000338527, 0.1892694966647346, 0.022115806533629, 3.2328769382891847, 0.1098281691101553, 0.0091368508692271, 3.2504587343044453, 3.740794018545586, 0.0526943776102922, 3.3767719112889303, 0.8265846573056004, 0.0274305508944166, 3.6763771830679195, 0.1732561000729925, 0.0285024082725485, 3.7313650751562886, 0.3847336825651645, 0.020956018011998, 3.812803998956191, 0.9273727938382901, 0.0398007164448758, 3.9623597411399, 0.2588082692353728, 0.0109133088000555, 4.068943326156092, 2.074862870287963, 0.0653962049086337, 4.1758753823850405, 1.9549740029102016, 0.0421747385126658, 4.430287981582007, 1.490537518677524, 0.0741340511122083, 4.554774838367839, 0.4925037074593227, 0.0272808270864051, 4.589482201724564, 0.4724281132062356, 0.0154729197494482, 4.721002443375831, 0.3230376287116756, 0.0314547512585318, 4.792258264616743, 0.8521962829362585, 0.0263287090278512, 4.958697605035528, 0.4508683493311677, 0.0204523455196572, 5.399809805325492, 0.4786622657452493, 0.0224067524566058, 5.404233947013442, 0.9762227410214727, 0.0474372858072831, 2.5859440514906518, -0.0175307797141051, 0.0078711356383591, 3.865698988767207, 0.2624122720636617, 0.0219460321300341, 5.184386068529109]|1374388.4875559860374779|      0.06250000|[47348, 3152, 10, 800]                                                     |  | used quadratic model with 5050 points | iterate failure | actual_k=4
      11|[1.0215992013565847, 0.035922436408709, 1.8880468779654624, 0.0133175492691581, 0.0091100030022085, 1.9947919277277897, 0.4422420859988616, 0.0222485959385152, 2.1053955743026935, 0.8177263576393914, 0.0316943033498222, 2.157736255939301, 0.2157746527564506, 0.0153801473077879, 2.2195407161537046, 2.6946772769246294, 0.0594743761375881, 2.275384984720468, 0.7964803283394601, 0.034980978541506, 2.3891069838849983, 2.2471724425365873, 0.0734100101055451, 2.469668331611019, 14.342209705504052, 0.1816302779008005, 2.5286090530592027, 12.141646223101535, 0.1377254883351867, 2.7534001095749105, 0.2856793814237181, 0.0262275775722919, 2.949675014355764, 0.2487034141729254, 0.0481467016885759, 2.9761509882740937, 1.1529145543172483, 0.0506834198941389, 3.1195308232367065, 0.1894896481229731, 0.0209894102838616, 3.231636710126868, 0.107229171332395, 0.0091540325184489, 3.251984549123637, 3.739913012441514, 0.0618487911525063, 3.378110516000279, 0.8260204122374466, 0.0298179836425827, 3.6761901307132585, 0.1721556339242651, 0.0288892824677997, 3.7296396181124236, 0.384849823052982, 0.022002429392137, 3.813585939708646, 0.9273445087779247, 0.0398001999220987, 3.9619402062178786, 0.2581877074675427, 0.0171530773544279, 4.069625297495238, 2.0731225876226187, 0.0674429471025813, 4.1750096997813095, 1.9547441447272562, 0.0469886518105615, 4.43075369447803, 1.4901668427903931, 0.0743360747285356, 4.5547571392196735, 0.4901048705171779, 0.0291634875370236, 4.590389261600807, 0.4711345133794802, 0.0211896023999738, 4.719018376783026, 0.3223892800979694, 0.031559616683938, 4.792449838791996, 0.8505253078179253, 0.0299223019695096, 4.958400753840242, 0.4509213324242529, 0.0266095613081402, 5.399012044285885, 0.4790426845496142, 0.028047843808873, 5.405208649428324, 0.9751887331550694, 0.0539348646341507, 2.5828413702065594, -0.0158220933029949, 0.0072725314542357, 3.864402796364272, 0.2628672662274196, 0.0217966213221237, 5.185213845074442]|1198488.8444289665203542|      0.12500000|[52083, 3467, 11, 880]                                                     |  | used quadratic model with 5050 points | iterate success | actual_k=4
