k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[119, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[237, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.12500000|[355, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[100.00003292328036, 0.0532423755508788, 0.2320684592234883, 0.9089363134990568, 100.00331969269587, 0.0435284024221487, 0.2101500495792595, 0.7868553466524612, 100.01110721934774, 0.0124028356040261, 0.269026986061896, 0.7786468587985338, 99.99187064267741, 0.1362722576598736, 0.3341574704115327, 0.6134022338782316, 99.99810040780056, 0.2601582721589387, 0.4633107198235981, 0.2795079047168683, 99.99537310546256, 0.6092657096659685, 0.6000420224759946, 0.0080776701323563, 299.9892387486613, 299.9947237326028, 300.01089954740064, 300.001950533738, 299.99506252967285]|406.8262023925781250|      0.25000000|[473, 32, 0, 8]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[100.00003292328036, 0.0532423755508788, 0.2320684592234883, 0.9089363134990568, 100.00331969269587, 0.0435284024221487, 0.2101500495792595, 0.7868553466524612, 100.01110721934774, 0.0124028356040261, 0.269026986061896, 0.7786468587985338, 99.99187064267741, 0.1362722576598736, 0.3341574704115327, 0.6134022338782316, 99.99810040780056, 0.2601582721589387, 0.4633107198235981, 0.2795079047168683, 99.99537310546256, 0.6092657096659685, 0.6000420224759946, 0.0080776701323563, 299.9892387486613, 299.9947237326028, 300.01089954740064, 300.001950533738, 299.99506252967285]|406.8262023925781250|      0.12500000|[591, 40, 0, 10]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[100.0031157952793, 0.1251928071469821, 0.2827268178519834, 0.9369447402884894, 99.99484590777374, 0.0677165882321309, 0.2124122995729225, 0.7600432516511111, 100.0131666430829, 0.0451377538243953, 0.2824096841925641, 0.7874003872057256, 99.981842033536, 0.1211937765212587, 0.3049629630968475, 0.6130779329998225, 99.98126158038176, 0.230148225105798, 0.4544807013416609, 0.2717833302174881, 100.00687284784411, 0.5921943367629865, 0.6173523387930305, 0.0019965356772985, 299.99182378231427, 299.9638702217409, 300.01138352600555, 300.0010107656984, 299.9826816524453]|246.6809082031250000|      0.25000000|[709, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[100.0031157952793, 0.1251928071469821, 0.2827268178519834, 0.9369447402884894, 99.99484590777374, 0.0677165882321309, 0.2124122995729225, 0.7600432516511111, 100.0131666430829, 0.0451377538243953, 0.2824096841925641, 0.7874003872057256, 99.981842033536, 0.1211937765212587, 0.3049629630968475, 0.6130779329998225, 99.98126158038176, 0.230148225105798, 0.4544807013416609, 0.2717833302174881, 100.00687284784411, 0.5921943367629865, 0.6173523387930305, 0.0019965356772985, 299.99182378231427, 299.9638702217409, 300.01138352600555, 300.0010107656984, 299.9826816524453]|246.6809082031250000|      0.12500000|[827, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[100.0031157952793, 0.1251928071469821, 0.2827268178519834, 0.9369447402884894, 99.99484590777374, 0.0677165882321309, 0.2124122995729225, 0.7600432516511111, 100.0131666430829, 0.0451377538243953, 0.2824096841925641, 0.7874003872057256, 99.981842033536, 0.1211937765212587, 0.3049629630968475, 0.6130779329998225, 99.98126158038176, 0.230148225105798, 0.4544807013416609, 0.2717833302174881, 100.00687284784411, 0.5921943367629865, 0.6173523387930305, 0.0019965356772985, 299.99182378231427, 299.9638702217409, 300.01138352600555, 300.0010107656984, 299.9826816524453]|246.6809082031250000|      0.06250000|[945, 64, 0, 16]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[100.00285453208214, 0.1307532343332128, 0.2882603975678477, 0.9388305071132543, 99.99889418711645, 0.1122710995884823, 0.2343657791827157, 0.7659962853238959, 100.00863657265714, 0.0388700237656695, 0.2666103583676082, 0.7717052192727092, 99.97885739326466, 0.1203074077436301, 0.3103999837670016, 0.6135304106680922, 99.98386137391815, 0.2099997228122904, 0.455032948761082, 0.2708891980010985, 99.99386251952653, 0.5974327896314335, 0.6182993502514513, 0.0039563818641566, 299.99403223213096, 299.96440769218384, 300.0064542937579, 299.99202910102133, 299.9814286235744]|199.1927490234375000|      0.12500000|[1063, 72, 0, 18]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      10|[100.00285453208214, 0.1307532343332128, 0.2882603975678477, 0.9388305071132543, 99.99889418711645, 0.1122710995884823, 0.2343657791827157, 0.7659962853238959, 100.00863657265714, 0.0388700237656695, 0.2666103583676082, 0.7717052192727092, 99.97885739326466, 0.1203074077436301, 0.3103999837670016, 0.6135304106680922, 99.98386137391815, 0.2099997228122904, 0.455032948761082, 0.2708891980010985, 99.99386251952653, 0.5974327896314335, 0.6182993502514513, 0.0039563818641566, 299.99403223213096, 299.96440769218384, 300.0064542937579, 299.99202910102133, 299.9814286235744]|199.1927490234375000|      0.06250000|[1182, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
