k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.01562500|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00781250|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00390625|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00195312|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.4, 1.0, 0.0]                                                                 |  0.0000038881069912|      0.00097656|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.3990262696989531, 0.9999337250157782, -3.36339663969e-05]                    |  0.0000000340390602|      0.00195312|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[0.3990262696989531, 0.9999337250157782, -3.36339663969e-05]                    |  0.0000000340390602|      0.00097656|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.3990262696989531, 0.9999337250157782, -3.36339663969e-05]                    |  0.0000000340390602|      0.00048828|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.3990262696989531, 0.9999337250157782, -3.36339663969e-05]                    |  0.0000000340390602|      0.00024414|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.3990262696989531, 0.9999337250157782, -3.36339663969e-05]                    |  0.0000000340390602|      0.00012207|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
