k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |105126.8339513395767426|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.9567580803022113, 1.8466417518180833, 2.873449265819329, 2.4601062530928033] |95671.5032056754134828|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[3.457578372865219, 2.814331077923872, 2.5386582533991526, 3.2961868685687783]  |78250.5302356087049702|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[2.721815525627115, 5.186457247825189, 0.5511027250006251, 0.8710490398617501]  |68767.5475406511977781|      8.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[2.721815525627115, 5.186457247825189, 0.5511027250006251, 0.8710490398617501]  |68767.5475406511977781|      4.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[2.721815525627115, 5.186457247825189, 0.5511027250006251, 0.8710490398617501]  |68767.5475406511977781|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[2.721815525627115, 5.186457247825189, 0.5511027250006251, 0.8710490398617501]  |68767.5475406511977781|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[2.721815525627115, 5.186457247825189, 0.5511027250006251, 0.8710490398617501]  |68767.5475406511977781|      0.50000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[2.721815525627115, 5.186457247825189, 0.5511027250006251, 0.8710490398617501]  |68767.5475406511977781|      0.25000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[2.6931982325013837, 5.195600802421695, 0.3621769954433208, 0.7101002447288352] |67728.5414109051052947|      0.50000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[2.6931982325013837, 5.195600802421695, 0.3621769954433208, 0.7101002447288352] |67728.5414109051052947|      0.25000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[2.55333339157408, 5.14049510391214, 0.3434213741920074, 0.5112298976792276]    |66492.4643927202123450|      0.50000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[2.55333339157408, 5.14049510391214, 0.3434213741920074, 0.5112298976792276]    |66492.4643927202123450|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[2.55333339157408, 5.14049510391214, 0.3434213741920074, 0.5112298976792276]    |66492.4643927202123450|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[2.55840275863693, 5.197185264822209, 0.4407019047023796, 0.4571741342751917]   |66330.5304567898710957|      0.25000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
