k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[57, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[85, 12, 1, 7]                                                             |  | trying linear partial model with 15 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[114, 16, 1, 9]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[142, 20, 1, 11]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[170, 24, 1, 13]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[198, 28, 1, 15]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[-0.0047142236042756, -0.0012712223262088, 0.0002933113070668, -0.00025376062922, 0.0002898442150818, 0.0016755260846095, 0.0011180576143552, -0.0015781134462878, -0.0008988556270542, -0.0039788843153272, 0.000342546784568, -0.0023789316175085, 0.0018590335969631, -0.0021305687967267, 0.9999614956732008]|2134.0397949218750000|      0.01562500|[226, 32, 1, 17]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[-0.0047142236042756, -0.0012712223262088, 0.0002933113070668, -0.00025376062922, 0.0002898442150818, 0.0016755260846095, 0.0011180576143552, -0.0015781134462878, -0.0008988556270542, -0.0039788843153272, 0.000342546784568, -0.0023789316175085, 0.0018590335969631, -0.0021305687967267, 0.9999614956732008]|2134.0397949218750000|      0.00781250|[254, 36, 1, 19]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[-0.0047142236042756, -0.0012712223262088, 0.0002933113070668, -0.00025376062922, 0.0002898442150818, 0.0016755260846095, 0.0011180576143552, -0.0015781134462878, -0.0008988556270542, -0.0039788843153272, 0.000342546784568, -0.0023789316175085, 0.0018590335969631, -0.0021305687967267, 0.9999614956732008]|2134.0397949218750000|      0.00390625|[282, 40, 1, 21]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[-0.0022158850345183, -0.0017146687881519, -0.0008386814397856, -0.0014692375772553, -0.0013170731085558, 0.0014525966841759, 0.0007372507514312, -0.0023146318642168, -0.0015991280727506, -0.0035907289984224, 0.001269996842213, -0.0022615111453293, 0.000899573566101, -0.0023344399951185, 1.000476450630384]|2115.0424804687500000|      0.00781250|[310, 44, 1, 23]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      12|[-0.0022158850345183, -0.0017146687881519, -0.0008386814397856, -0.0014692375772553, -0.0013170731085558, 0.0014525966841759, 0.0007372507514312, -0.0023146318642168, -0.0015991280727506, -0.0035907289984224, 0.001269996842213, -0.0022615111453293, 0.000899573566101, -0.0023344399951185, 1.000476450630384]|2115.0424804687500000|      0.00390625|[338, 48, 1, 25]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      13|[-0.0022158850345183, -0.0017146687881519, -0.0008386814397856, -0.0014692375772553, -0.0013170731085558, 0.0014525966841759, 0.0007372507514312, -0.0023146318642168, -0.0015991280727506, -0.0035907289984224, 0.001269996842213, -0.0022615111453293, 0.000899573566101, -0.0023344399951185, 1.000476450630384]|2115.0424804687500000|      0.00195312|[366, 52, 1, 27]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[-0.0022158850345183, -0.0017146687881519, -0.0008386814397856, -0.0014692375772553, -0.0013170731085558, 0.0014525966841759, 0.0007372507514312, -0.0023146318642168, -0.0015991280727506, -0.0035907289984224, 0.001269996842213, -0.0022615111453293, 0.000899573566101, -0.0023344399951185, 1.000476450630384]|2115.0424804687500000|      0.00097656|[394, 56, 1, 29]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[-0.0027585263660776, -0.002315064250053, -0.0010354042464473, -0.0012362626020012, -0.0013307148382923, 0.0016501831086447, 0.0008458604783066, -0.0023194578811485, -0.0014317568246643, -0.0034031691860066, 0.0011784867785426, -0.0024063381697484, 0.0007804324363855, -0.0024734906981982, 1.000645703254103]|2114.3190917968750000|      0.00195312|[422, 60, 1, 31]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[-0.0027585263660776, -0.002315064250053, -0.0010354042464473, -0.0012362626020012, -0.0013307148382923, 0.0016501831086447, 0.0008458604783066, -0.0023194578811485, -0.0014317568246643, -0.0034031691860066, 0.0011784867785426, -0.0024063381697484, 0.0007804324363855, -0.0024734906981982, 1.000645703254103]|2114.3190917968750000|      0.00097656|[450, 64, 1, 33]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
