k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[121, 8, 1, 3]                                                             |  | used linear model with 129 points | iterate failure | actual_k=4
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[242, 16, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=4
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[363, 24, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=4
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[484, 32, 4, 12]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[605, 40, 5, 15]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       6|[1.0209419650406277, 0.0201358379104241, 0.0125954728727705, 0.0192618234902827, 0.4295429013032469, 0.0204647127449586, 0.7998781362858858, 0.0194659996295162, 0.2203982580547659, 0.0224620564860857, 2.690307790851523, 0.0210880589077783, 0.809024146141229, 0.0208726860086475, 2.267701655940612, 0.02049360405378, 14.351312270097887, 0.0440978503772326, 12.162310818349537, 0.0380046908914533, 0.2761289589852042, 0.0197774583322955, 0.2438818315904401, 0.0206953498108875, 1.1657347229952617, 0.0205181072345497, 0.1769212069489731, 0.0211287153508535, 0.1157281959775494, 0.0200595745626455, 3.747343670732548, 0.0214832279866188, 0.8331509413521146, 0.0214014737513501, 0.1581238771240148, 0.0216732108224079, 0.3868928853476253, 0.0195852173397665, 0.9239124032240849, 0.0194115739162055, 0.2589182563364285, 0.0201227566235066, 2.069413457281318, 0.0195331624741558, 1.9423317635201398, 0.0198773240483326, 1.4852248691803347, 0.0209319103963549, 0.4809231441915504, 0.0211293924028424, 0.4935553845559892, 0.018805971054289, 0.3285812716994818, 0.0199587008881443, 0.8402993549056624, 0.0207356767172649, 0.4599226936691074, 0.0187339294495147, 0.4932592067324136, 0.0186540714554164, 0.9885860154008785, 0.0205629078137822, -0.0166677852009806, 0.0216583667425886, 0.2663149152654657, 0.0207841053021437]|2189603.6197975017130375|      0.06250000|[726, 48, 6, 18]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       7|[1.0209419650406277, 0.0201358379104241, 0.0125954728727705, 0.0192618234902827, 0.4295429013032469, 0.0204647127449586, 0.7998781362858858, 0.0194659996295162, 0.2203982580547659, 0.0224620564860857, 2.690307790851523, 0.0210880589077783, 0.809024146141229, 0.0208726860086475, 2.267701655940612, 0.02049360405378, 14.351312270097887, 0.0440978503772326, 12.162310818349537, 0.0380046908914533, 0.2761289589852042, 0.0197774583322955, 0.2438818315904401, 0.0206953498108875, 1.1657347229952617, 0.0205181072345497, 0.1769212069489731, 0.0211287153508535, 0.1157281959775494, 0.0200595745626455, 3.747343670732548, 0.0214832279866188, 0.8331509413521146, 0.0214014737513501, 0.1581238771240148, 0.0216732108224079, 0.3868928853476253, 0.0195852173397665, 0.9239124032240849, 0.0194115739162055, 0.2589182563364285, 0.0201227566235066, 2.069413457281318, 0.0195331624741558, 1.9423317635201398, 0.0198773240483326, 1.4852248691803347, 0.0209319103963549, 0.4809231441915504, 0.0211293924028424, 0.4935553845559892, 0.018805971054289, 0.3285812716994818, 0.0199587008881443, 0.8402993549056624, 0.0207356767172649, 0.4599226936691074, 0.0187339294495147, 0.4932592067324136, 0.0186540714554164, 0.9885860154008785, 0.0205629078137822, -0.0166677852009806, 0.0216583667425886, 0.2663149152654657, 0.0207841053021437]|2189603.6197975017130375|      0.03125000|[847, 56, 7, 21]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       8|[1.022906719555553, 0.0203888966291863, 0.0127567591267709, 0.0184548102070223, 0.4303776149707628, 0.0209552698814779, 0.7984402380162632, 0.0203298256286575, 0.2203145736531521, 0.0237821955187626, 2.6877888739524898, 0.0211216327947677, 0.8096334128475333, 0.0209110981949507, 2.2691914541637725, 0.0236883813804967, 14.351189679281813, 0.0642592653015524, 12.161651826027551, 0.0557254392581098, 0.2746712033083437, 0.0195691634153537, 0.2458043065042619, 0.0203945503272713, 1.1647773953516034, 0.0221097859481448, 0.1764568405136664, 0.0203252922126916, 0.1150015619315, 0.0182297993601501, 3.7480789631965297, 0.0316304447151035, 0.8322672438225085, 0.0247391673430876, 0.1578072708199441, 0.0202126023414421, 0.3857961673477599, 0.0227099390922511, 0.9252102985462258, 0.0202241184686909, 0.2578398705034293, 0.0217168937944716, 2.0678722123704945, 0.0229562779393292, 1.9413975527199738, 0.0239673229969803, 1.4837279648316377, 0.0217993301782152, 0.4818174965167611, 0.0197108965890972, 0.4944946864431137, 0.0203064972311661, 0.3290590322460742, 0.0164639354355466, 0.8420288221139368, 0.0201679908665714, 0.4607855004265953, 0.020193310414349, 0.4967148701666481, 0.0201578070401359, 0.9886259033132881, 0.0192746913702477, -0.0179210199904065, 0.0221205037717607, 0.265880100919031, 0.0214474027221101]|1803724.0046088509261608|      0.06250000|[968, 64, 8, 24]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       9|[1.022906719555553, 0.0203888966291863, 0.0127567591267709, 0.0184548102070223, 0.4303776149707628, 0.0209552698814779, 0.7984402380162632, 0.0203298256286575, 0.2203145736531521, 0.0237821955187626, 2.6877888739524898, 0.0211216327947677, 0.8096334128475333, 0.0209110981949507, 2.2691914541637725, 0.0236883813804967, 14.351189679281813, 0.0642592653015524, 12.161651826027551, 0.0557254392581098, 0.2746712033083437, 0.0195691634153537, 0.2458043065042619, 0.0203945503272713, 1.1647773953516034, 0.0221097859481448, 0.1764568405136664, 0.0203252922126916, 0.1150015619315, 0.0182297993601501, 3.7480789631965297, 0.0316304447151035, 0.8322672438225085, 0.0247391673430876, 0.1578072708199441, 0.0202126023414421, 0.3857961673477599, 0.0227099390922511, 0.9252102985462258, 0.0202241184686909, 0.2578398705034293, 0.0217168937944716, 2.0678722123704945, 0.0229562779393292, 1.9413975527199738, 0.0239673229969803, 1.4837279648316377, 0.0217993301782152, 0.4818174965167611, 0.0197108965890972, 0.4944946864431137, 0.0203064972311661, 0.3290590322460742, 0.0164639354355466, 0.8420288221139368, 0.0201679908665714, 0.4607855004265953, 0.020193310414349, 0.4967148701666481, 0.0201578070401359, 0.9886259033132881, 0.0192746913702477, -0.0179210199904065, 0.0221205037717607, 0.265880100919031, 0.0214474027221101]|1803724.0046088509261608|      0.03125000|[1089, 72, 9, 27]                                                          |  | used linear model with 129 points | iterate failure | actual_k=4
      10|[1.0224301702866343, 0.0222093442471832, 0.0149523356131861, 0.0193545778544846, 0.4284615155285771, 0.0209886445055016, 0.7992705216332657, 0.0226780813406962, 0.220176372283351, 0.0226586738778604, 2.688594092584204, 0.0301858400274718, 0.8101249808946942, 0.0201303286007304, 2.267454349747626, 0.0264768195753044, 14.35131922432571, 0.0825027924042329, 12.160290972230037, 0.0749165628096185, 0.2746396969006809, 0.0185866210923411, 0.2442402740153649, 0.0186919045742235, 1.162903543820721, 0.0241174048306407, 0.1756378427334155, 0.019653606250708, 0.1155955534647816, 0.0198778936020073, 3.749873131056137, 0.0357708945261426, 0.8329307937101589, 0.0238193698868175, 0.1586509705124049, 0.0207214511412388, 0.3836106387837797, 0.0255881482276126, 0.9238588724383964, 0.0216090627285983, 0.2571103811235854, 0.0235899307727867, 2.0682680948643952, 0.0282799437038584, 1.940153054202022, 0.0266882088440349, 1.4833543061359886, 0.0249465049985991, 0.4802830054052681, 0.0208643867247353, 0.4936917947031966, 0.0203226780260889, 0.3286515196964712, 0.0189298438936815, 0.8411631095476096, 0.022273560815147, 0.4616461654895623, 0.0192798512039018, 0.4969990462469556, 0.0210551846204612, 0.9866206266260813, 0.0219899007840704, -0.0189950869406462, 0.0253179480258119, 0.2679586103371384, 0.023561951415796]|1606376.2167105053085834|      0.06250000|[1210, 80, 10, 30]                                                         |  | used linear model with 129 points | iterate success | actual_k=4
      11|[1.0224301702866343, 0.0222093442471832, 0.0149523356131861, 0.0193545778544846, 0.4284615155285771, 0.0209886445055016, 0.7992705216332657, 0.0226780813406962, 0.220176372283351, 0.0226586738778604, 2.688594092584204, 0.0301858400274718, 0.8101249808946942, 0.0201303286007304, 2.267454349747626, 0.0264768195753044, 14.35131922432571, 0.0825027924042329, 12.160290972230037, 0.0749165628096185, 0.2746396969006809, 0.0185866210923411, 0.2442402740153649, 0.0186919045742235, 1.162903543820721, 0.0241174048306407, 0.1756378427334155, 0.019653606250708, 0.1155955534647816, 0.0198778936020073, 3.749873131056137, 0.0357708945261426, 0.8329307937101589, 0.0238193698868175, 0.1586509705124049, 0.0207214511412388, 0.3836106387837797, 0.0255881482276126, 0.9238588724383964, 0.0216090627285983, 0.2571103811235854, 0.0235899307727867, 2.0682680948643952, 0.0282799437038584, 1.940153054202022, 0.0266882088440349, 1.4833543061359886, 0.0249465049985991, 0.4802830054052681, 0.0208643867247353, 0.4936917947031966, 0.0203226780260889, 0.3286515196964712, 0.0189298438936815, 0.8411631095476096, 0.022273560815147, 0.4616461654895623, 0.0192798512039018, 0.4969990462469556, 0.0210551846204612, 0.9866206266260813, 0.0219899007840704, -0.0189950869406462, 0.0253179480258119, 0.2679586103371384, 0.023561951415796]|1606376.2167105053085834|      0.03125000|[1331, 88, 11, 33]                                                         |  | used linear model with 129 points | iterate failure | actual_k=4
