k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[73, 24, 1, 7]                                                             |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[98, 32, 1, 9]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[122, 40, 1, 11]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[146, 48, 1, 13]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[-0.0037038048322131, -0.0042726583340045, 0.001837022319107, -0.0094918771861142, -0.0013127311376488, 0.0039667627863302, -0.0042687960385224, 0.0009112299656505, 0.0020782733122508, 0.0003985695823821, 0.004531977163956, 0.0015400738821733, 0.0038796301749055, -0.0060704179152951, 1.0017014129678106]|2123.4370117187500000|      0.03125000|[170, 56, 1, 15]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[-0.0037038048322131, -0.0042726583340045, 0.001837022319107, -0.0094918771861142, -0.0013127311376488, 0.0039667627863302, -0.0042687960385224, 0.0009112299656505, 0.0020782733122508, 0.0003985695823821, 0.004531977163956, 0.0015400738821733, 0.0038796301749055, -0.0060704179152951, 1.0017014129678106]|2123.4370117187500000|      0.01562500|[194, 64, 1, 17]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[-0.0037038048322131, -0.0042726583340045, 0.001837022319107, -0.0094918771861142, -0.0013127311376488, 0.0039667627863302, -0.0042687960385224, 0.0009112299656505, 0.0020782733122508, 0.0003985695823821, 0.004531977163956, 0.0015400738821733, 0.0038796301749055, -0.0060704179152951, 1.0017014129678106]|2123.4370117187500000|      0.00781250|[218, 72, 1, 19]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[-0.0037038048322131, -0.0042726583340045, 0.001837022319107, -0.0094918771861142, -0.0013127311376488, 0.0039667627863302, -0.0042687960385224, 0.0009112299656505, 0.0020782733122508, 0.0003985695823821, 0.004531977163956, 0.0015400738821733, 0.0038796301749055, -0.0060704179152951, 1.0017014129678106]|2123.4370117187500000|      0.00390625|[242, 80, 1, 21]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[-0.0015060443947249, -0.0044663817495988, 0.0015652164339309, -0.0102537191873196, -0.0027221589765468, 0.0033387987124773, -0.0047501205678675, 4.01681399996e-05, 0.0018452955192164, 0.0013281897831465, 0.0053332653065256, 0.0007363624650228, 0.0019596806806482, -0.0055965396674414, 1.0021997363717294]|2118.1285428346832305|      0.00781250|[266, 88, 2, 24]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      12|[-0.0015060443947249, -0.0044663817495988, 0.0015652164339309, -0.0102537191873196, -0.0027221589765468, 0.0033387987124773, -0.0047501205678675, 4.01681399996e-05, 0.0018452955192164, 0.0013281897831465, 0.0053332653065256, 0.0007363624650228, 0.0019596806806482, -0.0055965396674414, 1.0021997363717294]|2118.1285428346832305|      0.00390625|[291, 96, 2, 26]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      13|[-0.0015060443947249, -0.0044663817495988, 0.0015652164339309, -0.0102537191873196, -0.0027221589765468, 0.0033387987124773, -0.0047501205678675, 4.01681399996e-05, 0.0018452955192164, 0.0013281897831465, 0.0053332653065256, 0.0007363624650228, 0.0019596806806482, -0.0055965396674414, 1.0021997363717294]|2118.1285428346832305|      0.00195312|[315, 104, 2, 28]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      14|[-0.0029952698016974, -0.0043847276613382, 0.0020075092026745, -0.0099491785659527, -0.0025039258753477, 0.0036859978782474, -0.00412306526919, -9.08729730003e-05, 0.001909531508246, 0.0014539069217756, 0.0051086603759279, 0.0013438099628479, 0.0016311213499869, -0.0052357625908452, 1.0019856233645237]|2116.2910156250000000|      0.00390625|[339, 112, 2, 30]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      15|[-0.0029952698016974, -0.0043847276613382, 0.0020075092026745, -0.0099491785659527, -0.0025039258753477, 0.0036859978782474, -0.00412306526919, -9.08729730003e-05, 0.001909531508246, 0.0014539069217756, 0.0051086603759279, 0.0013438099628479, 0.0016311213499869, -0.0052357625908452, 1.0019856233645237]|2116.2910156250000000|      0.00195312|[363, 120, 2, 32]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      16|[-0.0019563307421084, -0.0042471658641696, 0.0024643672063787, -0.0101830979710624, -0.0023543937194851, 0.0031321323012751, -0.0042358207360868, -0.0009883365914237, 0.0015827335921762, 0.0007071043970802, 0.005218680351227, 0.0013918528759571, 0.0021090755234683, -0.0058666276743815, 1.0019681279699355]|2115.4370117187500000|      0.00390625|[387, 128, 2, 34]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      17|[-0.0019563307421084, -0.0042471658641696, 0.0024643672063787, -0.0101830979710624, -0.0023543937194851, 0.0031321323012751, -0.0042358207360868, -0.0009883365914237, 0.0015827335921762, 0.0007071043970802, 0.005218680351227, 0.0013918528759571, 0.0021090755234683, -0.0058666276743815, 1.0019681279699355]|2115.4370117187500000|      0.00195312|[411, 136, 2, 36]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      18|[-0.0019563307421084, -0.0042471658641696, 0.0024643672063787, -0.0101830979710624, -0.0023543937194851, 0.0031321323012751, -0.0042358207360868, -0.0009883365914237, 0.0015827335921762, 0.0007071043970802, 0.005218680351227, 0.0013918528759571, 0.0021090755234683, -0.0058666276743815, 1.0019681279699355]|2115.4370117187500000|      0.00097656|[435, 144, 3, 39]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      19|[-0.0026356151847525, -0.0043523142527604, 0.0025704177163034, -0.0101174834402466, -0.0022767450219981, 0.003131065652425, -0.0039653967482249, -0.000928374620512, 0.001770097685221, 0.0005795883633268, 0.0056773066788982, 0.0012119882315206, 0.0020246240780075, -0.0056063124988705, 1.0020861648036254]|2114.2907714843750000|      0.00195312|[460, 152, 3, 41]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      20|[-0.0022975019325206, -0.0045600771283442, 0.002597080297625, -0.0101722370552178, -0.002109059181289, 0.0021581318095973, -0.0032228661903214, -0.001477763924065, 0.002293241888998, 0.000653260519926, 0.0058617666491404, 0.0016314780710456, 0.002065829667839, -0.006682799302563, 1.00250566093043]|2113.7739257812500000|      0.00390625|[484, 160, 3, 43]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      21|[-0.0022975019325206, -0.0045600771283442, 0.002597080297625, -0.0101722370552178, -0.002109059181289, 0.0021581318095973, -0.0032228661903214, -0.001477763924065, 0.002293241888998, 0.000653260519926, 0.0058617666491404, 0.0016314780710456, 0.002065829667839, -0.006682799302563, 1.00250566093043]|2113.7739257812500000|      0.00195312|[508, 168, 3, 45]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      22|[-0.0022975019325206, -0.0045600771283442, 0.002597080297625, -0.0101722370552178, -0.002109059181289, 0.0021581318095973, -0.0032228661903214, -0.001477763924065, 0.002293241888998, 0.000653260519926, 0.0058617666491404, 0.0016314780710456, 0.002065829667839, -0.006682799302563, 1.00250566093043]|2113.7739257812500000|      0.00097656|[532, 176, 3, 47]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      23|[-0.0022975019325206, -0.0045600771283442, 0.002597080297625, -0.0101722370552178, -0.002109059181289, 0.0021581318095973, -0.0032228661903214, -0.001477763924065, 0.002293241888998, 0.000653260519926, 0.0058617666491404, 0.0016314780710456, 0.002065829667839, -0.006682799302563, 1.00250566093043]|2113.7739257812500000|      0.00048828|[556, 184, 3, 49]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      24|[-0.0026171282226259, -0.0045676244352669, 0.0026828627464442, -0.0101424811146731, -0.002118642722065, 0.0023837033518173, -0.0032999943698925, -0.0014839466586486, 0.0020772012806375, 0.0006575690278863, 0.0057673746229893, 0.0016123014468535, 0.0020081885619327, -0.0067720418513288, 1.0024445149952608]|2113.4477539062500000|      0.00097656|[580, 192, 3, 51]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      25|[-0.0025295478541745, -0.0049779168312939, 0.0026916914567159, -0.0101982084078159, -0.0016501822986027, 0.0027508460919816, -0.0033565901120421, -0.0016407888232553, 0.0025971020020867, 0.0006974605887006, 0.0059045009558134, 0.0017106642450397, 0.0019525487589724, -0.0069704250828878, 1.002667249148513]|2113.1887207031250000|      0.00195312|[604, 200, 3, 53]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      26|[-0.0025295478541745, -0.0049779168312939, 0.0026916914567159, -0.0101982084078159, -0.0016501822986027, 0.0027508460919816, -0.0033565901120421, -0.0016407888232553, 0.0025971020020867, 0.0006974605887006, 0.0059045009558134, 0.0017106642450397, 0.0019525487589724, -0.0069704250828878, 1.002667249148513]|2113.1887207031250000|      0.00097656|[628, 208, 3, 55]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      27|[-0.0023799115392543, -0.0053815995606845, 0.0030372045117349, -0.0105804059370996, -0.0016586166842553, 0.0022750116740314, -0.0033396579471352, -0.0019563622421525, 0.0025166755093606, 0.0007845849115593, 0.0056113508567278, 0.0016898212910657, 0.0018679317410989, -0.0069880641346245, 1.0029291744325841]|2112.9975585937500000|      0.00195312|[652, 216, 3, 57]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
