k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.544469810619724, 4.547329847152769, -5.5248090381774775, -1.5587105267772077]|6929746.7855628980323672|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[23.352680567382333, 3.040812983236653, -5.408466673906627, -1.0141833991555758]|4151861.8800416816957295|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[20.227240074810755, 1.8909857257975107, -7.556005571034852, -0.4686600808957622]|2718400.3176817470230162|      8.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[20.227240074810755, 1.8909857257975107, -7.556005571034852, -0.4686600808957622]|2718400.3176817470230162|      4.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[20.227240074810755, 1.8909857257975107, -7.556005571034852, -0.4686600808957622]|2718400.3176817470230162|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[18.97446435633591, 3.3977643783627194, -7.212994975890802, -0.6748513100800673]|2545126.5995282172225416|      4.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[16.389124766476773, 1.5819305223047768, -4.961514426339862, 0.2996239062771865]|2029102.9923576419241726|      8.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[16.389124766476773, 1.5819305223047768, -4.961514426339862, 0.2996239062771865]|2029102.9923576419241726|      4.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[16.389124766476773, 1.5819305223047768, -4.961514426339862, 0.2996239062771865]|2029102.9923576419241726|      2.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[15.670983284612966, 2.2149963710465523, -4.810872765918342, -1.4498924649891012]|1756073.1110713831149042|      4.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[12.498786151345737, 4.442757939756845, -4.154471573134861, -0.712748507012741] |996245.2279321672394872|      8.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[12.498786151345737, 4.442757939756845, -4.154471573134861, -0.712748507012741] |996245.2279321672394872|      4.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[12.498786151345737, 4.442757939756845, -4.154471573134861, -0.712748507012741] |996245.2279321672394872|      2.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[11.06608465524201, 5.181545868475352, -3.0509442031192604, -0.284045622641276] |775170.9800742093939334|      4.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[11.06608465524201, 5.181545868475352, -3.0509442031192604, -0.284045622641276] |775170.9800742093939334|      2.00000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[9.108898726041208, 4.957663524445767, -2.854026250732496, -0.5678118197085349] |754559.7543666642159224|      4.00000000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      17|[9.108898726041208, 4.957663524445767, -2.854026250732496, -0.5678118197085349] |754559.7543666642159224|      2.00000000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[9.044892887825128, 6.670789977329544, -3.6571601316419224, -1.2128521118139732]|699983.6377889160066843|      4.00000000|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      19|[6.803214391920079, 6.568220119962028, -1.4782455623208404, 1.2804766360563937] |454448.5092621803050861|      8.00000000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      20|[6.803214391920079, 6.568220119962028, -1.4782455623208404, 1.2804766360563937] |454448.5092621803050861|      4.00000000|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
