k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[-0.0433764158876217, 0.0171268532694784, -0.2910838286999913, 0.0640837145162177, 0.3004198316998684, 0.140253959340143, -0.0322567401827019, 0.0574409145475396, 0.2114838889952426]|284318.8414034084999003|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       3|[-0.0433764158876217, 0.0171268532694784, -0.2910838286999913, 0.0640837145162177, 0.3004198316998684, 0.140253959340143, -0.0322567401827019, 0.0574409145475396, 0.2114838889952426]|284318.8414034084999003|      0.50000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[-0.2693621444720973, -0.044876210557311, -0.304954074546387, -0.0486748015381644, 0.4988581237744235, 0.0051955852452131, -0.0857579919247256, 0.3176474895575594, 0.4438431756583068]|67542.9827770395786501|      1.00000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       5|[-0.2693621444720973, -0.044876210557311, -0.304954074546387, -0.0486748015381644, 0.4988581237744235, 0.0051955852452131, -0.0857579919247256, 0.3176474895575594, 0.4438431756583068]|67542.9827770395786501|      0.50000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[-0.2693621444720973, -0.044876210557311, -0.304954074546387, -0.0486748015381644, 0.4988581237744235, 0.0051955852452131, -0.0857579919247256, 0.3176474895575594, 0.4438431756583068]|67542.9827770395786501|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       7|[-0.2693621444720973, -0.044876210557311, -0.304954074546387, -0.0486748015381644, 0.4988581237744235, 0.0051955852452131, -0.0857579919247256, 0.3176474895575594, 0.4438431756583068]|67542.9827770395786501|      0.12500000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[-0.2807939785677029, -0.0469031143050954, -0.2961575152098419, 0.0276406264618998, 0.5757741929009084, -0.050450782087483, -0.1070283239298705, 0.3282352961652689, 0.4404296344110799]|29446.0793221079693467|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[-0.2807939785677029, -0.0469031143050954, -0.2961575152098419, 0.0276406264618998, 0.5757741929009084, -0.050450782087483, -0.1070283239298705, 0.3282352961652689, 0.4404296344110799]|29446.0793221079693467|      0.12500000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[-0.2952394396095229, -0.0097109451495956, -0.2356326025862835, -0.0245355482424906, 0.6256752170242111, -0.051638106507208, -0.1539156803669973, 0.3786955099337673, 0.4201497517963144]|19658.8285316908950335|      0.25000000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      11|[-0.2952394396095229, -0.0097109451495956, -0.2356326025862835, -0.0245355482424906, 0.6256752170242111, -0.051638106507208, -0.1539156803669973, 0.3786955099337673, 0.4201497517963144]|19658.8285316908950335|      0.12500000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      12|[-0.2952394396095229, -0.0097109451495956, -0.2356326025862835, -0.0245355482424906, 0.6256752170242111, -0.051638106507208, -0.1539156803669973, 0.3786955099337673, 0.4201497517963144]|19658.8285316908950335|      0.06250000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[-0.2952394396095229, -0.0097109451495956, -0.2356326025862835, -0.0245355482424906, 0.6256752170242111, -0.051638106507208, -0.1539156803669973, 0.3786955099337673, 0.4201497517963144]|19658.8285316908950335|      0.03125000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[-0.2947106187330017, -0.0164379695465871, -0.2380752710402025, -0.0009286284648897, 0.6434729890302023, -0.0464450198227874, -0.1556490932326961, 0.3794415233376929, 0.4246759650955331]|14228.3837977906405285|      0.06250000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      15|[-0.2855040619865274, -0.0040975071351418, -0.2201243845180356, -0.0103963940835182, 0.6962071285096717, -0.0600792298886326, -0.1631556279200447, 0.3890960342918859, 0.4365499110305597]|8896.3857621121605916|      0.12500000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
